__id__,__filename__,text,,
0,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"Many rules taught in mathematics classrooms expire when students develop knowledge that is more sophisticated, such as using new number systems. For example, in elementary grades, students are sometimes taught that addition makes bigger or subtraction makes smaller when learning to compute with whole numbers, only to find that these rules expire when they begin computing with integers (Karp, Bush, and Dougherty 2014). However, middle-grades students, especially those who are struggling, often try to force-fit the rules that they remember from the elementary grades to new concepts or skills.",,
1,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"In this article, we present 12 persistent rules that expire. These are rules that we have found prevalent in our many years of working with students, from mathematics education literature, or in some cases, rules that we ourselves have taught and later regretted. In each case, we offer mathematically correct and more helpful alternatives.",,
2,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"The Common Cores Standards for Mathematical Practice (SMP) encourage precision, including the appropriate use of mathematics vocabulary and notation and the reasoned application of rules (CCSSI 2010). This leads to instruction focused on sense making and reasoningthe very experience described in NCTMs Principles to Actions: Ensuring Mathematical Success for All (2014).",,
3,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,GETTING STARTED,,
4,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"Imagine this scenario in your mathematics classroom, in which you present the following set of one-variable equations:",,
5,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,1. x + (5) = 8,,
6,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,2. 6 = 3(x + 1),,
7,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,3. 3x + 8 = 10,,
8,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,4. 8 = 2x + 20,,
9,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"Which of these equations would your students choose to solve first or find the easiest? In our work, we found that students were comfortable solving equations 1 and 3 because they looked normal with the operation first (on the left side), followed by the answer (on the right side). Students often hesitated at equations that were similar to 2 and 4 because the perceived operation and answer were arranged in a seemingly reversed order (see table 1). This inflexibility can be linked to the idea that middle school students often have yet to interpret and understand the equal sign as a symbol indicating a relationship between two quantities (Mann 2004). Additionally, students may think that the solution to an equation always goes on the right side of the equal sign. These overgeneralizations are not helpful and can have a negative impact on students conceptual understanding. We suggest that these students are experiencing rules that expire (Karp, Bush, and Dougherty 2014).",,
10,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,,,
11,12 Math Rules That Expire in the Middle Grades - National Council of Teachers of Mathematics,"We highlight rules sometimes used with middle school students that seem to hold true at the moment, given the content the student is learning at that time. However, students will later find that these rules expire. Sometimes taught as shortcuts with content that students learned in the previous grades, these rules expire when students use them inappropriately with more advanced problems and find that they are incorrect. Such experiences can be frustrating and can promote the belief that mathematics is a mysterious set of tricks and tips to memorize rather than concepts that relate to one another. For each rule that expires, we do the following (similar to Karp, Bush, and Dougherty 2014):",,
