__id__,__filename__,text,,
0,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,(Table 1 on p. 462 has been corrected.),,
1,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"We recently asked a group of middle school teachers, many of whom taught algebra, to answer the question, ""What is algebra?"" After a pregnant pause, we heard, ""solving equations,"" ""determining a value for the unknown,"" ""using variables,"" and ""graphing equations."" Although these answers are all part of doing algebra, this branch of mathematics encompasses much more.",,
2,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"For most students, algebra seems like a totally different subject than the number topics they studied in elementary school when in reality the procedures followed in arithmetic are actually based on the properties and laws of algebra. In fact, algebra should be a logical next step for students in extending the proficiencies they developed with number because ""algebra is simply a language for exploring and explaining mathematical patterns"" (Bressoud 2012, p. 1).",,
3,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"In 
  Adding It Up: Helping Children Learn Mathematics

  , the National Research Council delineates two aspects of algebra as being ""(a) a systematic way of expressing generality and abstraction including algebra as generalized arithmetic; and (b) a guided transformation of symbols such as we do when we solve equations by collecting like terms and using inverse operations"" (NRC 2001, p. 256). These transformational aspects have traditionally been emphasized in such a way that algebra becomes a study of procedures and rules rather than an exploration of concepts that lead to generalizations that support the rules or make the equation or expression meaningful to the student. Research has shown that these rule-based approaches to teaching and learning lead to forgetting the rules (e.g., Kirshner and Awtry 2004), unsystematic errors (e.g., Booth 1984), reliance on visual cues (Kirshner 1989), and poor strategic decisions (e.g., Wenger 1987).",,
4,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"We need to help students develop and make sense of the rules they are using and show them how to employ a variety of strategies to solve algebraic problems. We also need to help students see algebra as generalizing computational procedures and operations they use with numbers. The Common Core State Standards for Mathematics (CCSSM) for middle school advocate for this in its discussion of expressions and equations for grade 6: ""Apply and extend previous understandings of arithmetic to algebraic expressions"" (CCSS 2010, p. 41). Activities for students should include opportunities to make sense of problems; reason abstractly; model their thinking using graphs, tables, diagrams, and so on; look for and make use of structure; and create arguments to justify their thinking and critique the reasoning of others. These are, in fact, four of the Common Core's Standards for Mathematical Practice (SMP).",,
5,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"We had an opportunity to work with students across the middle grades implementing a curriculum that encouraged students to think and act like mathematicians, thus using the Mathematical Practices consistently. We found that a deliberate emphasis on the Mathematical Practices while learning CCSSM content helped our students gain a much deeper understanding of concepts and procedures and the ability to generalize these using algebraic reasoning and notation.",,
6,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,Exploring equality and balance scales,,
7,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"We began in grade 6 with the concepts of equality and balance that are central to the study of equations. Research has shown that students need help constructing meaning for equality (e.g., Falkner, Levi, and Carpenter 1999; Kieran 1981; Saenz-Ludlow and Walgamuth 1998). 
  Table 1

  shows how students in grades 1 through 6 responded when asked what number they would put in the box to make the sentence 8 + 4 =  + 5 true.",,
8,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,,,
9,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,,,
10,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,Note that a lower percentage of students in grades 5 and 6 (only 2 percent) got the correct answer compared with those in grades 1 and 2 (5 percent).,,
11,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"In the following investigation, students harkened back to ancient Egypt and imagined working in a fish market. They were shown the balance scale in 
  figure 1

  and asked to write an equation for the weights of the fish on the scale. We asked them to use 
  n

  in their equation to represent the unknown weight of the fish in pounds.",,
12,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"We also asked them to solve the equation for the missing weight without finding the total weight of the fish on the left. We introduced students to writing equations at this point but not to the typical rules in solving them. After giving students a chance to write their equations and think about how to find the weight of fish D, teachers and students engaged in the following conversation:",,
13,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,,,
14,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Ms. Jackson:

  KayAn, what did you write for your equation?",,
15,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"KayAn:

  I wrote 12 + 23 = 13 + 
  n

  . I could see that the fish on the left balanced the fish on the right. I used equals to show they were the same.",,
16,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Ms. Jackson:

  Jason, can you repeat what KayAn said?",,
17,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Jason:

  I think she said that she wrote 12 + 23 = 13 + 
  n

  'cause that is what I wrote. You can see the balance on the scale.",,
18,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,[Other students nodding.],,
19,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Ms. Jackson:

  It looks like we agree on the equation. How did you solve it, Sarella?",,
20,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Sarella:

  I saw 13 is 1 more than 12, so I knew that 
  n

  would be 1 less than 23.",,
21,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Carey:

  If 13 is 1 more than 12, why isn't 
  n

  1 more than 23?",,
22,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Sarella:

  Well, see . . . you have to make up for it by taking 1 off the 23.",,
23,A Balancing Act_ Making Sense of Algebra - National Council of Teachers of Mathematics,"Ms. Jackson:

  Everyone turn to your elbow partner and talk about Sarella's solution and Carey's question. Should you add 1 to 23 or subtract 1 from 23?",,
