__id__,__filename__,text,,
0,A Blizzard of a Value - National Council of Teachers of Mathematics,"Who has been to Dairy Queen and purchased a Blizzard? Ms. Bosetti asked her students. During the summer, Bosetti had seen many of her former and future students at the local Dairy Queen enjoying Blizzard desserts and wondered, Which Blizzard size is the best value? She used this context for a ratios and proportions task to give students experience  modeling with mathematics.",,
1,A Blizzard of a Value - National Council of Teachers of Mathematics,"Modeling with mathematics requires engagement in problem solving that is focused on realistic situations (CDE 2013; Kanold and Larson 2012). The model with mathematics text within the Common Cores Standards for Mathematical Practice (SMP) states: Mathematically proficient students can apply the mathematics they know to solve problems arising in everyday life, society, and the workplace (CCSSI 2010, p. 7). Tasks and instruction that encourage students to analyze mathematical relationships, draw conclusions, and reflect and improve on end products (i.e., models) address SMP 4  (Fennell, Kobett, and Wray 2013). This characterization of modeling with mathematics brings up two key instructional questions: What should students engaged in modeling with mathematics be doing? What should teachers do to promote modeling with mathematics?",,
2,A Blizzard of a Value - National Council of Teachers of Mathematics,COMMON CORE PROFESSIONAL DEVELOPMENT,,
3,A Blizzard of a Value - National Council of Teachers of Mathematics,"Bosetti, a seventh-grade teacher in a rural Ohio school district, participated with 15 other middle school math teachers in a yearlong professional development (PD) program. While completing 100 face-to-face hours, the teachers focused on three goals:",,
4,A Blizzard of a Value - National Council of Teachers of Mathematics,"The PD leaders recognized that Bosetti and her peers needed to experience problems that promoted mathematical modeling before they could design such a task for their own students. So that these teachers might have a way to reflect on what it means to model with mathematics, the teachers completed a task called the Airplane problem (modified from Case Studies for Kids 2013). In this task, teachers were given data from a paper airplane contest that showed the results of various attempts by several pilots to fly four different paper airplanes. Measurements with the planes flight distance, distance from target, and time in flight were given for each attempt. The problems objective was to use the data to give the judges of the contest the best way to determine which paper airplane was the best floater and which was the most  accurate.",,
5,A Blizzard of a Value - National Council of Teachers of Mathematics,"Bosetti and her peers worked on the problem for about two hours,  frequently drawing on prior mathematics knowledge from various grade levels. Simultaneously, they figured out which quantities in the problem (e.g., time and distance) were important and any relationships between them. Each group wrote a report, delivered a presentation to their peers about their approach, and justified why their model for determining the winner was the best. Finally, each group reflected on possible model refinements. These problem-solving assumptions and actions are part of the mathematical modeling process (Fennell, Kobett, and Wray 2013).",,
6,A Blizzard of a Value - National Council of Teachers of Mathematics,"After completing the activity, Bosetti and the others realized that modeling with mathematics meant engaging students with real problems or realistic scenarios, talking with and about mathematical representations, and re-examining their mathematical models after receiving feedback from peers. Following the PD that included similar modeling tasks, Bosetti and others designed and implemented tasks that fostered reasoning and sense making related to CCSSM.",,
7,A Blizzard of a Value - National Council of Teachers of Mathematics,CREATING THE DAIRY QUEEN DILEMMA,,
8,A Blizzard of a Value - National Council of Teachers of Mathematics,"Bosetti followed the PDs approach (see Bostic 2012/2013) to construct the Dairy Queen Dilemma, a worthwhile task meant to engage her students in modeling with mathematics. (Names of all students in this article are pseudonyms.) Such a worthwhile task supports learning mathematics content, promotes engagement in mathematical practices, and fosters mathematical communication among students (NCTM 2007). This approach involved a four-step process: examining and reflecting on the mathematics standards (Content and Practices) of interest; considering possible mathematics curricular tasks that could be improved to become more like problems rather than exercises; reflecting on students cultural contexts or motivating realistic events to frame the task; and then revising the task to produce a clearly worded worthwhile task. This task also addresses multiple Common Core Content Standards within the Ratio and Proportional Relationships domain, including Recognize and represent proportional relationships between quantities (CCSSI 2010, p. 48).",,
9,A Blizzard of a Value - National Council of Teachers of Mathematics,Classroom Culture,,
