__id__,__filename__,text,,
0,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"Bertrand Russell explained that  “Mathematics, rightly viewed, possesses not only truth, but supreme beauty” (1919, p. 60). It also has the ability to engage, mesmerize, and fascinate. We witnessed its power during our school’s Problem of the Week program last year. “Mathematics is one of the greatest cultural and intellectual achievements of humankind, and citizens should develop an appreciation and understanding of that achievement, including its aesthetic and even recreational aspects” (NCTM 2000, p. 4). In addition to NCTM, many professional organizations such as the National Research Council (NRC) and the National Council for Accreditation of Teacher Education (NCATE) have underlined the importance of the history of mathematics in school curricula, which is a position supported by research (Dutta 2015; Lingard 2000).",,
1,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"Problem solving is central to mathematics because it provides “a context for learning and applying mathematical ideas” (NCTM 2000, p. 256). A series of Problems of the Week with a historical foundation connects all these strands. It provides students with a richer and deeper understanding of mathematical concepts; it shows them how and why such concepts were developed through years and sometimes centuries of hard work, partial success, sacrifice, trials, excitement, adversities, and delight; and it places mathematics in a clear and practical human context, demonstrating its astonishing usefulness. With its wealth of elegant concepts and proofs, colorful characters and interesting stories, such a foundation may increase students’ interest. A positive attitude toward mathematics can also result.",,
2,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,LEARNING OBJECTIVES,,
3,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"The primary objective of our yearlong Problem of the Week program is to focus attention on, and foster interest in, mathematics through a series of exciting, historically important problems that can raise students’ appreciation for and understanding of mathematical thinking. Exposing all our middle school students to challenging problems is in itself an objective of this project, as they all will benefit from engaging in problem-solving experiences (NCTM 2000).",,
4,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"Another objective, which aligns with the NCTM Standards for Grades 6–8, is a stronger emphasis on geometry. As geometry is an area that can sometimes be overlooked in our school curricula and an area in which U.S. students need practice, a significant portion of the year is reserved for this topic. Finally, this activity clarifies mathematics thinking and sustains conversations about mathematical ideas and strategies. This process allows students to explore problem solving from multiple perspectives and “analyze, compare, and contrast the meaningfulness, efficiency, and elegance of a variety of strategies” (NCTM 2000, p. 268).",,
5,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,PROGRAM DESIGN AND ACTIVITIES,,
6,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"Some of the schools—generally high schools, but also middle schools and college math departments—in our area run a Problem of the Week, or POW, program. This contest is designed to challenge the participants’ critical-thinking abilities through fascinating problems, puzzles, and brainteasers. Such contests are usually open to the general population; in our case, middle school students and faculty. (In the past, however, parents, students, and faculty in other divisions and departments have also participated.) The basic structure of a POW contest is as follows: A new problem is posted on a (physical or electronic) bulletin board on a designated day of the week; on the same day the following week, the solution is posted. Those who have submitted correct answers receive a small award or recognition.",,
7,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"I teach in a small independent all-girls school in the suburbs of Washington, D.C. The middle school comprises about 160 students in grades 7 and 8. Since we have a six-day schedule (A to F days), our program was called Problem of the Cycle (POC), and the problems were presented and solved on F days (not Fridays).",,
8,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"Although following essentially the same plan of a regular POW contest, ours differed in some important aspects: First, the problems and the solutions were presented and discussed in morning assembly with the entire middle school community. Second, the contest was organized by teams: In our school, the students are divided into two houses (White and Blue). Although each contestant could enter her solution individually, it was the aggregated number of correct results that decided the winning team for that cycle. (In case of a tie, the tiebreaker would be the highest number of entries.) This result would then be entered in the running contest that the two houses have during the school year and would contribute to the final score for each quarter. (The winning house receives a day out of dress code as a reward.)",,
9,A Historical Twist on Problems of the Week - National Council of Teachers of Mathematics,"The contest between the two houses and the day-out-of-uniform reward constituted excellent motivation for many students; others were encouraged to participate by the lack of personal competition, as the answers were submitted privately in a blue or a white box. In general, participation in this program, although always optional, increased as time went on. By the end of the year, all students were involved at various levels of engagement. In addition, the solution of the POC was presented to the assembly by a student who was chosen on the basis of her solution’s creativity, elegance, insight, or possibility for generalization. The other various strategies were also briefly mentioned and celebrated, and the students got to experience firsthand how each problem could be approachedwith different methods. The students were enthralled to see one of their classmates lead the assembly on mathematical topics, and many vied for that opportunity.",,
