__id__,__filename__,text,,
0,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
1,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
2,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,1. a. How many more minutes does Paige now spend on her homework?,,
3,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"b. Paige responded with various percentage increases. Are any of them correct? If so, explain. If not, what is the percentage increase in Paiges homework time?",,
4,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"c. For each incorrect response given by Paige, write how many minutes she would be spending on homework if the percentage were correct.",,
5,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,2. The price of a ticket for a show jumped from $6 to $20. Which of the following represents the percentage increase?,,
6,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,A. About 3.33% B. 30%,,
7,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,C. About 233% D. About 333%,,
8,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"3. Paige scored 82 points on the first math test of the year. On the second math test, she scored 78 points.",,
9,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"a. To the nearest tenth of a percent, what is the percentage decrease in the number of points she scored between the first and second test?",,
10,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"b. To the nearest tenth of a percent, 78 is what percent of 82?",,
11,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,4. A stock rises in value from $20 to $40. Then it decreases in value from $40 to $20. Is the percentage increase from $20 to $40 the same as the percentage decrease from $40 to $20? Explain.,,
12,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,5. A stock worth $100 drops in value by 96%. Then the value increases by 96%. What is the value of the stock now?,,
13,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,6. A number is increased by 200%. The result is then decreased by 100%. What is the final answer?,,
14,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,CHALLENGE,,
15,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"7. Donations to an annual fund-raiser are 15% greater this year than last year. Last year, donations were 10% greater than the year before. The amount raised this year is $10,120. How much was raised 2 years ago?",,
16,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,SOLUTIONS,,
17,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,1. a. Amount of change: 30 min.  5 min. = 25 min.,,
18,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,b. Paiges answers are all incorrect. The correct answer follows:,,
19,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
20,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"c. For a 600 percent increase: 100 percent of 5 minutes is 5 minutes. Therefore, a 600 percent increase represents an increase of 6  5, or 30 minutes. The amount of time spent on homework would be 5 + 30, or 35 minutes.",,
21,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"For a 700 percent increase: The time spent on homework would increase by 7  5, or 35 minutes. The new amount of time spent on homework would be 5 + 35, or 40 minutes.",,
22,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"For a 400 percent increase: 5 + 4  5, or 25 minutes",,
23,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"For a 1,000 percent increase: 5 + 10  5, or 55 minutes",,
24,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"For a 333 percent increase: 5 + 3.33  5, or 21.65 minutes",,
25,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"2. The correct answer is C, about 233 percent. Sample solution: The amount of increase is $20.00  $6.00, or $14.00.",,
26,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
27,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"Students who incorrectly choose A may have divided 20 by 6, obtaining 3.33. . . and incorrectly interpreted that to mean about 3.33 percent. Students who incorrectly choose B may have divided 6 by 20, obtaining 0.30, or 30 percent. Clearly, a jump from $6.00 to $20.00 represents more than a 100 percent increase, so 30 percent is unreasonable. Students who incorrectly choose D may have divided by 20 by 6, obtaining 3.33. . . and incorrectly interpreted that to mean about a 333 percent increases. Whereas 20 is about 333 percent of 6, the increase from $6.00 to $20.00 is only 233 percent.",,
28,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,3. a. About 4.9 percent. Sample solution:,,
29,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,First test score (original amount) = 82,,
30,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,Second test score (new amount) = 78,,
31,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,Amount of change: 82  78 = 4,,
32,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
33,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,The percentage decrease is about 4.9 percent.,,
34,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,b. About 95.1 percent. Sample solution:,,
35,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
36,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"Therefore, 78 is about 95.1 percent of 82. Another sample solution: Using the answer from part a, 1  0.049 = 0.951, or about 95.1 percent.",,
37,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,4. No. Sample solution:,,
38,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,Percentage increase from 20 to 40:,,
39,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
40,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,Percentage decrease from 40 to 20:,,
41,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,,,
42,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,The two percentages are not the same.,,
43,A Percentage Increase Is Needed on Homework! - National Council of Teachers of Mathematics,"5. $7.84. Sample solution: A 96 percent drop from $100.00 means that the stock loses 96 percent of $100.00, or $96.00. So after the drop, the stock is worth $100.00  $96.00, or $4.00. A 96 percent increase from $4.00 means that the stock gains 96 percent of $4.00, or $3.84. So after the gain, the stock is worth $4.00 + $3.84, or $7.84.",,
