__id__,__filename__,text,,
0,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"Introducing the stock market to students during math class makes both economics and mathematics more meaningful, teaches mathematical concepts using real-world data, and fits in well with the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010b). Furthermore, fluctuations in the stock market can lead to valuable student insight about change in function values over time.",,
1,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"In addition to developing financial literacy, a stock market project places mathematics within an authentic setting. Teaching mathematics through a problem-based format enhances student engagement and promotes understanding beyond the typical curriculum as it builds context for learning. Citing the Cognition and Technology Group at Vanderbilt (1990), Boaler (2002) writes that problem-oriented approaches to learning help students view mathematical concepts as useful tools that they can use in different situations rather than as algorithms only used in school (p. 123).",,
2,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"This article describes two different projects using the stock market as a context for learning. For both projects, students bought shares in individual companies, tracked stock prices for a period of time, and then sold their shares at a gain or loss. The projects are adaptable for students in late elementary school through high school and tie in well with CCSS for both mathematics and English language arts.",,
3,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,Stock market project 1,,
4,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"Mr. Piercey, Ms. Larkin, and Ms. McCloud team-taught the first stock market project in two fifth-grade classes over a three-week period. During a brief introductory discussion, students learned that companies sell stock to raise money and that shares of a company can be bought and sold in a stock market.",,
5,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"The first phase, called the  Pepsi/Coke Challenge, involved tracking the stock of both Pepsi and Coke for two weeks. At the beginning of each day, Larkin and McCloud projected an online stock quote for both companies on the board. The students recorded these values as the daily price of a share of stock in each company. At the end of each week, they used these observations as a representative data set and created a double-line graph (similar to the student work in fig. 1) to show the value of the stock (in dollars) over time.",,
6,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,,,
7,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"During class discussion, students used the graph to respond to questions comparing the market performance of Coke and Pepsi, requiring students to analyze data using a graphical representation. Unfortunately, almost all the students thought that Coke was a better investment than Pepsi because the stock price of Coke was always higher than that of Pepsi. This indicated that students focused on the values of the functions themselves, not how the functions were changing. This concept is  specifically addressed in Project 2.",,
8,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,"During the second phase of  Project 1, students selected their own stocks from a list of familiar companies. Using the schools computer lab, students learned some of the basic elements of a stock quote using Google Finance (www.google.com/finance), a website that displays both real-time and historical stock market data along with relevant news articles. Students recorded the current price of their selected stock to represent the purchase price. During the next visit, students looked up the quote again, wrote down the new price, and determined their gain or loss. Some students looked at news links and even expressed surprise when their stock price rose in spite of what they interpreted as bad press for a particular stock choice (a robbery of a Dominos employee while out on a delivery). This phase involved students gathering information from digital sources, assessing credibility, and paraphrasing the data of others, all found in the Common Core State Standards for English Language Arts and Literacy (CCSSI 2010a, p. 44).",,
9,A Tale of Two Stock Markets - National Council of Teachers of Mathematics,Stock market project 2,,
