__id__,__filename__,text,,
0,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Descriptors of Bloomâ€™s dimensions and Webbâ€™s levels are given below for a quick reference while reading.,,
1,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Revised Bloomâ€™s Taxonomy,,
2,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Remember,,
3,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Understand,,
4,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Apply,,
5,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Analyze,,
6,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Evaluate,,
7,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,â€¢ Create,,
8,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Webbâ€™s Depth of Knowledge,,
9,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Level 1: Recall and reproduction,,
10,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Level 2: Basic skills and concepts,,
11,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Level 3: Strategic thinking and reasoning,,
12,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,Level 4: Extended thinking,,
13,A Tool for Rethinking Teachers Questioning - National Council of Teachers of Mathematics,"The substance of questions has been at the forefront of considerations of discourse since Socrates instituted his gadfly approach. In the last century, Gould (1923) claimed, â€œAs a general rule it is well to avoid all . . . questions which do not stimulate thought. Any question which suggests the answer is worthlessâ€ (p. 55). As a â€œskillful presiding officer of an assemblyâ€ (p. 53), Gould proposed that teachers should question students to stimulate reflective thinking, recall principles and form hypotheses, reason independently, and contribute to class discussions. Additionally, Kuhn (2005) argued that students should also develop skills of inquiry and of argument as a way of becoming independent thinkers and learners. These skills are a social activity that should be developed and fostered by teachers through the questions and mathematical tasks posed to students.",,
