__id__,__filename__,text,__id__,__filename__
0,Abacus Interactive,mathematical explorations classroom-ready activities,0,Abacus Interactive
1,Abacus Interactive,Abacus Interactive,1,Abacus Interactive
2,Abacus Interactive,"Ellen Robinson, Xiaowen Cui, Nama Namakshi, Hiroko K. Warshauer, Sonalee Bhattacharyya, and Christina Koehne cCalculators are often effi cient in  fi nding the answer to an addition or subtraction problem, but they do not reveal the process by which the answer is obtained. Developing students’ ﬂ uency in addition and subtraction using strategies and algorithms based on place value, composing and decomposing numbers in base 10, and reading and writing numerals in expanded form are important teaching and learning standards not only for the elementary grades but for middle school students as well (NCTM 2000; CCSSI 2010; TEA 2015). We introduced the Chinese abacus to our students as a hands-on tool to illuminate the meaning of a number in expanded form in terms of place values and to strengthen students’ conceptual understanding of the standard algorithms of addition and ",2,Abacus Interactive
3,Abacus Interactive,"Edited by Marilyn Howard, marilynhoward@utulsa.edu, University of Tulsa, Oklahoma; Christine Kincaid Dewey, dewey@wcskids.net, Macomb Mathematics Science Technology Center, Warren, Michigan; and Hiroko K. Warshauer, hiroko@txstate.edu, Texas State University, San Marcos. Readers are encouraged to submit classroom-tested activities through http://mtms.msubmit.net.  subtraction. “Students’ understanding of the base 10 number system is deepened as they come to understand its multiplicative structure” (NCTM 2000, p. 143). This activity will let students explore the mathematical properties of the base 10 system in a creative and interactive way. Students develop a deeper meaning of why the standard algorithms work and how they relate to a number in expanded form. This activity is best suited for elementary and middle grades.",3,Abacus Interactive
4,Abacus Interactive,THE CHINESE ABACUS AND HOW IT WORKS,4,Abacus Interactive
5,Abacus Interactive,"The Chinese abacus, or suanpan, in Chinese, was fi rst described in a 190 CE book of the Eastern Han dynasty (Yoke 2000). It is a calculating tool that was in use centuries before the adoption of the modern, written numeral system, and it is still used by merchants and bookkeepers (Heffelfi nger 2010). Below we present a brief introduction on how to use the Chinese abacus for representing numbers and performing the basic arithmetic operations of addition and subtraction. A more detailed description on how to use this tool can be found at http://www.tuxgraphics .org/giniandkarlsworld/mathblog/ abacusexplained.shtml. ",5,Abacus Interactive
6,Abacus Interactive,Fig. 1 This standard Chinese abacus is shown in the starting position.,6,Abacus Interactive
7,Abacus Interactive,Figure 1 illustrates a standard ,7,Abacus Interactive
8,Abacus Interactive,"Chinese abacus in the starting position, which represents a value of zero. The abacus consists of seven beads on each vertical rod with one horizontal beam referred to as the center beam. Of the seven beads, two beads are located above the center beam and fi ve beads are located below, called the upper and lower beads, respectively. The columns (vertical rods) represent the place values of the beads. The rightmost column represents the units place, the second column from the right represents the tens place, and so forth. When a bead is moved toward the center beam, it is given a value. ",8,Abacus Interactive
9,Abacus Interactive,"In the rightmost column, each  bead below the center beam is worth one unit; each bead above the center beam is worth fi ve units. In the second column, each bead below the ",9,Abacus Interactive
10,Abacus Interactive,Fig. 2 The number 67 is shown.,10,Abacus Interactive
11,Abacus Interactive,Fig. 3 This example illustrates adding 23 + 49.,11,Abacus Interactive
12,Abacus Interactive,Step 1: Start with 23 on the abacus.,12,Abacus Interactive
13,Abacus Interactive,Step 4 continued: ,13,Abacus Interactive
