__id__,__filename__,text,__id__,__filename__
0,Advice for Mathematical Argumentation,AdVice For,0,Advice for Mathematical Argumentation
1,Advice for Mathematical Argumentation,MAtheMAticAl,1,Advice for Mathematical Argumentation
2,Advice for Mathematical Argumentation,ArguMeNtAtioN “Telling” can be an effective tool in helping students engage in intellectually demanding argumentation and productive behavior. ,2,Advice for Mathematical Argumentation
3,Advice for Mathematical Argumentation,"Copyright © 2014 The National Council of Teachers of Mathematics, Inc. www.nctm.org. All rights reserved. 494  MatheMatics teaching in the Middle school  ●  Vol. 19, No. 8, April 2014",3,Advice for Mathematical Argumentation
4,Advice for Mathematical Argumentation,MAtheMAticAl,4,Advice for Mathematical Argumentation
5,Advice for Mathematical Argumentation,ArguMeNtAtioN daisy Wise rutstein,5,Advice for Mathematical Argumentation
6,Advice for Mathematical Argumentation,"Jennifer knudsen, teresa lara-Meloy,  harriette stallworth stevens, and ",6,Advice for Mathematical Argumentation
7,Advice for Mathematical Argumentation,"With new standards come new teaching opportunities. The Common Core State Standards for Mathematics (CCSSM) emphasizes argumentation as one of its eight mathematical practices across grades and across mathematical topics. Social and mathematical aspects of argumentation are included in the statement that students should “Construct viable arguments and critique the reasoning of others” (CCSSI 2010, p. 6).",7,Advice for Mathematical Argumentation
8,Advice for Mathematical Argumentation,"Mathematical argumentation is a special kind of discourse, the goal of which is to determine the truth of mathematical statements. Supporting argumentation is complex, and teachers need a variety of methods for doing so. The method we focus on in this article is giving students advice about how to behave as they engage in mathematical argumentation. Although much has been written on questioning to support mathematical discourse, telling is an important teaching move, too (Chazan and Ball 1999; Parks 2010).",8,Advice for Mathematical Argumentation
9,Advice for Mathematical Argumentation,"Mathematical argumentation can be viewed as a social activity with three parts, in which students work together to (1) make conjectures, (2) justify the conjectures, and (3) decide whether they are true or false (i.e., conclude) (Erduran, Simon, and Osborne 2004; Sowder and Harel 1998; Zohar and Nemet 2002). Conjecturing is a process of conscious guessing (Lakatos 1976) or pattern finding to create mathematical statements of as-yet undetermined mathematical validity (Harel 2008). Justifying is a process of explicating one’s reasoning to establish the mathematical validity of a conjecture. Concluding is the process of coming to consensus or agreement about the validity of the conjecture and its justification (Shechtman and Knudsen 2009).",9,Advice for Mathematical Argumentation
