__id__,__filename__,text,,
0,All Talk and More Action - National Council of Teachers of Mathematics,"How better to begin the study of linear equations in an algebra class than to determine what students already know about the subject? A seventh-grade algebra class in a suburban school undertook a project early in the school year that was completed before they began studying linear relations and functions. Most of the students had experienced the Connected Mathematics 3 curriculum during their sixth-grade year, including the Moving Straight Ahead unit (Lappan et al. 2006). In addition, a few students had taken an online course during the summer to qualify for the honors algebra course. The project, which might have been assigned at the end of a unit in a traditional class, was assigned before the start of the unit. It is detailed in figure 1.",,
1,All Talk and More Action - National Council of Teachers of Mathematics,,,
2,All Talk and More Action - National Council of Teachers of Mathematics,"By assigning the project early in the unit, studentsâ€™ prior learning and initial understanding became apparent, offering both a subject for mathematical reasoning and the construction of mathematical arguments. The objective of the project was to determine studentsâ€™ understanding of proportional relationships regarding ratios, proportions, and equation representations that are more formal and typically part of an algebra 1 curriculum. The task supported the development of an essential understanding from Developing Essential Understanding of Ratios, Proportions, and Proportional Reasoning for Teaching Mathematics in Grades 6â€“8 (Lobato and Ellis 2010): â€œA rate is a set of infinitely many equivalent ratiosâ€ (p. 42). Further, it aligned with the Common Coreâ€™s algebra standards (CCSSI 2010) related to creating equations that describe numbers or relationships.",,
3,All Talk and More Action - National Council of Teachers of Mathematics,OVERVIEW AND RELATION TO PRINCIPLES TO ACTIONS,,
4,All Talk and More Action - National Council of Teachers of Mathematics,The lesson rests on the eight mathematics teaching practices described in Principles to Actions: Ensuring Mathematical Success for All (NCTM 2014). (See the list of practices in fig. 2.),,
5,All Talk and More Action - National Council of Teachers of Mathematics,,,
6,All Talk and More Action - National Council of Teachers of Mathematics,"Since the purpose of engaging students in the task before instruction was to elicit and use evidence of student thinking to guide further instruction, both the projects and the discussion that followed submission provided evidence to direct future lessons on the subject. Consistent with Wiliamsâ€™ (2007) strategies, gathering evidence of student thinking and interpreting the information were the work of the teacher during the whole-class discussion.",,
7,All Talk and More Action - National Council of Teachers of Mathematics,"Students assembled near the front of the room, and the discussion began. Soon after, the enormous variety in the depth of understanding within the class became clear. Although some students spoke eloquently about linear relations, making connections easily among tables, graphs, words, and equations, others conveyed only a partial understanding about proportional relations and their representations. Teachers may expect that students entering an honors algebra class would hold similar understandings of concepts; however, this task and the related discussion uncovered the varying depth of understanding among the students and an assortment of misconceptions related to the topic. These differences allowed (1) students to engage in a rich discussion that included challenging the thinking of their peers, and (2) their teacher to focus instruction in subsequent classes.",,
8,All Talk and More Action - National Council of Teachers of Mathematics,PREPARING DISCUSSION QUESTIONS,,
9,All Talk and More Action - National Council of Teachers of Mathematics,"Between the project submission and the whole-class discussion of the projects, the teacher analyzed student work. She carefully scrutinized it for instances of partial understanding, parallel and divergent thinking, and opportunities to advance student thinking. Teacher notes regarding indicators of student thinking guided the planning of questions that were used in facilitating meaningful mathematical discourse during the whole-group discussion (Stein et al. 2008). The questions posed guided the flow of the lesson and ensured that the discussion included opportunities for assessing studentsâ€™ conceptual understanding; it also allowed students to make connections among the representations. Figure 3 shows, in preplanned order, questions that were written in response to student work showing partial understanding.",,
