__id__,__filename__,text,,
0,An Amazing Algorithm - National Council of Teachers of Mathematics,"The rapid growth of digital technology, including the worldwide adoption of mobile and embedded computers,  places new demands on K–grade 12 educators and their students. We believe that young people should have an opportunity to learn the technical knowledge of computer science  (e.g., computer programming, mathematical logic, and discrete mathematics) to participate in the growing digital economy. The Bureau of Labor Statistics projects that by 2020,  62 percent of new jobs in the STEM occupations will require computer  science knowledge (Austin 2013).",,
1,An Amazing Algorithm - National Council of Teachers of Mathematics,"Many accessible programming languages are available (e.g., Alice, Kojo, Processing, and Scratch) to engage young students in computer programming experiences. However, there is a growing consensus among computer scientists (Bell et al. 2009; Cuny 2011; Wing 2008) that learning to code should be combined with instruction in computational thinking. We define computational thinking as the logical basis of computer science, which includes abstract structures, algorithmic processes, Boolean logic, and discrete mathematics.",,
2,An Amazing Algorithm - National Council of Teachers of Mathematics,This article explores several class- room activities that introduce middle school students to computational thinking using mazes and related mathematical puzzles that are reducible to graphical representations and are solved through algorithmic processes.,,
3,An Amazing Algorithm - National Council of Teachers of Mathematics,MAZES AND GRAPHS,,
4,An Amazing Algorithm - National Council of Teachers of Mathematics,"A maze is a network of passages connected by junctions, with a prescribed entrance and goal. We present a version of Trémaux’s algorithm that enables students to solve mazes and related puzzles efficiently. We also show how to represent a maze by its abstract graph. When studied together, these activities illuminate how Trémaux’s algorithm can be generalized to solve various puzzles (e.g., peg solitaire, the Towers of Hanoi, and river-crossing puzzles). These activities demonstrate some of the mathematical practices advocated in the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010, pp. 6–7):",,
5,An Amazing Algorithm - National Council of Teachers of Mathematics,• Make sense of problems and  persevere in solving them.,,
6,An Amazing Algorithm - National Council of Teachers of Mathematics,• Reason abstractly and quantitatively.,,
7,An Amazing Algorithm - National Council of Teachers of Mathematics,• Model with mathematics.,,
8,An Amazing Algorithm - National Council of Teachers of Mathematics,• Use appropriate tools strategically.,,
9,An Amazing Algorithm - National Council of Teachers of Mathematics,Models are abstract representations of a complex problem or phenomena. Even a simple model that involves making choices and diagrams of graphs of various kinds are powerful tools for mathematical understanding and problem solving (CCSSM 2010). Developing an understanding of and implementing algorithms within the context of mazes can help students examine how algorithms work and how they model real-world situations. Mazes can be solved by random exploration or with a systematic strategy. Integrating the study of mazes with graph theory elucidates the connections between these puzzles and core areas in mathematics and computer science.,,
10,An Amazing Algorithm - National Council of Teachers of Mathematics,"A graph is an abstract structure that consists of a set of vertices (or points  or nodes) and a set of edges (or arcs) that connect either pairs of vertices or a vertex to itself. Every maze can be represented by a graph. First, vertices are drawn in the maze (see fig. 1a) coinciding with its essential features: the entrance, the goal, each dead end, and each junction (see fig. 1b). Edges are then drawn to represent each passage by connecting pairs of vertices that correspond to adjacent features in the maze (see fig. 1c). Think of the graph as being the skeleton of the maze, with the edges simplified by removing bends and shortening their lengths (see  fig. 1d). There exists a one-to-one correspondence between the routes through the maze and the routes through the graph. Consequently, any algorithm that can be used to solve a maze can be used to find an existing path between the starting and ending points in its graph. Conversely, any puzzle that can be reduced to finding a path in a graph between two given vertices can also be solved as if it were a maze.",,
11,An Amazing Algorithm - National Council of Teachers of Mathematics,,,
12,An Amazing Algorithm - National Council of Teachers of Mathematics,TRÉMAUX’S ALGORITHM,,
13,An Amazing Algorithm - National Council of Teachers of Mathematics,"There are several methods for solving mazes. The most common method is “wall following” (e.g., place your left hand on the left wall when you enter the maze and follow that wall without removing your hand). Unfortunately, the wall-following method does not always produce a solution to the maze (see fig. 2).",,
14,An Amazing Algorithm - National Council of Teachers of Mathematics,The earliest known algorithm for solving a general maze was attributed by Lucas (1891) to Charles Pierre Trémaux. This algorithm requires that students place one of two different marks (X and N) at the ends of the passages that they visit as they traverse the maze according to the following definitions:,,
15,An Amazing Algorithm - National Council of Teachers of Mathematics,• One is said to be marching forward if one is traversing a passage for the first time.,,
16,An Amazing Algorithm - National Council of Teachers of Mathematics,• One is said to be marching  backward if one is traversing a passage for the second time (thus going in the opposite direction of the first traversal).,,
17,An Amazing Algorithm - National Council of Teachers of Mathematics,Initially all passages are unmarked. The five rules enumerated in figure 3 describe how students mark the end of each passage they visit as they explore the maze. An important outcome of these rules is that every visited junction will be marked so that it has exactly one passage with an X. Every remaining passage that has been traversed is labeled with an N.,,
18,An Amazing Algorithm - National Council of Teachers of Mathematics,,,
19,An Amazing Algorithm - National Council of Teachers of Mathematics,LEARNING ACTIVITIES,,
20,An Amazing Algorithm - National Council of Teachers of Mathematics,"One of the easiest ways to practice  Trémaux’s algorithm is with mazes drawn on paper. Begin with easy mazes, like the ones shown in figure 4, before working with more complex mazes. Encourage students to construct the equivalent graph of the maze as shown in figure 1. Reducing the maze to a graph requires students to define the locations of the junctions, which can vary according to interpretation. For example, the initial vertex in figure 1d has five incident edges, but it could be split into two vertices, resulting in a different application of Trémaux’s algorithm. Also note that the algorithm can either be applied within the maze (see fig. 5), or on the equivalent graph (see also fig. 7, which appears later in the article).",,
21,An Amazing Algorithm - National Council of Teachers of Mathematics,,,
22,An Amazing Algorithm - National Council of Teachers of Mathematics,,,
23,An Amazing Algorithm - National Council of Teachers of Mathematics,"We have had success in asking students to pretend to be a mouse that always selects the leftmost available passage from its current perspective. We call this a left-bearing strategy. (Similarly, one can define a right- bearing strategy.) In figure 5, each of these strategies is applied to the maze shown from figure 1.",,
