__id__,__filename__,text,__id__,__filename__
0,An Architecture Design Project: Building Understanding,An Architecture Design Project:,0,An Architecture Design Project: Building Understanding
1,An Architecture Design Project: Building Understanding,"Understanding “Building” mMiddle school students need relevant, ",1,An Architecture Design Project: Building Understanding
2,An Architecture Design Project: Building Understanding,"Seventh-grade students investigate area,  surface area, volume, proportional thinking, number sense, and technology.",2,An Architecture Design Project: Building Understanding
3,An Architecture Design Project: Building Understanding,"Sarah B. Bush, Judith Albanese, Karen S. Karp, and Matthew Karp meaningful contexts to apply emerging mathematical ideas. In this project, through the context of an architecture investigation, seventh-grade students engaged in mathematics involving area, surface area, volume, ratios and proportional thinking, number sense, and technology integration. Students, working in mixed-ability groups, were given an occupant scenario, which they used to build a home designed to meet the needs of their unique residents. After initial drawings of plans followed by critiques from a practicing architect, they finalized designs and carried out  mathematical tasks related to their plans. As a culminating event, student groups presented their home plans to local stakeholders, including peers, an architect who designed the school building, the district’s mathematics curriculum specialist, and teachers from the school, who provided valuable feedback. Throughout the project, students completed a math log to record their mathematical thinking. Our project was tested in two seventh-grade classes taught by one of the authors. ",3,An Architecture Design Project: Building Understanding
4,An Architecture Design Project: Building Understanding,This project aligns primarily to one cluster in the seventh-grade geometry domain of the Common Core State ,4,An Architecture Design Project: Building Understanding
5,An Architecture Design Project: Building Understanding,"Standards for Mathematics (CCSSM), which is to “solve real-life and mathematical problems involving angle measure, area, surface area, and volume” (CCSSI 2010, 7.G.6, p. 50). The appendix (online) describes specific alignment to both sixth- and seventhgrade content standards as well as connections to solving real-world and mathematical problems in ways that connect to two seventh-grade domains: ratios and proportional relationships, and the number system. Additionally, this project addresses two of the Common Core’s eight Standards for Mathematical Practice (SMPs).   “Building” ",5,An Architecture Design Project: Building Understanding
6,An Architecture Design Project: Building Understanding,"SMP 4, Model with mathematics, states that “Mathematically proficient students can apply the mathematics they know to solve problems arising in everyday life, society, and the workplace” (p. 7). Students also accessed SMP 5, Use appropriate tools strategically, employing technology to build their architectural designs. Furthermore, NCTM’s Principles to Actions: Ensuring Mathematical Success for All describes eight high-leverage Mathematics Teaching Practices that guide teachers to effectively implement instruction. This activity provides an example of Practice 1 and Practice 7:  •   “Implement tasks that promote reasoning and problem solving.” As students engage in this project, which allows for a variety of  solution strategies, they must  reason mathematically.  •   “Support productive struggle   in learning mathematics”  (NCTM 2014, p. 10). Students authentically wrestle with using design technology to create home plans that are responsive to the  needs of occupants as well as  conforming with established  building constraints. ",6,An Architecture Design Project: Building Understanding
7,An Architecture Design Project: Building Understanding,"Because this transdisciplinary  project was an authentic convergence of design, art, aesthetics, engineering, community planning, and mathematics, the teacher had to move between the realm of the mathematics and other subjects to truly address objectives from each field of study. Transdisciplinary teaching supports students in— exploring content areas by foregrounding a problem or issue using multiple inquiry processes, which naturally connect the disciplines through the problem to be solved. (Herro and Quigley 2016, p. 2) ",7,An Architecture Design Project: Building Understanding
8,An Architecture Design Project: Building Understanding,"You will notice that as a truly integrated project, it is neither a mathematics project that touches on some small aspect of engineering nor an art project that touches on a trivial aspect of mathematics—it is a blend. Therefore, in some sections of the work described below, the focus will, for example, shift to design. We have found it important in our work that middle school students witness how learning can truly cross over into multiple disciplines, as this is what they will experience in the real world.",8,An Architecture Design Project: Building Understanding
9,An Architecture Design Project: Building Understanding,INTRODUCTION AND BRAINSTORMING,9,An Architecture Design Project: Building Understanding
10,An Architecture Design Project: Building Understanding,"On the first day of this exploration, students watched a video in which the architect on our author team provided home-design constraints (see fig. 1). Some elements of community planning and design were easily understood, but some required more detail, such as the description of public versus private space. To get students thinking, the ",10,An Architecture Design Project: Building Understanding
11,An Architecture Design Project: Building Understanding,Fig. 1 Students had to work within these project constraints.,11,An Architecture Design Project: Building Understanding
12,An Architecture Design Project: Building Understanding,"Directions: The following is a list of constraints that your group needs to be aware of when designing your home. Your design must have the following: • One story—no basement • Between 2000 square feet,     ±20 percent • At least 15 feet from the road • At least 15 feet from all     property lines • Front door • Back door • Kitchen • At least 1 bathroom •  Use standard conventional dimensions for doorways, hallways, ceilings, and so forth.",12,An Architecture Design Project: Building Understanding
13,An Architecture Design Project: Building Understanding,"• A closet for each bedroom • Do not consider electricity,     heat, and plumbing",13,An Architecture Design Project: Building Understanding
14,An Architecture Design Project: Building Understanding,Fig. 2 Each student group received a unique occupant scenario card.,14,An Architecture Design Project: Building Understanding
15,An Architecture Design Project: Building Understanding,"Scenario A: Your challenge is to design the ideal space for a family of four. This family includes a Mom and Dad in their 40s, a daughter age 7, and a son age 9. They also have a pet pig. Mom likes to do yoga, Dad likes watching sports, the daughter wants to be a scientist, and the son loves to play basketball. Their pet pig needs a place to stay cozy outside, but the family would also like a designated space in the house where the pig could stay.",15,An Architecture Design Project: Building Understanding
16,An Architecture Design Project: Building Understanding,"Scenario B: Your challenge is to design the ideal space for a newlywed couple. They have two cats and a cockatiel. She needs an office space in the house, and he wants a man cave. He also has a motorcycle.",16,An Architecture Design Project: Building Understanding
17,An Architecture Design Project: Building Understanding,"Scenario C: Your challenge is to design the ideal space for three elderly sisters. One sister has a walker, and one sister loves to cook. They all think they are the “ruler of the house” and deserve the biggest space.",17,An Architecture Design Project: Building Understanding
18,An Architecture Design Project: Building Understanding,Scenario D: Your challenge is to design the ideal space for three college students—two males and a female. The female wants her privacy. All three of them are avid road bikers and have a combined 5 bikes and accessories.,18,An Architecture Design Project: Building Understanding
19,An Architecture Design Project: Building Understanding,"Scenario E: Your challenge is to design the ideal space for a family of three, soon to be four. The couple already has a four-year-old boy and just found out they are expecting another boy. They are very musically inclined, and they want the four-year-old to learn how to play the piano.",19,An Architecture Design Project: Building Understanding
20,An Architecture Design Project: Building Understanding,"Scenario F: Your challenge is to design the ideal space for a couple who have grown children. Although they have been empty nesters for the last five years, they recently found out that their daughter and granddaughter, age 13, are moving back in. The teenager is not excited about moving in with her grandparents.",20,An Architecture Design Project: Building Understanding
