__id__,__filename__,text,,
0,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,.,,
1,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
2,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,1. A charity raffle sells 100 tickets with a grand prize of $500. There are no other prizes. Brutus buys 1 ticket.,,
3,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,a. What is the probability that Brutus will win the grand prize?,,
4,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,b. What is the probability that Brutus will not win the grand prize?,,
5,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,c. How are the events in (a) and (b) related?,,
6,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
7,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,d. How will Brutuss chances improve if he buys 2 tickets rather than 1?,,
8,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,2. Brutus does not want to buy more than 1 ticket because he does not want to be certain to buy a losing ticket.,,
9,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,a. Suppose that in the raffle above Brutus buys 2 tickets. What is the probability that at least 1 of his tickets is a losing ticket? Explain.,,
10,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
11,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
12,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,b. Do you agree with Brutuss logic? Why or why not?,,
13,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,"3. The park district is holding a raffle with $20,000 as the grand prize, and it wants to make a $5,000 profit (after the $20,000 prize money has been paid out). Each raffle ticket will cost $25, and there will be just one winner.",,
14,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,a. How many tickets must be sold to make this profit?,,
15,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
16,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,"b. If the park district sells the number of tickets in part (a), and Brutus buys 1 ticket, what is his probability of buying the winning ticket?",,
17,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,,,
18,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,"c. If Brutus buys 1 ticket, what is his expected value? The expected value is the product of the probability and the prize. Is buying the raffle ticket a good investment? Why or why not?",,
19,Are You Ticketed to Win or Lose_ - National Council of Teachers of Mathematics,4. Suppose that the park district in problem 3 sells raffle tickets for $25 each but also offers a buy 3 and get 1 free deal.,,
