__id__,__filename__,text,,
0,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Mathematics is a language that is characterized by words and symbols that have precise definitions (Devlin 1998). Many opportunities exist for miscommunication in mathematics if the words and symbols are interpreted incorrectly or used in imprecise ways. In fact, we find that imprecision is a common source of mathematical disagreements and misunderstandings between students, as well as between students and teacher.",,
1,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"To help students learn to communicate more precisely, we devised an activity called a Communication Game that involved relating trips along a number line to arithmetic equations. A key feature of this game is that it places students in situations that require precise communication with their classmates. Students find out for themselves how successfully they communicated, and they give feedback to their peers to help them communicate more precisely in the future. Communication Games, more broadly, can be incorporated in different mathematical domains.",,
2,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,A CLASSROOM EXAMPLE,,
3,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Our example of a Communication Game had its origins in an introductory unit on integer arithmetic. We used this unit with fifth graders who had no previous integer instruction. The unit involved reasoning about number line trips and relating such trips to arithmetic equations. A simple example of a number line trip would be to start at 5, go 3 spaces to the right, and end at 8. This trip would typically be expressed by the equation 5 + 3 = 8. At the beginning of the unit, we restricted number line trips to the right side of zero so that we could establish foundational ideas that would be important when students began reasoning about negative integers. Although addition and subtraction of whole numbers were familiar topics for the students, relating such equations to number line trips required careful attention to the details of the correspondence. We found that students were imprecise in relating equations to trips. Therefore, we introduced the Communication Game as a way to improve precision.",,
4,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Step 1. Students were assigned to groups. Two secret messages (equations, in this case) were given to each group. Students had to communicate their secret messages to a partner group by encoding them as drawings of number line trips. This task required students to consider such issues as how to illustrate traversing distance on the number line and how the order of the addends would affect the drawings. In the first game, group A was given the messages 20 + 5 = 25 and 5 + 20 = 25; group Bs messages were 9 + 4 = 13 and 13  4 = 9.",,
5,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Step 2. Students worked in groups to encode their secret messages. Group A decided to distinguish its two equations by drawing the first trip from 20 to 25 and the second from 5 to 25. In this way, the students attended to one important issue in precisely relating equations to number line trips. On the other hand, they did not attend to other matters of precision, such as indicating the direction of their trips. (See fig. 1.)",,
6,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,,,
7,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Group B, by contrast, focused on the issue of direction and decided to use arrows to show whether a trip was going to the right (as in 9 + 4 = 13) or to the left (as in 13  4 = 9). (See fig. 2.)",,
8,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,,,
9,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Step 3. Group A found it easy to interpret group Bs messages because the direction of the trips was clear. Group B, on the other hand, was unsure about the intended direction of group As trips. That group also questioned whether the trips were additive (as in 5 + 20 = 25) or multiplicative (as in 5  5 = 25). The groups did their best to decode the messages that they had received. They also prepared feedback to improve precision in future communications.",,
10,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Step 4. The groups then met and held a conference to share their interpretations and reveal their secret messages. Group A had interpreted group Bs messages as intended, whereas group B was unsure about the intended meanings of group As drawings.",,
11,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"Step 5. The teacher helped to facilitate the conference by asking group B, Is there anything that you would suggest changing or adding to their drawing that would make it more clear? Student Kiyana suggested, Adding arrows going this way or that way. She further explained, This way to add [pointing to the right] and this way to subtract [pointing to the left] cause you go lower or higher. Other students agreed with Kiyanas suggestion.",,
12,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"In subsequent activities, it became the norm for students in the class to use arrows to indicate the direction of number line trips. As students played these games, we saw improvements in their attention to precision.",,
13,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"The episode above highlighted improvement in one aspect of precision: indicating the direction of a number line trip. Other aspects were addressed in interactions and games that occurred later. For example, trips related to equations like 5 + 10 = ? were consistent with Kiyanas description of addition moving to the right. However, when students began exploring trips such as 10 + 5 = ?, they had to reason through the idea that adding a negative number would have the opposite effect as adding a positive number. In fact, this new possibility led to a discussion of the important point that two different equations could be used to represent the same trip (e.g., 10  5 = 5 looked the same as 10 + 5 = 5). In cases of adding or subtracting a negative integer, the class agreed that although there could be more than one correct equation, there were correct and incorrect correspondences between equations and number line trips. Thus, precision did not necessarily imply one unique answer. We used a Communication Game as a catalyst for these discussions. Whereas it was the students responsibility to communicate effectively, we devised messages that would likely lead to miscommunication and give rise to important discussions.",,
14,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"In addition to the issue of direction, differences were found in how students illustrated how number line distances were traversed. Some students seemed to think in terms of representing the equation itself by showing the starting and ending points and then illustrating the distance traveled as one big jump. Other students used their drawings to represent the strategy that they had used to traverse the distance. For example, the drawing in figure 1 showed the distance from 5 to 25 being traversed in jumps of 5 units, giving it a repeated-addition structure, as opposed to one big jump from 5 to 25. Thus, it became necessary to clarify whether the drawings were intended to simply match the original equation or to illustrate students strategies. This Communication Game created opportunities for such matters to be negotiated and discussions to take place.",,
15,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,STUDENT OWNERSHIP OF THE NEED FOR PRECISION,,
16,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"To appreciate the value of using a Communication Game, consider an alternative approach. Rather than giving students the opportunity to attempt to communicate secret messages to one another, the teacher could instead have emphasized the importance of precision and instructed students to always make arrows when drawing number line trips. Such an approach may have resulted in students drawing arrows; however, students would only have experienced the need to attend to precision as a rule imposed by the teacher. By contrast, when our students participated in Communication Games, they gained an appreciation for the need to be precise after receiving practical feedback from other students when they were not entirely successful in their communication. We believe that they experienced an intellectual need for precise communication (Harel 2013). When participating in Communication Games, students see the natural consequences of the precision of their encoded messages on their ability to communicate. We found that students were motivated to communicate successfully, so they worked to make their drawings more precise.",,
17,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,WHAT IS A COMMUNICATION GAME?,,
18,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"A Communication Game is an engaging and productive activity that we have used to improve students mathematical understandings while encouraging attention to precision. The goal is for each group of students to communicate one or more secret messages effectively to their partner group. We suggest groups of two to four students; however, group sizes may vary depending on the nature of the messages and the intended discussion. A Communication Game creates a need for precision in student-to-student communication, rather than the teacher having to play an evaluative role. The process of facilitating these games involves several of the Mathematics Teaching Practices described in Principles to Actions: Ensuring Mathematical Success for All (NCTM 2014). Students participation in these games also creates opportunities for them to engage in mathematical practices and to develop their mathematical communication skills.",,
19,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,We devised a Communication Game to consist of five steps. We describe these steps with connections to the Mathematics Teaching Practices and the Common Cores Standards for Mathematical Practice (SMP) (CCSSI 2010):,,
20,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"1. A teacher hands out previously devised secret messages to student groups. A secret message may be presented as a solution, equation, definition, expression, or other representation. Each group receives different secret messages that the teacher deliberately chooses, designing the messages to orient students to reason about particular issues (Mathematics Teaching Practice 2: Implement tasks that promote reasoning and problem solving).",,
21,Attending to Precision with Secret Messages - National Council of Teachers of Mathematics,"2. In groups, students encode their secret messages through illustrations or other written descriptions. A Communication Game involves small groups of students using and connecting two distinct types of representations: the message and its encoded form. Students encode each message into a different form, such as a drawing, graph, or story, which their partner group will attempt to decode. The teacher typically specifies the type of representations to be used for encoding but can also allow for students to choose their type of representation. By focusing students attention explicitly on relationships between representations, a Communication Game creates opportunities for students to clarify their understanding of the nuances of those relationships (Mathematics Teaching Practice 3: Use and connect mathematical representations). A Communication Game puts students thinking on display in ways that highlight salient features, specifically those aspects of representational relationships about which students might disagree. While students are working to encode a message, the teacher has opportunities to ask questions to clarify how students are thinking (Mathematics Teaching Practice 8: Elicit and use evidence of student thinking).",,
