__id__,__filename__,text,,
0,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",BOOKS AND PRODUCTS,,
1,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",FROM NCTM,,
2,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Individual NCTM members receive a 20% discount on NCTM publications. To order, visit www.nctm.org/catalog.",,
3,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",,,
4,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",Mathematics Education in the United States 2016: A Capsule Summary Fact Book (POD),,
5,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","John A. Dossey, Sharon Soucy Mccrone, and Katherine Taylor Halvorsen, 2016. 142 pp., $19.95 paper. ISBN 978-0-87353-982-1. Stock no. 15364. National Council of Teachers of Mathematics; http://www.nctm.org",,
6,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","This book was originally written for the Thirteenth International Congress on Mathematical Education (ICME-13), which was held in July 2016, in Hamburg, Germany. The book contains valuable information for anyone wanting to gain knowledge about mathematics education in the United States, past and present. Readers can find historical information on the organization and policies of education, ranging from kindergarten through college. Data on student achievement (in the United States and internationally) and information about mathematics curricula are also included. Readers will also find discussion about teacher preparation with regard to mathematics education, the Common Core State Standards for Mathematics (CCSSM), and the types of programs and resources available for mathematics teachers and students.",,
7,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","As a graduate student studying mathematics education, I appreciated having all the information summarized in one resource. The sections on implementing and assessing CCSSM as well as the resources, which provide information on professional mathematics organizations and competitions for math students, would be an interesting read for anyone who is unfamiliar with those topics.",,
8,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Being detail oriented, I would not promote reading this fact book from cover to cover. Instead, readers should explore the information that they find interesting and pertinent. I would recommend this book to anyone interested in learning more about U.S. mathematics education.",,
9,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",Carrie Toreky,,
10,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",Lakeland High School,,
11,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Lakeland, Florida",,
12,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",FROM OTHER PUBLISHERS,,
13,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Breaking Through! Helping Girls Succeed in Science, Technology, Engineering, and Math",,
14,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Harriet S. Mosatche, Elizabeth K. Lawner, and Susan Matloff-Nieves, 2016. 296 pp., $16.95 paper. ISBN 978-1-61821-521-5. Prufrock; http://www.prufrock.com",,
15,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","In Breaking Through! Helping Girls Succeed in Science, Technology, Engineering, and Math, authors Mosatche, Lawner, and Matloff-Nieves address the critical factors that are necessary agents in promoting female equality in the STEM fields. Inherent in this exploration is that students learn what they live.",,
16,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","To promote the advancement of females in traditionally male-dominated fields, many institutionalized modifications must be assertively challenged and reconstructed. Messages both direct and subliminal are the visceral lens in creating the standards and expectations for accessibility and integration of women in the fields of science, math, and technology. An environment that not only promotes but also supports inquiry, investigation, and respect for trial and error must supersede the mindset that ability is inherent or genetically predisposed.",,
17,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","The authors extensive research has demonstrated the positive and negative influence that feedback from teachers, parents, and mentors has on the sustainability of interest and advancement in these critical content areas. Recommendations and suggestions for creating a culture of inquiry and empowerment are explicit throughout the text. This book is a must-read for parents, educators, school administrators, and policy makers who have a voice in changing the mechanistic lever to deeply embedded structures and educational practices that diversify and engage all learners.",,
18,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","Tami Stewart, Math Specialist",,
19,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",New Brunswick Middle School,,
20,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","New Brunswick, New Jersey",,
21,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)",Challenging Common Core Math Lessons: Activities and Extensions for Gifted and Advanced Learners in Grade 6,,
22,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","James M. Moroney, 2016. 268 pp., $39.95 paper. Product code 4898. ISBN 978-1-61821-489-8. Prufrock Press; http://www.prufrock.com",,
23,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics(1)","This book gives students excellent opportunities to master grade-level standards and mathematical practices with greater depth and understanding. The lessons cover five sections: (1) Ratios and proportional relationships; (2) the number system; (3) expressions and equations; (4) geometry; and (5) statistics and probability. Each section contains from two to six different lessons and can be used for whole-group and small-group instruction. Teachers can use the practice problems and assessment questions for individual instruction. A listing of Common Core State Standards, mathematical practices, estimated time, key terms, materials, and objectives is found at the beginning of each lesson.",,
