__id__,__filename__,text,,
0,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",Books and Products,,
1,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",FROM NCTM,,
2,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Individual NCTM members receive a 20% discount on NCTM publications. To order, visit www.nctm.org/catalog.",,
3,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",,,
4,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",Its Elementary: A Parents Guide to K5 Mathematics,,
5,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Joy W. Whitenack, Laurie O. Cavey, and Catherine Henney, 2015. 228 pp., $27.95 paper. ISBN 978-0-87353-701-8. Stock 14309. National Council of Teachers of Mathematics; http://www.nctm.org",,
6,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Its Elementary: A Parents Guide to Mathematics is a detailed and easily digestible resource for K5 parents looking to gain a greater understanding of current instructional practices in math and to learn how best they can support their students development as math students. The book posits four key principles that weave their way through chapters on such topics as number sense, fractions, and whole-number operations.",,
7,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Two of those principles deal with todays math classroom and the need for parents to understand its expectations as well as how it differs from the math classroom that they remember. The first two chapters, focused on those principles, provide a valuable primer for parents who are struggling to make sense of recent changes in math instruction. The other two principles express that parents must understand students work to grasp their deep mathematical thinking and that students must make connections across mathematical concepts to truly comprehend the subject. Numerous examples and discussions of student work in each chapter make it easy for parents to see the truth in these ideas.",,
8,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Modern math instruction and the Common Core have been pilloried in recent years for defying logic or making the simple seem complicated. This book, through patient and detailed exploration of the hows and whys of current instructional strategies, offers parents the opportunity to cut through much of that noise. This is a great resource for teachers to recommend to parents who are especially curious or concerned about math.",,
9,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",Chris DelGrosso,,
10,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",Fairfax County Public Schools,,
11,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Fairfax, Virginia",,
12,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",FROM OTHER PUBLISHERS,,
13,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics",Beyond Invert & Multiply: Making Sense of Fraction Computation,,
14,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Julie McNamara, 2015. Foreword by Deborah Loewenberg Ball. 206 pp., $62.95 paper, includes DVD. ISBN 978-1-935099-57-4. Math Solutions; http://www.mathsolutions.com",,
15,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Beyond Invert & Multiply is a highly awaited sequel to Julie McNamaras Beyond Pizzas & Pies. McNamaras first volume explained how to present a basic knowledge of fractions; Beyond Invert & Multiply continues with how to make sense of fraction computation and operations, presenting a research-based approach to fraction computation through classroom scenarios, classroom activities, reproducibles, and study questions. The volume does this in a multimedia learning resource while explaining the math and the research each step of the way. Video clips, including actual classroom scenarios, vividly enhance these extremely challenging math topics. The accompanying DVD has more than 30 video clips, and the author gives a clip-by-clip commentary of reflections near the end of the book.",,
16,"Book, Product, _ Software Reviews - National Council of Teachers of Mathematics","Although teaching fraction computation may seem daunting to many of us classroom teachers, Beyond Invert & Multiply presents the overall concept in easy-to-understand, bite-size chunks. The book also makes connections to the Common Core State Standards for Mathematics.",,
