__id__,__filename__,text,,
0,Book Reviews - National Council of Teachers of Mathematics,Books,,
1,Book Reviews - National Council of Teachers of Mathematics,FROM NCTM,,
2,Book Reviews - National Council of Teachers of Mathematics,"Individual NCTM members receive a 20 percent discount on NCTM publications. To order, visit the NCTM online catalog at www.nctm.org/catalog, or call toll free (800) 235-7566 to order or request a free print catalog.",,
3,Book Reviews - National Council of Teachers of Mathematics,,,
4,Book Reviews - National Council of Teachers of Mathematics,5 Practices for Orchestrating  Productive TaskBased  Discussions in Science,,
5,Book Reviews - National Council of Teachers of Mathematics,"Jennifer L. Cartier, Margaret S. Smith, Mary Kay Stein, and Danielle K. Ross, 2013. Foreword by Mark A. Windschitl. 129 pp., $29.95 paper. ISBN 9780873537452. Stock no. 14576. National Council of Teachers of Mathematics,  copublished with NSTA Press;  www.nctm.org.",,
6,Book Reviews - National Council of Teachers of Mathematics,,,
7,Book Reviews - National Council of Teachers of Mathematics,,,
8,Book Reviews - National Council of Teachers of Mathematics,"This book guides teachers through a step-by-step process, starting with setting clear learning goals; identifying tasks that are consistent with those goals; engaging the 5 practices in discussion; and followed by describing how to change a question, how to allow access, and how to challenge student thinking, thereby promoting whole-class participation with focused talk.",,
9,Book Reviews - National Council of Teachers of Mathematics,The 5 practices described are the following: (1) anticipate how students will respond; (2) monitor what students do; (3) select students to present during discussion; (4) sequence student strategies to increase learning in discussion; and (5) connect students responses to learning goals and the bigger picture in science.,,
10,Book Reviews - National Council of Teachers of Mathematics,I used the 5 practices to format my class discussion and change my traditional questioning. This process focused discussion on the learning goals and gave my underrepresented students a voice that was previously absent.,,
11,Book Reviews - National Council of Teachers of Mathematics,This book is a great tool that can be used to grow classroom discussions and deepen student learning through whole-class discourse.,,
12,Book Reviews - National Council of Teachers of Mathematics,Marla Ann L. Baber,,
13,Book Reviews - National Council of Teachers of Mathematics,Hosford Middle School,,
14,Book Reviews - National Council of Teachers of Mathematics,"Portland, Oregon",,
15,Book Reviews - National Council of Teachers of Mathematics,"Uncomplicating Fractions  to Meet Common Core  Standards in Math, K7",,
16,Book Reviews - National Council of Teachers of Mathematics,"Marian Small, 2013. 144 pp.,  $26.95 paper. ISBN 978-0-8077- 5485-6. Stock no. 14817. National Council of Teachers of Mathematics co-published with Teachers College Press; www.nctm.org.",,
17,Book Reviews - National Council of Teachers of Mathematics,"Uncomplicating Fractions to Meet  Common Core Standards in Math, K7 does exactly what it promises. Marian Small does a wonderful job of uncomplicating a students study of fractions, starting at grade 1 and ending at grade 7, for both the student and the teacher. The method of explaining the study of fractions breaks it down both conceptually as well as procedurally. The author clearly explains what students need to understand and exactly how to best present the ideas to them.",,
18,Book Reviews - National Council of Teachers of Mathematics,"Small begins by describing the books organization. Each section clearly breaks down the standards by grade level. She then explains exactly how she approaches the organization of each section, defining each standard and supplying background information on the important underlying ideas. She continues by discussing questions to ask and then summarizing the entire standard. She also describes the appropriate manipulatives that can be used as well as ideas for differentiation.",,
19,Book Reviews - National Council of Teachers of Mathematics,"I have experience teaching special education, middle school math, both in resource as well as in inclusion classrooms. Fractions are a difficult hurdle for all students, not just those who are in the lower reaches of math. This book does an excellent job of reinforcing methods I am already using in the classroom as well as giving many new approaches. I highly recommend this book for anyone trying to face the difficult task of getting students to understand fractions.",,
20,Book Reviews - National Council of Teachers of Mathematics,Dennis Kamber,,
21,Book Reviews - National Council of Teachers of Mathematics,Audie Murphy Middle School,,
22,Book Reviews - National Council of Teachers of Mathematics,"Killeen, Texas",,
23,Book Reviews - National Council of Teachers of Mathematics,FROM OTHER PUBLISHERS,,
24,Book Reviews - National Council of Teachers of Mathematics,Communication and Creativity  in the Math Classroom:  Nontraditional Activities and  Strategies That Stress Life Skills,,
25,Book Reviews - National Council of Teachers of Mathematics,"Nicholas J. Rinaldi, 2014. 60 pp., $16.95 paper. ISBN 97814758 06922. Rowman & Littlefield Education; www.rowman.com.",,
26,Book Reviews - National Council of Teachers of Mathematics,,,
27,Book Reviews - National Council of Teachers of Mathematics,,,
28,Book Reviews - National Council of Teachers of Mathematics,"Many of the items illustrated and discussed can be found on the Internet for free, such as page 39s Once Upon a Time. We are now using the Common Core State Standards for Mathematics; however, the materials to be taught are on the upper levels of Blooms taxonomy. On page 25, one reads, Each student must write a  lesson plan, present the lesson and  assign homework. There is not enough time for students to give a lesson with the depth of knowledge required. Page 29s method, Show topics before teaching and let students hold up fingers to denote familiarity with topic, is common to Number Talks strategies.",,
29,Book Reviews - National Council of Teachers of Mathematics,"One plus is that the author promotes math writing. In I Am a Geometric Figure, he describes ways for students to do presentations with rubrics. However, the levels of the rubric categories are missing. Another plus is that some of the exercises are interdisciplinary, such as Game Time and CricketsNatures Thermometer. Linguini Lines, however, is the only new activity for me.",,
30,Book Reviews - National Council of Teachers of Mathematics,I would not recommend buying this book.,,
31,Book Reviews - National Council of Teachers of Mathematics,Nancy S. Prynoski,,
32,Book Reviews - National Council of Teachers of Mathematics,Capital School District,,
33,Book Reviews - National Council of Teachers of Mathematics,"Dover, Delaware",,
34,Book Reviews - National Council of Teachers of Mathematics,Mathematical Models for Teaching Reasoning without Memorization,,
