__id__,__filename__,text,__id__,__filename__
0,Books and Products,"Welcome to the Community!                        MyNCTM is the newest                  NCTM member benefit. It’s the    online community just for members, by members.",0,Books and Products
1,Books and Products,"•   Network and connect using the new, searchable  member directory.",1,Books and Products
2,Books and Products,•   Start or join lively discussions in the larger  community or within smaller groups.,2,Books and Products
3,Books and Products,•   Interact with education experts on their blogs.,3,Books and Products
4,Books and Products,"•   Enjoy access anywhere, anytime with a seamless experience on a computer or   mobile device.",4,Books and Products
5,Books and Products,"•   Find, upload, and organize resources and documents into resource libraries.",5,Books and Products
6,Books and Products,"•   Find discussions, people, and resources easily with enhanced search and filtering.",6,Books and Products
7,Books and Products,MyNCTM is your space to start discussions or to blog! Start finding and connecting with other NCTM members today. Just complete your professional profile to maximize networking features. Manage your information and preferences—all using your current NCTM login.,7,Books and Products
8,Books and Products,Visit my.nctm.org today to get started.,8,Books and Products
9,Books and Products,"window on resources book, product, & software reviews",9,Books and Products
10,Books and Products,BOOKS AND PRODUCTS ,10,Books and Products
11,Books and Products,FROM NCTM,11,Books and Products
12,Books and Products,"Individual NCTM members receive a 20% discount on NCTM publications. To order, visit www.nctm.org/catalog.",12,Books and Products
13,Books and Products,"Annual Perspectives in Mathematics Education: Reflective and  Collaborative Processes to Improve Mathematics Teaching 2017 Lucy West and Melissa Boston, eds., 2017. 328 pp., $48.95 paper. ISBN 978-1-68054-002-4. Stock no. 15450. National Council of Teachers of Mathematics; http://www.nctm.org",13,Books and Products
14,Books and Products,"Reflective and Collaborative Processes to Improve Mathematics Teaching, by title, may seem too general for those seeking concrete, practical  strategies to enhance current classroom practices. However, readers will find that the authors of the twentyfour short chapters clearly and succinctly describe the processes, frameworks, tools, and outcomes of various research and professional development initiatives in a manner that is focused, accessible, organized, ",14,Books and Products
15,Books and Products,Prices on books and products are subject to change. Consult the suppliers for the current prices. The comments reflect the reviewers’ opinions and do not imply endorsement by NCTM.,15,Books and Products
16,Books and Products,"and easy to read. A main theme throughout the book is illustrating specific collaborations among various combinations of K–12 teachers, district leaders, university educators, mathematicians, and preservice teachers. The content both stimulates long-term reflection and inspires the desire to adapt parts of models to “try it right now.” The text includes many real classroom examples with additional resources available online through NCTM’s More4U. ",16,Books and Products
17,Books and Products,"It is encouraging that this book  explicitly promotes the value of teachers proactively directing professional growth experiences and contributing to the body of professional knowledge. This comes across strongly in part 1 where the chapters emphasize the impact of “the teacher’s voice” beyond the local level. Part 3 includes specific structures for collaboratively examining instructional practices, such as the Live Classroom, the Mathematically Productive Habits and Routines observation tool, and the Iceberg Model. Part 5 offers thoughtful approaches for those who engage with preservice teachers, especially for structuring today’s shifting roles and responsibilities. References to research correspond to current and respected works, and the present challenges faced in mathematics education are realistically acknowledged. ",17,Books and Products
18,Books and Products,I believe that this volume will be  useful to inspire and guide professional learning opportunities at all levels of mathematics education.,18,Books and Products
19,Books and Products,Teresa Gonske,19,Books and Products
20,Books and Products,University of Northwestern–St. Paul,20,Books and Products
21,Books and Products,"St. Paul, Minnesota",21,Books and Products
22,Books and Products,"Enhancing Classroom Practice  with Research behind Principles  to Actions Denise A. Spangler and Jeffrey J. Wanko, eds., 161 pp., $35.95 paper. ISBN 978-1-68054-004-8. Stock no. 14787. National Council of Teachers of Mathematics; http://www.nctm.org",22,Books and Products
23,Books and Products,Connecting mathematics education research to classroom practice is a challenge that is addressed in this book. ,23,Books and Products
24,Books and Products,"Using the eight Mathematics Teaching Practices and the five Essential Elements from Principles to Actions as the framework, each chapter of the book clearly addresses this connection. Examples of how the research related to each of the eight math teaching practices and five essential elements is connected to classroom teaching practice are provided by sharing vignettes and sample tasks as well as through the voice of classroom teachers. This is one of the many strengths of this book. Each chapter is written by a team of authors consisting of mathematics education researchers and classroom teachers. Many mathematics educators face a new challenge of encouraging their students to reach higher levels of expectations with more rigorous standards, including the Standards for Mathematical Practices. It is often a challenge for teachers to create a vision of a student-centered  classroom situation in which students are actively engaged and productively struggling with tasks of high cognitive demand. This book meets its promise of providing the reader with the “fl avor” of what each teaching practice and essential element looks like in a real classroom, and it gives the research support for why these practices and elements are important. This book could appeal to a wide  audience: teachers, administrators, coaches, parents, teacher educators, professional developers, and school board members would all benefi t from connecting the research behind the math teaching practices to effective classroom practice. I highly recommend this book.",24,Books and Products
25,Books and Products,Scott Adamson,25,Books and Products
26,Books and Products,Chandler-Gilbert Community College,26,Books and Products
27,Books and Products,"Chandler, Arizona",27,Books and Products
28,Books and Products,"Mathematics Formative Assessment,",28,Books and Products
29,Books and Products,"Volume 2: 50 More Practical Strategies for Linking Assessment, Instruction, and Learning",29,Books and Products
30,Books and Products,"Page Keeley and Cheryl Rose Tobey, 2017. 256 pp., $36.95 paper. Stock no. 15387. National Council of Teachers of Mathematics, copublished with Corwin Mathematics; http://www.nctm.org",30,Books and Products
31,Books and Products,"Mathematics Formative Assessment, Volume 2 is a compilation of practical strategies for assessing mathematical understanding in students of all  grade levels. The authors, Page Keeley and Cheryl Rose Tobey, build on the 75 strategies in volume 1 by offering 50 additional strategies. The fi rst two chapters of this volume provide a brief overview of formative assessment and its inextricable link to instruction and learning. The remainder of the volume is dedicated to the 50 formative assessment classroom techniques or, as the authors call them, FACTs. Each FACT is succinctly described, and an example of how the FACT can be applied to a specifi c area of the mathematics curriculum is provided. When applicable, modifi cations and ideas for implementation are suggested. ",31,Books and Products
