__id__,__filename__,text,,
0,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Engineering-based modeling activities provide a rich source of meaningful situations that capitalize on and extend students routine learning. By integrating such activities within existing curricula, students better appreciate how their school learning in mathematics and science applies to problems in the outside world. Furthermore, modeling problems are open to multiple approaches and solutions; thus, they encourage the creative, critical, and flexible thinking that is often lacking in more traditional textbook examples.",,
1,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"For many years, we have been working with classroom teachers to create modeling problems involving a detailed analysis of comprehensive data sets (e.g., English and Mousoulides 2011). As they go about their daily lives, our students are faced with increasingly complex, powerful, and dynamic systems of information. Just searching the Internet exposes them to comprehensive data sources, some of which are contradictory and potentially unreliable. Careful reading and critical attention are needed if these sources are to be used wisely.",,
2,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"We discuss one of the problems that we implemented in sixth-grade classes, namely, a bridge design activity based on the 2007 collapse of  the 35W Bridge in Minneapolis, Minnesota.",,
3,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,ENGINEERING-BASED MODELING PROBLEMS,,
4,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"In our activities, engineering serves as a rich source of appealing, authentic contexts that draw on school mathematics, science, and technology. Our engineering problems, which are examples of model-eliciting activities (Lesh and Zawojewski 2007), are  realistic, client-driven, multifaceted, and idea generators. That is, the core ideas are not presented up front but are embedded within the problem and must be elicited and operated on to produce a solution model.",,
5,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"By constructing our engineering-based problems as model-eliciting activities, we can promote design processes that apply across STEM (science, technology, engineering, and mathematics) domains. One example of this design process appears in  figure 1. Students are encouraged to do the following:",,
6,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Ask (What is the problem? What are the constraints?),,
7,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Imagine (What are some possible solutions?),,
8,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Plan (What diagram can you draw?),,
9,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Create (Follow your plan; create a model; test it out),,
10,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Improve (Discuss what works; modify your design to make it better) (Cunningham and Hester 2007),,
11,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,,,
12,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"As students engage in this process,  we see them progress through impor-tant learning cycles. These cycles are repeated until students are satisfied that their model meets the problem constraints. Lesh and Zawojewski (2007) describe these cycles as",,
13,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,understanding the context of the problem and the system to be modeled;,,
14,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"expressing, testing, and revising a working model;",,
15,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,evaluating the model under conditions of its intended application; and,,
16,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,documenting the model throughout its creation.,,
17,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,IMPLEMENTING AN ENGINEERING-BASED MODELING PROBLEM,,
18,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"In these activities, we collaborated with the classroom teachers in developing and implementing the learning experiences. In the present case, sixth-grade mathematics and science teachers worked with the bridge design activity and conducted it in two of their classes (with twelve-year-old students) across three sessions. The activity (adapted from Guzey, Moore, and Roehrig 2010) focused on the 2007 structural failure of the  35W Bridge in Minneapolis, Minnesota, in which 13 people died and  145 were injured.",,
19,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"The activity required students to develop a model for (a) calculating  the cost for each one of the four  bridge types (see table 1), and then  (b) selecting the best possible bridge type for the reconstruction of the collapsed bridge. All possible factors related to bridge type, materials used, design, safety, and cost were to be considered.",,
20,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"In session 1 (3545 minutes), we introduced the problem context with an introductory activity comprising  (a) a newspaper article about the  35W Bridge collapse and (b) a video clip of the collapse (www.youtube .com/watch?v=C31IlOHNzbM). A second article presented the main characteristics of the four types of bridges. Next, the students studied the articles and the video and answered questions individually about the articles to ensure that they understood the core ideas, such as the factors believed to be involved in the collapse. Excerpts of the articles and the readiness questions appear in figure 2.",,
21,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,,,
22,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"In session 2 (8090 minutes), the students studied the problem scenario (see fig. 3) while working in mixed-ability groups of three or four. Each group of students was expected to deliver one model, or more, for solving the given problem, reflecting the ideas and work of all students. Two tables of quantitative and qualitative data accompanied the problem text (see tables 1 and 2), together with examples of the main bridge types. The students then worked on generating, refining, and documenting their models. The students had to draw on the given data in (a) developing a model for calculating the cost for each bridge type, and (b) using the cost model in conjunction with other bridge characteristics (e.g., safety, materials, design) in proposing the best possible bridge type for the reconstruction of the collapsed bridge in Minnesota  (see fig. 2).",,
23,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,,,
24,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,,,
25,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,,,
26,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"In session 3 (4050 minutes), each group of students presented their developments and key findings to the class. Each group prepared and presented a poster, on which it provided documentation for the appropriateness of the solution. In a concluding class discussion, the key ideas and relationships that the students had generated were explored.",,
27,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,GENERATING  SOLUTION MODELS,,
28,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Although a few student groups remained bogged down in the data and were unable to produce an appropriate model, the majority were able to do so with varying levels of sophistication. The models varied in the number of problem factors students used (cost per surface unit of bridge deck, aesthetics of the different bridge types, design effort, difficulty level of construction, and length), and in the different approaches to dealing with these factors. For example, some groups did not rank the different bridge types but only provided paired comparisons between the types, whereas other groups developed quite sophisticated procedures for ranking the different bridge types according to their cost.",,
29,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Mathematics Models,,
30,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"One group that produced a model focusing only on mathematical factors decided that a cable-stayed bridge would be the most appropriate to build. The students based their decision on the swiftness with which this type of bridge could be constructed. They maintained from the outset that this bridge type was the most effective. Considerable debate ensued, however, as to whether the cable-stayed bridge was a better option than the suspension bridge. Some students commented that the latter was too expensive, so the group decided to develop a cost model for each type of bridge to base their selection on more criteria than only qualitative information. Their deliberations included these comments:",,
31,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Student 1: A cable-stayed bridge is the best choice. . . . It can be built fast, it is a beautiful one, and it is not very expensive, like the suspension one.",,
32,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Student 2: The suspension has the same characteristics. . . . It is not more expensive . . . well, it is difficult to conclude if we continue to work like this.",,
33,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Student 1: OK. First things first. We cannot compare as they are . . . they are not the same [refers to bridges length].,,
34,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Initially, this group developed a simple division model by dividing cost (at present value) by the total length of each bridge and then calculating the average cost per foot for each bridge type. The interactions within the group helped the students realize that the width of each bridge given in the data was not the same:",,
35,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Student 3: Something is wrong; this is not reasonable.,,
36,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,Student 2: Why not? How do you know it is not correct?,,
37,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Student 3: Well, we took into account the length, but there are big bridges with many lanes and also small ones for pedestrians. . . . This is my concern.",,
38,Bridging STEM in a Real-World Problem - National Council of Teachers of Mathematics,"Student 1: Exactly, we need to use length and number of lanes.",,
