__id__,__filename__,text,,
0,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"The ability of students to learn mathematics with understanding is strengthened by a positive school environment (Hiebert and Grouws 2007). Such an environment depends on a classroom ethos. Just as important is the entire school community, in which all students are expected to learn through active participation and all teachers are expected to engage all students in mathematical tasks.",,
1,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"The environment should be one in which students are actively involved in doing mathematics. Challenging problems should be posed, and the school environment should encourage students to work on them individually and in groups. Sometimes students will need to work for extended periods of time, and often they should encounter unfamiliar topics. These students should be encouraged to develop such traits and habits of mind as perseverance, cooperative work skills, reflection, self-assessment, self-confidence, decision making, and risk taking (Cuoco, Goldenberg, and Mark 1996; Goldenberg and Shteingold 2003). All these elements will be keys to their success in mathematics. This article recounts how one small urban school in northern New Jersey developed a school environment that created a positive mathematics culture.",,
2,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,I LOVE MATH DAY,,
3,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"Every year, the school celebrates I Love Math Day on February 14. On this day, students enjoy math-related activities and recognize excellent student work after solving challenging problems. In the weeks leading up to the event-filled day, middle school students work in small teams to solve four intriguing, rich, mathematics problems. They are given one week to solve each problem and prepare a solution to submit to judges. Submissions can be in the form of an essay, a slide show, a video, a poster, a game, or a dramatization.",,
4,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"Through an I Love Math blog, teachers encourage all school families to attempt to solve each problem together and join in the fun. They hope that parents and students in all grades will not only discuss and puzzle over these problems but also enjoy the pursuit of a solution together. In one classic problem, students were asked to create a visual demonstration of the Pythagorean theorem. Another problem was based on a centuries-old Middle Eastern story, which asked students to settle a family dispute over a bequest of camels.",,
5,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,Another highlight of I Love Math Day is a panel discussion introducing two or three adult guests who love math. The panelists share their educational and professional experiences and discuss how mathematics contributes to their work and personal lives. Students in grades 6 through 8 are encouraged to ask questions during the panel discussion to guide the guests' comments.,,
6,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"When assembling a panel for the first time, it is usually best to keep it simple and organic. Parents in the school community are one of the best sources of panelists. It is fun to help students see that almost every adult uses math productively. Within our parent community, we have found cooks, bookkeepers, architects, and artists to serve on the panel. Sometimes parents speak about a leisure pastime that uses math: baseball and statistics, travel and foreign currencies. Grandparents work splendidly as math resources, as well. One grandparent was a carpenter, another was a retired teacher, and another was a judge. Almost any connection to mathematics can work. More creative connections lead to more inspiring events.",,
7,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"As I Love Math Day has become more established, we have broadened our reach to find panelists. Recently, one panelist was an associate professor of history who specializes in the history of mathematics education as well as women in science. She works with the Smithsonian Institution, cataloguing mathematical instruments for its website. Another panelist was the grandfather of several students who has taught at the middle school, high school, and college levels his entire career. He traveled 1500 miles to our school to share his passion for geometry, specializing in visual and reflective relationships. Paper folding, mirror applications, kaleidoscopes, and Platonic and Archimedean solids held particular interest for him. We have also invited alumni. One alumna had become an assistant editor for a medical journal. Another traveled from Texas, where he worked as an oil trader. Both shared stories about math in the workplace.",,
8,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,"Distinguished panelists such as these spend February 14 visiting classes, sharing their expertise and their passions, answering questions from the students, and celebrating the excellent work that students at all grade levels do in mathematics at the school.",,
9,Building a Positive Mathematics Community - National Council of Teachers of Mathematics,HOW TEACHERS PREPARE THE ACTIVITIES,,
