__id__,__filename__,text,__id__,__filename__
0,CCSSM Challenge: Graphing Ratio and Proportion,ccssM challenge:,0,CCSSM Challenge: Graphing Ratio and Proportion
1,CCSSM Challenge: Graphing Ratio and Proportion,GRAPHING RATIO AND PROPORTION,1,CCSSM Challenge: Graphing Ratio and Proportion
2,CCSSM Challenge: Graphing Ratio and Proportion,"Signe E. Kastberg, Beatriz S. D’Ambrosio, Kathleen Lynch-Davis, Alexia Mintos, and Kathryn Krawczyk",2,CCSSM Challenge: Graphing Ratio and Proportion
3,CCSSM Challenge: Graphing Ratio and Proportion,"A Cherry Syrup problem can help build links between ratio and graphing.  aA renewed emphasis was placed on  ratio and proportional reasoning in the middle grades in the Common Core State Standards for Mathematics (CCSSM). Although NCTM’s Principles and Standards for School Mathematics emphasized the learning of ratio and proportion in its 2000 publication, CCSSM goes a step deeper and underscores the importance of real-world contexts, as well as the development of an understanding of the connection among proportions, ratios, and graphs. “Analyze proportional relationships and use them to solve real-world and mathematical problems” (CCSSI 2010, p. 47) begins the CCSSM’s grade 7  overview about ratio and proportional relationships. Within that broad statement, students are asked to “compute unit rates associated with ratios of fractions, . . . recognize and represent proportional relationships between quantities, . . . decide whether two quantities are in a proportional relationship, . . .” and “identify the constant of proportionality.” Students are also asked to “represent proportional relationships by equations” and “explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation” (CCSSI 2010, p. 48). ",3,CCSSM Challenge: Graphing Ratio and Proportion
4,CCSSM Challenge: Graphing Ratio and Proportion,"The connections among propor- tions, ratios, and graphs were also  ccssM challenge:",4,CCSSM Challenge: Graphing Ratio and Proportion
5,CCSSM Challenge: Graphing Ratio and Proportion,GRAPHING RATIO AND PROPORTION,5,CCSSM Challenge: Graphing Ratio and Proportion
6,CCSSM Challenge: Graphing Ratio and Proportion,"Signe E. Kastberg, Beatriz S. D’Ambrosio, Kathleen Lynch-Davis, Alexia Mintos, and Kathryn Krawczyk outlined by Lobato and Ellis (2010) as they described the essential understandings involved in reasoning with ratios and proportions. Further elaboration was provided by the Common Core Standards writing team in the progressions document (The Common Core Standards Writing Team 2011). The expectation for students includes the ability to not only compute and then compare and interpret the results of computations in context but also interpret ratios and proportions as they are represented in graphs. This expectation presents a significant challenge for middlegrades teachers as they consider how  to develop these abilities in students. ",6,CCSSM Challenge: Graphing Ratio and Proportion
7,CCSSM Challenge: Graphing Ratio and Proportion,"Since 2007, we have  investigated links among  ratios, proportions, and graphs to gain insights into the challenges that students face as they build connections between ratios and  linear functions. Teachers have shared with us ways that they analyze student work. They thoughtfully consider student reasoning and how it might be used to develop relationships between ratios and  graphs. In this article, we illustrate the challenges that teachers face in linking an understanding of ratios and graphs by exploring student work from a ratio comparison problem (see fi g. 1), highlighting the understandings that are needed to create graphs from such problems, and discussing teachers’ insights drawn from examining graphs developed from a ratio comparison problem. We provide suggestions for teachers as they strive to meet the challenges outlined in CCSSM, that middle-grades students develop a fl exible understanding of ratios and proportions, including the ability to apply this reasoning to create graphs, interpret graphs, and relate interpretations to the context of the problem.  coMPUtation and conteXt",7,CCSSM Challenge: Graphing Ratio and Proportion
8,CCSSM Challenge: Graphing Ratio and Proportion,The Cherry Syrup problem in fi gure 1 was included on the National Assessment of Educational Progress (NAEP) (Brown and Clark 2006) and was classifi ed by NAEP as assessing procedural knowledge. Learners’ work on this item has revealed that many students do not approach the problem procedurally as intended and face challenges when using ratios and interpreting the results of their computations.,8,CCSSM Challenge: Graphing Ratio and Proportion
9,CCSSM Challenge: Graphing Ratio and Proportion,"We selected this item to illuminate the challenges that students in grade 8 and beyond face as they work to make  sense of ratios. The student work associated with this question encouraged us to explore how middlegrades students might approach the task. Even students with more mathematical experiences have diffi culty employing a middle school−level understanding of ratio and proportion. Students from grades 5 through 12, whose work we have collected, used a variety of computational strategies to compare the strengths of the cherry drinks.",9,CCSSM Challenge: Graphing Ratio and Proportion
10,CCSSM Challenge: Graphing Ratio and Proportion,"Computing a unit ratio by dividing syrup and water was one such strategy. For example, students divided the quantities of syrup by quantities of water to fi nd that Luis has 0.113 and Martin has 0.119 (see fi g. 2a). Units were generally not provided in student responses, as might be expected on a standardized test. Other students divided the quantity of water by syrup and found that Luis has 8.83 and Martin has 8.4 (see fi g. 2b). Some students reasoned correctly with these numbers. For example, Martin must have the stronger cherry fl avor drink because for 1 ounce of syrup, he only has 8.4 ounces of water. Others simply selected the larger number that resulted from the computations and concluded that Luis’s drink is stronger. ",10,CCSSM Challenge: Graphing Ratio and Proportion
11,CCSSM Challenge: Graphing Ratio and Proportion,We conjecture that students who struggled to interpret the results of their computations in context would likely fi nd it diffi cult to develop or interpret a graph representing ,11,CCSSM Challenge: Graphing Ratio and Proportion
12,CCSSM Challenge: Graphing Ratio and Proportion,Fig. 1 The cherry Syrup problem from NAEP 1996 assessed procedural knowledge. ,12,CCSSM Challenge: Graphing Ratio and Proportion
13,CCSSM Challenge: Graphing Ratio and Proportion,Luis mixed 6 ounces of cherry syrup with 53 ounces of water to make a cherry-ﬂ avored drink. Martin mixed 5 ounces of the same cherry syrup with 42 ounces of water. Who made the drink with the stronger cherry ﬂ avor?,13,CCSSM Challenge: Graphing Ratio and Proportion
14,CCSSM Challenge: Graphing Ratio and Proportion,Give mathematical evidence to justify your answer. ,14,CCSSM Challenge: Graphing Ratio and Proportion
15,CCSSM Challenge: Graphing Ratio and Proportion,P.,15,CCSSM Challenge: Graphing Ratio and Proportion
16,CCSSM Challenge: Graphing Ratio and Proportion,"concentrations of the two drinks. Although the Cherry Syrup problem can be effi ciently solved with reasoning alone (see fi g. 2d), the problem can also be used to build connections between ratios and graphs. ",16,CCSSM Challenge: Graphing Ratio and Proportion
17,CCSSM Challenge: Graphing Ratio and Proportion,"In the next section, we identify decisions involved in creating representations that can be used to reason about the Cherry Syrup problem. This section illustrates challenges for teachers in supporting students’ fl exible understandings of ratios, proportions, and their graphical representations, an expectation of CCSSM.",17,CCSSM Challenge: Graphing Ratio and Proportion
18,CCSSM Challenge: Graphing Ratio and Proportion,coMPleXitY oF gRaPhing,18,CCSSM Challenge: Graphing Ratio and Proportion
19,CCSSM Challenge: Graphing Ratio and Proportion,"Many decisions were involved in making sense of the Cherry Syrup problem using a graphing representation. In our work with middle-grades students, we have used this problem as stated, with the additional invitation to solve it using graphing. From our observations of students working together to solve the problem, we found that they initially have diffi culty translating the given information to a graph.",19,CCSSM Challenge: Graphing Ratio and Proportion
20,CCSSM Challenge: Graphing Ratio and Proportion,Students encountered three obstacles to successfully completing the task: 1.  Deciding what points to  graph 2.  Defi ning the axes 3.  Making sense of what the  graphs represented,20,CCSSM Challenge: Graphing Ratio and Proportion
21,CCSSM Challenge: Graphing Ratio and Proportion,Fig. 2 Various examples of student work show how they compared ratios.,21,CCSSM Challenge: Graphing Ratio and Proportion
22,CCSSM Challenge: Graphing Ratio and Proportion,(a) divide syrup by water (b) divide water by syrup (c) Multiply syrup and water (d) apply rates,22,CCSSM Challenge: Graphing Ratio and Proportion
23,CCSSM Challenge: Graphing Ratio and Proportion,"Students must reason that with zero ounces of cherry syrup, there will be zero ounces of water because this is not a mixture. Understanding that (0, 0) is an appropriate point on each line may not be intuitive. The issue that (0, 0) is the starting point for each mixture may seem counterintuitive to some because of the different concentrations.",23,CCSSM Challenge: Graphing Ratio and Proportion
24,CCSSM Challenge: Graphing Ratio and Proportion,"Some students generate other  points using intuitive knowledge of equivalent ratios. Doubling, tripling, or halving both quantities of syrup and water can produce mixtures of the same strength and provide additional points that lie on the same line. Although intuitively this manipulation of quantities may make sense to students, ",24,CCSSM Challenge: Graphing Ratio and Proportion
25,CCSSM Challenge: Graphing Ratio and Proportion,"These obstacles are further discussed in research on the use of graphs by professionals (Roth and Bowen 2001) and students (Friel, Curcio, and Bright 2001). Teachers can build instruction more effectively when they understand the diffi culties that students must overcome to make these decisions and successfully graph the information in the problem.",25,CCSSM Challenge: Graphing Ratio and Proportion
26,CCSSM Challenge: Graphing Ratio and Proportion,"1. Deciding What Points to Graph While working on the Cherry Syrup problem, some students struggle to generate ordered pairs to graph. A table of values is not given in the statement of the problem. The problem refers to two separate mixtures; successful students must realize that they will graph two separate lines. After initially inspecting the problem, there appear to be only two points, one deduced from each different Cherry Syrup mixture. Students who remember that two points are needed to graph a line may only graph one line using the single given values from each of the two mixtures. These students are not paying attention to the two different mixtures. ",26,CCSSM Challenge: Graphing Ratio and Proportion
27,CCSSM Challenge: Graphing Ratio and Proportion,"Students should realize that two lines must be graphed to make judgments about the strength of the mixtures. Therefore, they have to determine an additional point or coordinate pair for each mixture line.  it is more difficult to realize that equivalent ratios will all constitute points that lie on a same line. Students can have difficulty associating the numerical manipulations of the ratios with movements on the graph.",27,CCSSM Challenge: Graphing Ratio and Proportion
28,CCSSM Challenge: Graphing Ratio and Proportion,2. Defining the Axes,28,CCSSM Challenge: Graphing Ratio and Proportion
29,CCSSM Challenge: Graphing Ratio and Proportion,"To build a graph from the information in the Cherry Syrup problem, students must identify the quantities to be graphed and define the axes. They are sometimes unsure whether they should graph the cherry syrup, graph the water, or graph the entire mixture. Some students focus on graphing syrup and water, whereas others graph syrup or water and the mixture.",29,CCSSM Challenge: Graphing Ratio and Proportion
