__id__,__filename__,text,__id__,__filename__
0,Can We Cross the Street in Time?,can We cross the street,0,Can We Cross the Street in Time?
1,Can We Cross the Street in Time?,Hcross the street,1,Can We Cross the Street in Time?
2,Can We Cross the Street in Time?,"Carole E. Greenes, Mary C. Cavanagh, ",2,Can We Cross the Street in Time?
3,Can We Cross the Street in Time?,"Jenny K. Tsankova, and Florence A. Glanfi eld",3,Can We Cross the Street in Time?
4,Can We Cross the Street in Time?,"Students stroll through distance, rate, and  time experiments on the road to strengthening  their understanding of proportionality.",4,Can We Cross the Street in Time?
5,Can We Cross the Street in Time?,"hHow important is an understanding of proportionality? Rates, ratios, and proportions, which are collectively referred to as proportionality, or proportional reasoning, are key topics for exploration in the middle grades. These topics also have applications to solutions of problems that occur in other content areas (Boyer, Levine, and Huttenlocher 2008). Proportionality is defi ned as a mathematical relation between two quantities that are related multiplicatively and that can be expressed as an equality of two ratios: a/b = c/d. The following Walk Light adventure addresses many Content Standards, as well as the Mathematical Practice of using models to solve problems “arising in everyday life” (CCSSI 2010, p. 7).",5,Can We Cross the Street in Time?
6,Can We Cross the Street in Time?,"the various domains of mathematics that require multiplicative, or proportional, reasoning. Such examples include— •  regrouping in the base ten  system (e.g., 1 ten = 10 ones, so 3 tens = 30 ones); interpreting map scales (e.g., 1 inch represents 5 miles, so 2 inches represent 10 miles); •  determining the better buy  (4 pears for $2 or 5 pears for $2.25); •  creating equivalence classes for fractions (1/2 = 2/4 = 3/6); and •  converting among measurement  units (4 quarts = 1 gallon, so 16 quarts = 4 gallons). ",6,Can We Cross the Street in Time?
7,Can We Cross the Street in Time?,Although instruction focusing on ,7,Can We Cross the Street in Time?
8,Can We Cross the Street in Time?,"In our examination of various  proportion is highly recommended (CCSSI 2010), and has been for decades (NCTM 1989, 2000), students continue to have diffi culty understanding proportion and knowing when and how to use rates to solve problems (Lamon 2012; Markworth 2012). This diffi culty remains despite the fact that the elementary school curriculum contains numerous instances in  instructional programs, we observed that most provide all the necessary data to solve proportion problems, employ compatible numbers that are usually unrealistic, present numbers (data) in the order in which they are to be manipulated, discuss contexts that cannot be easily replicated, and present settings that are of little interest to students (e.g., grouping paint  cross the street ? cross the street ? in time",8,Can We Cross the Street in Time?
9,Can We Cross the Street in Time?,"Fig. 1 Along with stating the problem, identifying the project outcomes early on helped guide problem solving throughout the activity.",9,Can We Cross the Street in Time?
10,Can We Cross the Street in Time?,the proBleM,10,Can We Cross the Street in Time?
11,Can We Cross the Street in Time?,Choose a street with a walk light. What walking rate is required for you to cross the street safely? Is the walk light illuminated a sufficient amount of time to allow all pedestrians to cross safely?,11,Can We Cross the Street in Time?
12,Can We Cross the Street in Time?,"Project Outcome Produce a report in which you identify variables considered, experiments conducted, data collected and analyzed, results found, and conclusions made. Then, present your recommendations. ",12,Can We Cross the Street in Time?
13,Can We Cross the Street in Time?,Content Goals,13,Can We Cross the Street in Time?
14,Can We Cross the Street in Time?,"Note: For each, the corresponding Common Core  State Standards for Mathematics, including various  Mathematical Practices, are identified (CCSSI 2010).",14,Can We Cross the Street in Time?
15,Can We Cross the Street in Time?,"•	 Use	proportional	reasoning	and	reasoning	about	rates	 to solve real-world mathematical problems. (6.RP.3, 7.RP, and 8.EE 5) •	 Apply	the	d = rt formula to determine walking speed in  miles per hour. (7.EE.4) •	 Collect,	display	(using	appropriate	representations),	 and analyze data (using appropriate measures).  (6, 5.SP, 7.RP.1) •	 Represent	functions	using	tables,	graphs,	and	symbols.	 (8.EE.5) •	 Convert	among	measurement	units.	(5.MD.1) of walker, crutches, wheelchair, cane, or other modes of assistance; condition of the roadway and any road improvement obstacles; time of day; presence of an official, such as police or a school crossing official; speeders who run red lights; and the ability to make a	right	turn	on	a	red	light).	“Decontextualize,”	that	is,	 represent the contextual problem symbolically and  manipulate the symbols to solve the problem (MP 2).",15,Can We Cross the Street in Time?
16,Can We Cross the Street in Time?,•	 Design	experiments	to	control	for	variables	(MP	2).,16,Can We Cross the Street in Time?
17,Can We Cross the Street in Time?,"•	 Document	experiments,	tabulate	results,	and	make	 conclusions (MP 2). After conducting their study,  students contextualize their results in terms of the  scenario of the problem (MP 2) to ensure that their results and conclusions make sense (MP 1).  •	 Prepare	and	present	a	PowerPoint® presentation to  include photographs or drawings along with text  that describes the project, results, conclusions, and recommendations. Students listen to their peers’  presentations and critique results or conclusions that do not make sense in the context of the problem  (MP 3, MP6). ",17,Can We Cross the Street in Time?
18,Can We Cross the Street in Time?,"Materials •	 Measuring	tape •	 Stopwatch •	 Calculator •	 Paper	and	pencil	for	documentation •	 Devices	to	assist	mobility	(e.g.,	crutches,	walker,	cane)",18,Can We Cross the Street in Time?
19,Can We Cross the Street in Time?,Process Goals •	 Formulate	hypotheses:	Look	for	entry	points	into	 nonroutine mathematical problems (MP 1) and solve problems that arise in everyday life that enhance the need to use mathematics (MP 4).,19,Can We Cross the Street in Time?
20,Can We Cross the Street in Time?,"•	 Identify	variables	to	give	definition	to	the	problem	 (e.g., age of pedestrian; length of walking step; use ",20,Can We Cross the Street in Time?
21,Can We Cross the Street in Time?,Variation for Use with Your Students,21,Can We Cross the Street in Time?
22,Can We Cross the Street in Time?,"If the intersection is far from your school or is a difficult crossing, you can determine the distance across the street (feet/inches) by using string or apps for computer or mobile	devices,	such	as	Google	Maps	Distance	Calculator,	",22,Can We Cross the Street in Time?
23,Can We Cross the Street in Time?,"Daft	Logic©, or Google Earth. The distance can then be marked on the playground or in a school hallway.  cans, making cupcakes, or arranging birthday candles).",23,Can We Cross the Street in Time?
24,Can We Cross the Street in Time?,our approach,24,Can We Cross the Street in Time?
25,Can We Cross the Street in Time?,"We created a challenging real-world problem situated in a venue familiar to students. The Walk Light project, which focused on ratios, proportions, and proportional reasoning, was as follows: walk light illuminated for a sufficient amount of time to allow all pedestrians to cross safely? Produce a report in which you identify variables considered, experiments conducted, data collected and  analyzed, results found, and  conclusions made. Then, present your recommendations.   Choose a street with a walk light. What walking rate is required for you to cross the street safely? Is the ",25,Can We Cross the Street in Time?
26,Can We Cross the Street in Time?,"In addition to the items mentioned  above—designing experiments, collecting data, and specifying measurement units—this problem also provided practice with converting among measurement units, offered opportunities for expansion to consider different variables, and established the need for collaboration and communication.",26,Can We Cross the Street in Time?
27,Can We Cross the Street in Time?,"We introduced the Walk Light  problem to our sixteen middle school mathematics, science, and technology teachers who were participating in the STEM in the Middle (SIM) Project, funded by the Helios Education Foundation. The teachers, in turn, implemented the task with middlegrades students. We asked the   teachers to investigate and produce a solution to the problem. The discussion that follows describes the problem, goals, content, process, and materials, as well as variations that can be explored. While working with teachers and students and from our experience with SIM and other projects, we found that identifying the project outcome at the start is a good way to focus and guide problem solvers through the activity. The full problem statement is shown in figure 1.",27,Can We Cross the Street in Time?
28,Can We Cross the Street in Time?,iMpleMenting the  Walk light proJect,28,Can We Cross the Street in Time?
29,Can We Cross the Street in Time?,"The activity for grade 6 students focused on measurement and understanding the concept of rate. For older students, the emphases were on functions and understanding that proportions can be represented both symbolically and graphically. The middle-grades teachers, working in pairs, conducted the experiment at the intersection of two busy streets in Phoenix, Arizona, before introducing the Walk Light problem to students.",29,Can We Cross the Street in Time?
30,Can We Cross the Street in Time?,"Following discussion of the teachers’ experiences with measuring walking steps, estimating distances, timing lights and their walks, calculating their walking speeds, and discussing potential variables, they developed the Walk Light recording sheet (see  fig. 2). They then took the Walk Light problem to their grades 6-8 students. Rather than having students produce a final report, they requested that students provide answers to nine questions. Students worked in groups of 2 to 5 students. The teachers brought their 379 completed recording sheets, representing the work of about 1000 students, to the SIM project for discussion.  student approaches  and perForMance",30,Can We Cross the Street in Time?
31,Can We Cross the Street in Time?,From analyses of the recording sheets and conversations with students and ,31,Can We Cross the Street in Time?
32,Can We Cross the Street in Time?,Fig. 2 The recording sheet provided the structure that students needed to complete the activity successfully.,32,Can We Cross the Street in Time?
33,Can We Cross the Street in Time?,"the Walk light proBleM 1. What are the cross streets? 2. What is the distance (in feet and inches) across the street? (If you cannot use string or other measuring tools, you can use the length of your walking step—heel of back foot to heel of front foot— to estimate the distance.)  3. How long is the white walk light illuminated before the orange blinking hand is shown (in seconds)? 4. How long is the blinking hand shown (in seconds)?  5. Figure out the walking speed necessary (in feet/second and then in miles/hour) to cross the street safely.	Use	the	total	amount	of	 time the walk light and blinking hand are shown and the distance across the street to compute the walking speed.",33,Can We Cross the Street in Time?
34,Can We Cross the Street in Time?,6. Cross the street. Walk normally. Have a team member use the stopwatch to time your walk. Record your time in seconds.,34,Can We Cross the Street in Time?
35,Can We Cross the Street in Time?,"7. Compute your walking speed in feet/second and then in miles/hour.  8. Can all people cross the street safely?	(Describe	what	you	did	to	 get data to answer this question.)  9. If your answer to question 8 was no, what are your recommendations for changing the amount of time the lights are illuminated? teachers, many successes and difficulties encountered by students were explored.",35,Can We Cross the Street in Time?
36,Can We Cross the Street in Time?,"Because some schools are not  located near major roads that have walk lights, teachers measured streets  in advance and used cones to mark those distances on the school playing field or hallway. In cases where students measured distances, they estimated the lengths of their walking steps and counted the walking steps as they crossed the street. Using those two measures, students computed the lengths of the crosswalks. Although their computations were correct, some students demonstrated difficulty in identifying appropriate measurement units.",36,Can We Cross the Street in Time?
