__id__,__filename__,text,__id__,__filename__
0,"Cartoon Corner: Clockwise, but Not So Wise",cartoon corner,0,"Cartoon Corner: Clockwise, but Not So Wise"
1,"Cartoon Corner: Clockwise, but Not So Wise","DraBBLE by Kevin Fagan name ______________________________ a.  The screw is in the same position as turning it 20° counterclockwise and will be just as deep as if you turned it 20° counterclockwise.    b.  The screw is in the same position as turning it 20° counterclockwise, but turning it 340° clockwise will mean it is not buried as deep.  c.  The screw is in the same position as turning it 20° counterclockwise, but turning it 340° clockwise will result in the screw being driven deeper into the wood.",1,"Cartoon Corner: Clockwise, but Not So Wise"
2,"Cartoon Corner: Clockwise, but Not So Wise",6.  See the diagram below. This wheel’s  diameter is 1 meter. The pointer is at 0. Suppose the wheel makes  1 complete clockwise revolution. Approximately where on the  number line will the pointer be? Explain your reasoning.,2,"Cartoon Corner: Clockwise, but Not So Wise"
3,"Cartoon Corner: Clockwise, but Not So Wise","CLOCKWISE, BUT NOT SO WISE 1.  a.  Suppose the father asked  ",3,"Cartoon Corner: Clockwise, but Not So Wise"
4,"Cartoon Corner: Clockwise, but Not So Wise","Norman to turn the screw a full turn clockwise. How many degrees will that be? a.  What time did Norman finish? b.  How long did he spend tightening the screw? b.  How many degrees are in each  of these clockwise turns?     Quarter turn _____     Half turn _____     Three-quarters turn _____ 2.  a.  What is the angle measure formed by the hands on the clock at 2:00? 4.  A professional basketball player  joining a struggling team said, “I’m going to turn the program around 360°.” What is wrong with that statement? What did he probably mean to say? b.  Is the angle measure formed by  the hands at 2:05 exactly the same as the angle at 2:15? Why or why not?  5.  Suppose a screw sitting partway   in a piece of wood is turned  340° clockwise. Which of the  following statements is correct? 3.  Norman began tightening the screw at 2:05 p.m. but did not finish until each hand on the clock rotated 1/2 turn from its original position. What time did he finish? (For this rotation, the minute hand is not controlling the hour hand.)",4,"Cartoon Corner: Clockwise, but Not So Wise"
5,"Cartoon Corner: Clockwise, but Not So Wise",Meters    0                      1                            2                          3,5,"Cartoon Corner: Clockwise, but Not So Wise"
6,"Cartoon Corner: Clockwise, but Not So Wise","Copyright © 2014 The National Council of Teachers of Mathematics, Inc. www.nctm.org. All rights reserved.  This material may not be copied or distributed electronically or in any other format without written permission from NCTM.",6,"Cartoon Corner: Clockwise, but Not So Wise"
7,"Cartoon Corner: Clockwise, but Not So Wise","from the March 2014 issue of edited by David B. Spangler, mcgraw-hill education, and Katie a. hendrickson, athens middle school, athens, ohio. classroom  teachers interested in field-testing or submitting a cartoon should contact David Spangler, david.spangler@mheducation.com.  the cartoons must include the date and the newspaper syndicate that holds the copyright.",7,"Cartoon Corner: Clockwise, but Not So Wise"
8,"Cartoon Corner: Clockwise, but Not So Wise",SOLUTIONS 1.  a. 360° b.  360° × 1/4 = 90°; 360° × 1/2 =  180°; 360° × 3/4 = 270° the exact angle measure formed by the hands of a clock at 2:05 is 32.5°; the exact angle measure formed by the hands at 2:15 is 22.5°.,8,"Cartoon Corner: Clockwise, but Not So Wise"
9,"Cartoon Corner: Clockwise, but Not So Wise","2.  a.  The interval formed by the  3.  a.  For the hour hand, 1/2 rotation  clock hands is 2/12, or 1/6, the distance around the clock. The angle formed by the hands is  1/6 of 360°, or 60°.",9,"Cartoon Corner: Clockwise, but Not So Wise"
10,"Cartoon Corner: Clockwise, but Not So Wise","b.  At 2:05, the angle measure is   approximately 30°. It is not exact because the hour hand moves 1/60 of the 30° between 2 and 3, or 0.5°, for each minute the minute hand moves. At 2:05,  the hour hand is actually  5 × 0.5, or 2.5°, past the 2. Thus,  from 2:00 p.m. is 8:00 p.m.;  for the minute hand, 1/2 rotation from 5 minutes after the hour would be 35 minutes  after the hour for a finish time  of 8:35 p.m.",10,"Cartoon Corner: Clockwise, but Not So Wise"
11,"Cartoon Corner: Clockwise, but Not So Wise",b.  The elapsed time from 2:05 to  8:35 is 6 hours 30 minutes.,11,"Cartoon Corner: Clockwise, but Not So Wise"
12,"Cartoon Corner: Clockwise, but Not So Wise","4.  Turning a team 360° means it is  back to where it started. The player probably meant to say that he was  going to turn the program around 180°, or the opposite of the team’s current performance.  5.  The only correct possibility is 5c.  ",12,"Cartoon Corner: Clockwise, but Not So Wise"
13,"Cartoon Corner: Clockwise, but Not So Wise","A 340° clockwise turn results in the screw being in the same position as a 20° counterclockwise turn, but the screw will have gone deeper into the wood.",13,"Cartoon Corner: Clockwise, but Not So Wise"
