__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Dipping into the Fibonacci Numbers,cartoon corner,0,Cartoon Corner: Dipping into the Fibonacci Numbers
1,Cartoon Corner: Dipping into the Fibonacci Numbers,FoXtRot by Bill amend,1,Cartoon Corner: Dipping into the Fibonacci Numbers
2,Cartoon Corner: Dipping into the Fibonacci Numbers,Name ______________________________ diPPing into the FiBonacci nUMBeRs,2,Cartoon Corner: Dipping into the Fibonacci Numbers
3,Cartoon Corner: Dipping into the Fibonacci Numbers,"Leonardo Fibonacci (c. 1170–c. 1240) was a European mathematician. In 1202, he discussed a sequence in which each number (after the fi rst two) is the sum of the two preceding numbers. The fi rst six numbers in the sequence, known as Fibonacci numbers, are given in the table below.",3,Cartoon Corner: Dipping into the Fibonacci Numbers
4,Cartoon Corner: Dipping into the Fibonacci Numbers,"1. a.  Complete the table to show  the seventh, eighth, and ninth Fibonacci numbers.",4,Cartoon Corner: Dipping into the Fibonacci Numbers
5,Cartoon Corner: Dipping into the Fibonacci Numbers,  b.  What is the point of the humor  in the comic?,5,Cartoon Corner: Dipping into the Fibonacci Numbers
6,Cartoon Corner: Dipping into the Fibonacci Numbers,"For problems 2 and 3, assume that Jason (on the left) and Marcus (on the right) distribute the chips according to the comic.",6,Cartoon Corner: Dipping into the Fibonacci Numbers
7,Cartoon Corner: Dipping into the Fibonacci Numbers,2. Suppose a family-size bag of ,7,Cartoon Corner: Dipping into the Fibonacci Numbers
8,Cartoon Corner: Dipping into the Fibonacci Numbers,"Fibonachos contains 200 chips. Jason and Marcus take turns counting out chips according to the Fibonacci number in the sequence. How far into the Fibonacci sequence can they go before all the chips are gone? How many chips would be leftover? 3. Who would get more total chips from a bag of 100 Fibonachos, Jason or Marcus? How many more? How many chips would be leftover? 4. It was reported that about  11 million pounds of chips were consumed during the 2013 Super Bowl. What Fibonacci number comes closest to 11 million? Hint: The 29th Fibonacci number is 514,229; the 30th is 832,040.",8,Cartoon Corner: Dipping into the Fibonacci Numbers
9,Cartoon Corner: Dipping into the Fibonacci Numbers,challenge 5. Estimate the 100th Fibonacci  number. Then use a digital spreadsheet to fi nd the fi rst 100 Fibonacci numbers. The fi rst column in the spreadsheet should list the term numbers (1–100). The second column should list the Fibonacci numbers. Watch what happens to the numbers around the 50th term.,9,Cartoon Corner: Dipping into the Fibonacci Numbers
10,Cartoon Corner: Dipping into the Fibonacci Numbers,term number,10,Cartoon Corner: Dipping into the Fibonacci Numbers
11,Cartoon Corner: Dipping into the Fibonacci Numbers,Fibonacci number from the December 2013/January 2014 issue of,11,Cartoon Corner: Dipping into the Fibonacci Numbers
12,Cartoon Corner: Dipping into the Fibonacci Numbers,"Edited by david B. spangler, McGraw-Hill Education, and Katie a. hendrickson, Athens Middle School, Athens, Ohio. Classroom  teachers interested in field-testing or submitting a cartoon should contact david spangler, david.spangler@mheducation.com.  The cartoons must include the date and the newspaper syndicate that holds the copyright.",12,Cartoon Corner: Dipping into the Fibonacci Numbers
13,Cartoon Corner: Dipping into the Fibonacci Numbers,"solUtions 1.  a. 13, 21, 34 b. The next Fibonacci number in the sequence after 8 is 13, but there are only 12 chips remaining, which is why Marcus does not know what to do.",13,Cartoon Corner: Dipping into the Fibonacci Numbers
14,Cartoon Corner: Dipping into the Fibonacci Numbers,"2.  The sum of the first 10 Fibonacci  numbers is 1 + 1 + 2 + 3 + 5 + 8 + 13 + 21 + 34 + 55 = 143. The next Fibonacci number, 89, would put the total at 232. The boys can go through 10 Fibonacci numbers before they run out of chips to continue the sequence. There would be 57 chips leftover.",14,Cartoon Corner: Dipping into the Fibonacci Numbers
15,Cartoon Corner: Dipping into the Fibonacci Numbers,"3.  There are only enough chips to go through the first 9 Fibonacci numbers. Jason would get 1 + 2 + 5 + 13 + 34 = 55 chips; Marcus would get 1 + 3 + 8 + 21 = 33 chips. Therefore, Jason gets more chips. There would be 12 chips leftover.",15,Cartoon Corner: Dipping into the Fibonacci Numbers
16,Cartoon Corner: Dipping into the Fibonacci Numbers,"  31st: 1,346,269   32nd: 2,178,309   33rd: 3,524,578   34th: 5,702,887   35th: 9,227,465   36th: 14,930,352   The 35th Fibonacci number (9,227,465) is the closest to  11 million.",16,Cartoon Corner: Dipping into the Fibonacci Numbers
17,Cartoon Corner: Dipping into the Fibonacci Numbers,5.  Estimates will vary. The 100th ,17,Cartoon Corner: Dipping into the Fibonacci Numbers
18,Cartoon Corner: Dipping into the Fibonacci Numbers,"Fibonacci number is greater than 354 quintillion (a twenty-one-digit number). In many spreadsheet programs, the 50th and higher Fibonacci numbers will appear in scientific notation. When the column is widened, the standard notation will appear, but around the 55th number, scientific notation will resume. Beginning with the 74th Fibonacci number, students may notice that the spreadsheet lists rounded values. For example, the 72nd and 73rd Fibonacci numbers are  4.  Using the hint, determine the 31st Fibonacci number and then a few more, as follows:  498,454,011,879,264 and 806,515,533,049,393,",18,Cartoon Corner: Dipping into the Fibonacci Numbers
19,Cartoon Corner: Dipping into the Fibonacci Numbers,Field-test coMMents,19,Cartoon Corner: Dipping into the Fibonacci Numbers
20,Cartoon Corner: Dipping into the Fibonacci Numbers,"Significant contributions to this article were made by Amber Bartelmey, Fischer Middle School, Aurora, Illinois; Miles Macfarlane, Leila North Community School Winnipeg, Manitoba; and Peggy House, Northern Michigan University, Marquette, Michigan.",20,Cartoon Corner: Dipping into the Fibonacci Numbers
21,Cartoon Corner: Dipping into the Fibonacci Numbers,"I tried the Fibonachos cartoon with my prealgebra and geometry classes. Since my geometry students had already learned about the golden ratio, I had already discussed the Fibonacci sequence with them. In fact, when I taught them consecutive integers in algebra 1, one student had inquired about how to express  values coming from previous terms that were not necessarily increasing by a constant. I gave the class a brief introduction to recursive algorithms, so the Fibonacci numbers intrigued and excited them.",21,Cartoon Corner: Dipping into the Fibonacci Numbers
22,Cartoon Corner: Dipping into the Fibonacci Numbers,"My prealgebra class missed   the joke completely until I actually gave them an introduction to the Fibonacci numbers. It is therefore important that before working with this cartoon, teachers introduce sequences; if not Fibonacci specifically, guide students to look for inductive patterns.",22,Cartoon Corner: Dipping into the Fibonacci Numbers
23,Cartoon Corner: Dipping into the Fibonacci Numbers,"The Challenge problem was a lot  of fun. I actually presented the list from the suggested site and opened  respectively. However, the 74th Fibonacci number via the spreadsheet will be 1,304,969,544,928,660 (ending in a zero), which is not the exact sum of the two previous terms. The rounding process continues as you scroll down, with more and more ending place-value positions containing zeros. Many spreadsheet programs will give the 100th Fibonacci number as the rounded value 354,224,848,179,262,000,000.",23,Cartoon Corner: Dipping into the Fibonacci Numbers
