__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Earplugs Might Help Retain Whats Inside,cartoon corner non seQUitUR by Wiley,0,Cartoon Corner: Earplugs Might Help Retain Whats Inside
1,Cartoon Corner: Earplugs Might Help Retain Whats Inside,Name ______________________________,1,Cartoon Corner: Earplugs Might Help Retain Whats Inside
2,Cartoon Corner: Earplugs Might Help Retain Whats Inside,T.,2,Cartoon Corner: Earplugs Might Help Retain Whats Inside
3,Cartoon Corner: Earplugs Might Help Retain Whats Inside,eaRPlUgs Might helP Retain What’s inside,3,Cartoon Corner: Earplugs Might Help Retain Whats Inside
4,Cartoon Corner: Earplugs Might Help Retain Whats Inside,"At the start of summer vacation, the boy in the cartoon knows 2,048 words in French.",4,Cartoon Corner: Earplugs Might Help Retain Whats Inside
5,Cartoon Corner: Earplugs Might Help Retain Whats Inside,"1.  During week 1 of summer vacation, the boy forgets 1/2 of the French words he knows. During week 2, he forgets 1/2 of the remaining words he knows. If this pattern continues each week, how many French words will he still know after 5 weeks? Explain how you found your result.",5,Cartoon Corner: Earplugs Might Help Retain Whats Inside
6,Cartoon Corner: Earplugs Might Help Retain Whats Inside,"Carbon-14 dating, which uses radioactive decay, helps archeologists determine approximately how long ago an organism died. When an organism dies, the amount of carbon 14 starts to decrease. The half-life of an element is the approximate time it takes for 1/2 of the amount of the element to decay. It takes 5,600 years for the amount of carbon 14 to drop to 1/2 its original level; therefore, the half-life of carbon 14 is 5,600 years.",6,Cartoon Corner: Earplugs Might Help Retain Whats Inside
7,Cartoon Corner: Earplugs Might Help Retain Whats Inside,3.  A bone from an animal is found to have 1/16 of the carbon 14 that it had when the animal died. Complete this table of repeated halving to estimate the age of the bone.,7,Cartoon Corner: Earplugs Might Help Retain Whats Inside
8,Cartoon Corner: Earplugs Might Help Retain Whats Inside,"4.  In problem 1, the half-life of the ",8,Cartoon Corner: Earplugs Might Help Retain Whats Inside
9,Cartoon Corner: Earplugs Might Help Retain Whats Inside,"French words inside the boy’s head is just 1 week. After how many weeks will the fraction of the French words the boy remembers be just 1/1,024 of what he knew at the start of summer? How many words will the boy remember after all those weeks? 5.  Over the summer, the boy in the cartoon also forgot how to compute using fractions. When he returned to school in the fall, he made the mistakes shown below. Solve each problem correctly, then fi gure out the error in each.",9,Cartoon Corner: Earplugs Might Help Retain Whats Inside
10,Cartoon Corner: Earplugs Might Help Retain Whats Inside,2.  Suppose the boy forgets 1/4 of the French words he knows each week rather than 1/2 of the words. How many words will he know after 5 weeks? Explain how you found your result.,10,Cartoon Corner: Earplugs Might Help Retain Whats Inside
11,Cartoon Corner: Earplugs Might Help Retain Whats Inside,Time in Years (since Death),11,Cartoon Corner: Earplugs Might Help Retain Whats Inside
