__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Math Thats Out of This World,cartoon corner non seQUitUr by Wiley,0,Cartoon Corner: Math Thats Out of This World
1,Cartoon Corner: Math Thats Out of This World,Name ______________________________,1,Cartoon Corner: Math Thats Out of This World
2,Cartoon Corner: Math Thats Out of This World,T.,2,Cartoon Corner: Math Thats Out of This World
3,Cartoon Corner: Math Thats Out of This World,"challenge 5. Draw a scale model of the solar system, in AUs, along a number line. This will show the relative distance of each planet from the sun. Draw the sun on the left, and space out the planets to the right. If you use the scale 1 cm = 1 AU, you should be able to list the solar system along a number line drawn diagonally on 8 1/2 in. × 11 in. paper.",3,Cartoon Corner: Math Thats Out of This World
4,Cartoon Corner: Math Thats Out of This World,"Math that’s oUt oF this World 1. What does the last frame of the cartoon suggest about how some people feel about math?  4. The speed of light is calculated to  be about 299,792,458 m/sec.",4,Cartoon Corner: Math Thats Out of This World
5,Cartoon Corner: Math Thats Out of This World,"  a.  About how far, in kilometers, does light travel per second?  2. Astronomers measure distances    b.  How long will it take light to  travel 1 AU? Round to the nearest tenth of a minute. (Recall: 1 AU = 150,000,000 km.) c.  How long will it take light to travel from the sun to each planet? Round each result to the nearest tenth of a minute.",5,Cartoon Corner: Math Thats Out of This World
6,Cartoon Corner: Math Thats Out of This World,"in the solar system in astronomical units (AUs). By defi nition, 1 AU = the average distance from the sun to Earth. This distance is approximately 150,000,000 km, or about 93,000,000 mi.    a.  The distance from the sun to ",6,Cartoon Corner: Math Thats Out of This World
7,Cartoon Corner: Math Thats Out of This World,"Mercury is about 58,000,000 km. Describe two ways to convert that distance to an AU.",7,Cartoon Corner: Math Thats Out of This World
8,Cartoon Corner: Math Thats Out of This World,  b .  Describe a shortcut you could  use to convert a distance in millions of kilometers to an AU.,8,Cartoon Corner: Math Thats Out of This World
9,Cartoon Corner: Math Thats Out of This World,3. Complete the table at right to fi nd the mean distance from the sun in AUs for each planet listed. ,9,Cartoon Corner: Math Thats Out of This World
10,Cartoon Corner: Math Thats Out of This World,Planet Mean distance from the sun (in millions of km) conversion calculation aU (rounded to nearest tenth) 58 ÷ 150 ≈ 0.387 0.4,10,Cartoon Corner: Math Thats Out of This World
11,Cartoon Corner: Math Thats Out of This World,Mercury,11,Cartoon Corner: Math Thats Out of This World
12,Cartoon Corner: Math Thats Out of This World,Venus,12,Cartoon Corner: Math Thats Out of This World
13,Cartoon Corner: Math Thats Out of This World,Earth,13,Cartoon Corner: Math Thats Out of This World
14,Cartoon Corner: Math Thats Out of This World,Mars,14,Cartoon Corner: Math Thats Out of This World
15,Cartoon Corner: Math Thats Out of This World,Jupiter,15,Cartoon Corner: Math Thats Out of This World
16,Cartoon Corner: Math Thats Out of This World,Saturn,16,Cartoon Corner: Math Thats Out of This World
17,Cartoon Corner: Math Thats Out of This World,Uranus,17,Cartoon Corner: Math Thats Out of This World
