__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Presidential Puzzlers,cartoon corner,0,Cartoon Corner: Presidential Puzzlers
1,Cartoon Corner: Presidential Puzzlers,BIG NATE by Lincoln Peirce,1,Cartoon Corner: Presidential Puzzlers
2,Cartoon Corner: Presidential Puzzlers,"Name ______________________________ 4. In 1944, Franklin Roosevelt  received 25,612,916 popular votes, which were 1,701,029 fewer votes than he received in 1940. He received 438,703 fewer votes in 1940 than he received in 1936. The number of votes he received in 1936 was 4,931,371 more than he received in 1932. How many popular votes did he receive in 1932? (Hint: Make a table to help you keep track of the data.)",2,Cartoon Corner: Presidential Puzzlers
3,Cartoon Corner: Presidential Puzzlers,"PRESIDENTIAL PUZZLERS 1. a.  How far off is the year 1843  from 1816?   b.  Why do you suppose Big Nate  guessed 1870? Why is this answer unreasonable? c.  In what year did John Adams die? 3. Barack Obama received  365 electoral votes in 2008. This number was about 1.099 times as many electoral votes as he received in 2012.    a.  Did Obama receive more electoral votes or fewer electoral votes in 2012 than he received in 2008? 2.  John Adams and Thomas Jefferson  both died exactly 50 years after July 4, 1776. Adams was born on October 30. Jefferson was about 7 1/2 years younger than Adams. How old was Jefferson when he died?   b.  How many electoral votes did  he receive in 2012? 5. Abraham Lincoln issued the ",3,Cartoon Corner: Presidential Puzzlers
4,Cartoon Corner: Presidential Puzzlers,"Emancipation Proclamation on January 1, 1863. The 50th anniversary of Martin Luther King, Jr.’s “I Have a Dream” speech was on August 28, 2013. How many days elapsed from Lincoln’s proclamation until King’s speech? (Years divisible by 4 are leap years with the exception of years divisible by 100, which are not leap years unless they are also divisible by 400.) from the August 2014 issue of",4,Cartoon Corner: Presidential Puzzlers
5,Cartoon Corner: Presidential Puzzlers,"Edited by David B. Spangler, McGraw-Hill Education, and Katie A. Hendrickson, Athens Middle School, Athens, Ohio. Classroom teachers interested in field-testing or submitting a cartoon should contact David B. Spangler at david.spangler@mheducation.com. The cartoons must include the date and the newspaper syndicate that holds the copyright.",5,Cartoon Corner: Presidential Puzzlers
6,Cartoon Corner: Presidential Puzzlers,SOLUTIONS,6,Cartoon Corner: Presidential Puzzlers
7,Cartoon Corner: Presidential Puzzlers,Students should not use any outside sources to solve these problems. Suggest that they use outside sources after they solve the problems to confirm their results. Encourage students to explain their reasoning in solving the problems.,7,Cartoon Corner: Presidential Puzzlers
8,Cartoon Corner: Presidential Puzzlers,"1.  a. 1843 – 1816 = 27 years b.  Because 1816 was incorrect, ",8,Cartoon Corner: Presidential Puzzlers
9,Cartoon Corner: Presidential Puzzlers,Nate went in the other direction and added 17 to 1843 to  (incorrectly) obtain 1870. This answer is unreasonable because that would put Adams’s age at death at about 135.,9,Cartoon Corner: Presidential Puzzlers
