__id__,__filename__,text,__id__,__filename__
0,Cartoon Corner: Problem-Solving Perseverance Pays Off,cartoon corner,0,Cartoon Corner: Problem-Solving Perseverance Pays Off
1,Cartoon Corner: Problem-Solving Perseverance Pays Off,"Name ______________________________ 5. A census taker visits a house and asks the woman at the door how many children she has and their ages. She answers, “3 children. The product of their ages equals 72, and the sum of all the ages is the same number as my house number.” The census taker looks at the house number and says, “This is not enough information.” The woman states, “My oldest child is a Chicago Cubs fan.” The census taker thanks the woman and leaves because he now knows the answer. What are the ages of her 3 children?",1,Cartoon Corner: Problem-Solving Perseverance Pays Off
2,Cartoon Corner: Problem-Solving Perseverance Pays Off,"PRoBleM-solVing PeRseVeRance PaYs oFF 1. An example of a long-division  problem that is really long is the conversion of 1/19 to a repeating decimal.    a.  Use your calculator to convert 1/19 to a repeating decimal. What happens?   b.  Use long division to convert 1/19 to a decimal by hand. For interim calculations, use a calculator as needed. How many digits are in the expansion of 1/19 before it begins to repeat? What is the repeating decimal? 2. Why is it important to stick with problems and not give up when a solution process is not readily apparent?",2,Cartoon Corner: Problem-Solving Perseverance Pays Off
3,Cartoon Corner: Problem-Solving Perseverance Pays Off,The following nonroutine problems will likely require some perseverance.,3,Cartoon Corner: Problem-Solving Perseverance Pays Off
4,Cartoon Corner: Problem-Solving Perseverance Pays Off,"3. You have 2 empty unmarked jugs: an 8 liter and a 3 liter. Using those jugs and a water faucet, how can you produce exactly 4 liters of water?  4.  A farmer crosses a river with a wolf, a goat, and a cabbage. His boat can only carry 1 item or passenger in addition to himself. If he leaves the wolf and the goat alone, the wolf will eat the goat. If he leaves the goat and the cabbage alone, the goat will eat the cabbage. How can he bring all three safely across the river? from the February 2014 issue of",4,Cartoon Corner: Problem-Solving Perseverance Pays Off
5,Cartoon Corner: Problem-Solving Perseverance Pays Off,"Edited by david B. spangler, McGraw-Hill Education, and Katie a. hendrickson, Athens Middle School, Athens, Ohio. Classroom  teachers interested in field-testing or submitting a cartoon should contact david spangler, david.spangler@mheducation.com.  The cartoons must include the date and the newspaper syndicate that holds the copyright.",5,Cartoon Corner: Problem-Solving Perseverance Pays Off
6,Cartoon Corner: Problem-Solving Perseverance Pays Off,"clUes FoR PRoBleMs 3–5 You may want to provide the following clues, as needed, for students. For question 3: How can you get exactly 1 liter of water in one of the jugs? Think about using the 3-liter jug to fill up the 8-liter jug. For question 4: The boat can take  items or passengers back across the river once it has already crossed. ",6,Cartoon Corner: Problem-Solving Perseverance Pays Off
7,Cartoon Corner: Problem-Solving Perseverance Pays Off,"For question 5: Begin by listing the possibilities of the three ages to obtain a product of 72. From this list, use the next few statements to narrow down the possibilities.  solUtions 1.  a.  Sample calculator displays  include 0.052631579 or 0.0526315789. Most calculators will round the decimal before it begins repeating. Students should realize that their calculator does not display enough digits to see the repeating pattern.    b.  There are 18 digits in the repeating portion of the decimal   expansion. The repeating  decimal is as follows: 0.052631578947368421.",7,Cartoon Corner: Problem-Solving Perseverance Pays Off
8,Cartoon Corner: Problem-Solving Perseverance Pays Off,"2.  Answers will vary. This question  correlates with Mathematical Practice 1 of the Common Core State Standards: “Make sense of problems and persevere in solving them” (CCSSI 2010, p. 6).",8,Cartoon Corner: Problem-Solving Perseverance Pays Off
9,Cartoon Corner: Problem-Solving Perseverance Pays Off,"3.  Fill the 3-liter jug with water and pour all the water into the 8-liter jug. Repeat two more times. On the third pour, when the 8-liter jug is full, 1 liter of water will remain in the 3-liter jug. Now empty the 8-liter jug and pour the 1 liter of water into it. Refill the 3-liter jug a final time and pour that water into the 8-liter jug. The 8-liter jug will now contain 4 liters of water.  4.  First, the farmer should cross with the goat. He leaves the goat, returns alone, and crosses with the wolf. He leaves the wolf and takes the goat ",9,Cartoon Corner: Problem-Solving Perseverance Pays Off
