__id__,__filename__,text,__id__,__filename__
0,Classroom Strategies to Make Sense and Persevere,Classroom Strategies to,0,Classroom Strategies to Make Sense and Persevere
1,Classroom Strategies to Make Sense and Persevere,Make Sense,1,Classroom Strategies to Make Sense and Persevere
2,Classroom Strategies to Make Sense and Persevere,Sense,2,Classroom Strategies to Make Sense and Persevere
3,Classroom Strategies to Make Sense and Persevere,Persevere,3,Classroom Strategies to Make Sense and Persevere
4,Classroom Strategies to Make Sense and Persevere,A group of middle school teachers found that four strategies are effective when helping their students work through problems with understanding.,4,Classroom Strategies to Make Sense and Persevere
5,Classroom Strategies to Make Sense and Persevere,"Jane M. Wilburne, Tara Wildmann, Michael Morret, and Julie Stipanovic",5,Classroom Strategies to Make Sense and Persevere
6,Classroom Strategies to Make Sense and Persevere,"Three middle-level mathematics teachers (grades 7 and 8) and a university mathematics educator formed a yearlong professional learning community (PLC) (DuFour, DuFour, and Eaker 2008). The objective was to collectively look at how we were promoting the Standards for Mathematical Practice (SMP) (CCSSI 2010) in our classes. Our monthly discussions followed an iterative cycle in which we continually shared instructional strategies and discussed their effectiveness in helping our students demonstrate the SMP (see fi g. 1). We followed the ",6,Classroom Strategies to Make Sense and Persevere
7,Classroom Strategies to Make Sense and Persevere,"PLC guidelines addressed in Hull, Miles, and Balka (2012) and identifi ed various strategies to implement between our meetings, such as recording observations and writing refl ections on our students’ use of the practices. We then shared and analyzed our data at the next meeting.",7,Classroom Strategies to Make Sense and Persevere
8,Classroom Strategies to Make Sense and Persevere,"As a team, we discussed which instructional strategies were effective and why they were effective in helping our students become more aware of their mathematical practice behaviors. In some cases, an instructional strategy needed to be enhanced  or modifi ed to promote more explicit use of the practices by students. For example, we decided to use the strategy of emphasizing perseverance themes and discussions in every class. In one meeting, we shared that simply discussing perseverance was not enough. Therefore, we decided to have our students keep a perseverance log (described later in the article). We found this iterative cycle helpful in guiding our discussions on enhancing the use of the math practices. ",8,Classroom Strategies to Make Sense and Persevere
9,Classroom Strategies to Make Sense and Persevere,Although all the Standards for ,9,Classroom Strategies to Make Sense and Persevere
10,Classroom Strategies to Make Sense and Persevere,Mathematical Practice were included ,10,Classroom Strategies to Make Sense and Persevere
11,Classroom Strategies to Make Sense and Persevere,Think,11,Classroom Strategies to Make Sense and Persevere
12,Classroom Strategies to Make Sense and Persevere,Eliminate,12,Classroom Strategies to Make Sense and Persevere
13,Classroom Strategies to Make Sense and Persevere,Persevere,13,Classroom Strategies to Make Sense and Persevere
14,Classroom Strategies to Make Sense and Persevere,Analyze,14,Classroom Strategies to Make Sense and Persevere
15,Classroom Strategies to Make Sense and Persevere,Fig. 1 This iterative cycle illustrates strategies that promote student behaviors associated with the Standards for Mathematical Practice.,15,Classroom Strategies to Make Sense and Persevere
16,Classroom Strategies to Make Sense and Persevere,What does the mathematical  practice look like?,16,Classroom Strategies to Make Sense and Persevere
17,Classroom Strategies to Make Sense and Persevere,How should the  instructional strategy be enhanced or  modified?,17,Classroom Strategies to Make Sense and Persevere
18,Classroom Strategies to Make Sense and Persevere,Standard for,18,Classroom Strategies to Make Sense and Persevere
19,Classroom Strategies to Make Sense and Persevere,Mathematical,19,Classroom Strategies to Make Sense and Persevere
20,Classroom Strategies to Make Sense and Persevere,Practice,20,Classroom Strategies to Make Sense and Persevere
21,Classroom Strategies to Make Sense and Persevere,Which instructional strategies should we as teachers emphasize to promote the mathematical  behavior?,21,Classroom Strategies to Make Sense and Persevere
22,Classroom Strategies to Make Sense and Persevere,What student mathematical  behaviors resulted?,22,Classroom Strategies to Make Sense and Persevere
23,Classroom Strategies to Make Sense and Persevere,What student mathematical behaviors are  expected?,23,Classroom Strategies to Make Sense and Persevere
24,Classroom Strategies to Make Sense and Persevere,Fig. 2 Students discussed this problem and its solution.,24,Classroom Strategies to Make Sense and Persevere
25,Classroom Strategies to Make Sense and Persevere,"Mr. Moreno went to the store to purchase some school clothes for his children during a “15% off” end-of-summer discount sale. After the discount, the price of one sweater is $11.50. What was the price of the sweater before the discount? Show all your work. Explain why you did each step. ",25,Classroom Strategies to Make Sense and Persevere
26,Classroom Strategies to Make Sense and Persevere,"Source: 4Sight Pennsylvania Benchmark (2007) (a) Problem x – 6 (b) One student’s solution in our discussions, this article will share how the iterative cycle helped us identify four strategies that we found effective in our middle-level classrooms. In particular, these four strategies promoted SMP 1: “Make sense of problems and persevere in solving them” (CCSSI 2010, p. 6). We describe these strategies below with samples of student work. ",26,Classroom Strategies to Make Sense and Persevere
27,Classroom Strategies to Make Sense and Persevere,"STRATEGY 1: DOES IT MAKE SENSE? “Mathematically profi cient students check their answers using a different method, and they continually ask themselves, ‘Does this make sense?’ ” (CCSSI 2010, p. 6). ",27,Classroom Strategies to Make Sense and Persevere
28,Classroom Strategies to Make Sense and Persevere,"How do we get students to reread a problem and check their answer to see if it makes sense? Although we often remind students to do just that, as well as check their answer using a different method, our students tended to rush through a problem just to say, “Done!” without revisiting the answer or the question posed. To show students the benefi ts of checking their answer to see if it makes sense, teacher A scanned student answers (without student names) to open-ended questions from the prealgebra curriculum and put them into a PowerPoint® presentation. Class time was used by students to look at each answer and analyze why the solution did not make sense. Students discussed what a reasonable answer might be and the possible errors that may have been made that resulted in the incorrect answer. The teacher also asked the students to share possible strategies to fi nd the solution. The following conversation occurred in the class when the teacher discussed problem A (see fi g. 2a).",28,Classroom Strategies to Make Sense and Persevere
29,Classroom Strategies to Make Sense and Persevere,Teacher: Let’s look at [the solution to] problem A [see fi g. 2b]. Does this answer make sense? Take a minute and talk to your partners about the reasonableness of the solution. ,29,Classroom Strategies to Make Sense and Persevere
30,Classroom Strategies to Make Sense and Persevere,"T, [After approximately one minute, the  teacher pulled the class together.]",30,Classroom Strategies to Make Sense and Persevere
31,Classroom Strategies to Make Sense and Persevere,"Teacher: Group B, can someone share with the class whether you think the answer is reasonable?",31,Classroom Strategies to Make Sense and Persevere
32,Classroom Strategies to Make Sense and Persevere,Student: That answer is way too high. Why would he pay $76.66 for one sweater?,32,Classroom Strategies to Make Sense and Persevere
33,Classroom Strategies to Make Sense and Persevere,Teacher: Could a sweater actually cost  $76.66?,33,Classroom Strategies to Make Sense and Persevere
34,Classroom Strategies to Make Sense and Persevere,"Student: Yes, if it is a designer label or  something.",34,Classroom Strategies to Make Sense and Persevere
35,Classroom Strategies to Make Sense and Persevere,Simply  discussing perseverance  was not enough;   we asked our  students to keep a Perseverance ,35,Classroom Strategies to Make Sense and Persevere
36,Classroom Strategies to Make Sense and Persevere,Log. ,36,Classroom Strategies to Make Sense and Persevere
