__id__,__filename__,text,,
0,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","Although educators agree that making connections with the real world, as advocated by Principles to Actions: Ensuring Mathematical Success for All (NCTM 2014), is important, making such connections while addressing important mathematics is elusive. We have found, however, that math content coupled with the instructional strategy of predict, check, explain can bridge such real-world contexts. In so doing, this procedure supports the research-informed teaching practices of using evidence of student thinking and aiding meaningful mathematical discussion.",,
1,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","In contrast to the common symbols-first approach, in which students manipulate symbols and memorize the mathematics, we have found that allowing students to investigate motion phenomena through the use of technology-based representations can foster students deep understanding of mathematics (Vahey et al. 2013; Vahey, Roy, and Fueyo 2013). As an example, we describe a high-cognitive-demand task (Stein and Smith 1998) that connects a real-world context with mathematics while supporting seventh-grade students understanding of rate and proportionality.",,
2,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",THE TASK,,
3,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","The task is part of a learning module (SRI International 2009) in which seventh-grade students develop an understanding of rate and proportionality. Initial tasks ask students to investigate proportional relationships using software that connects graphs of time and position to a simulation of real-world motion. As the students progress through the module, they explore connections among such representations as tables, algebraic expressions, and narratives. All the representations are unified through investigations of the proportional relationship y = kx.",,
4,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","A fundamental instructional strategy in the module is predict, check, explain (PCE), in which students make predictions based on the simulation and features of the mathematical representations, check their predictions, and explain similarities and differences between their predictions and results in the software. To illustrate how PCE supports the teaching practices that NCTM (2014) promotes, we will describe how a seventh-grade teacher and her students discuss their conceptions of a sprint (see fig. 1). The graph created in SimCalc MathWorlds (UMass Dartmouth 2015) represents how long it took Jace to run a race, shown both graphically and through an animated simulation of the motion. We highlight this pivotal task because it challenges students to go beyond calculating speed and explore proportional relationships using not only graphs and animations but also the representations of a table and an equation. Together these representations provide an encompassing image that a singular representation cannot provide (Tripathi 2008).",,
5,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",,,
6,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",Predict,,
7,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","Before the whole-class discussions, the teacher asked students to explore the task individually or in small groups. This allowed students to explore their intuitive conceptions of the task before the whole-class discussion. It also created the need to make those individual or small-group conceptions public so that the teacher and class could discuss and evaluate them together. For example, students worked in small groups using the software to determine how long it would take Jace to run 25 meters and 50 meters. The teacher then prompted the students to use the graph (see fig. 1) to predict how long it would take Jace to run 100 meters if he continued to run at the same speed.",,
8,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",Teacher: Does anybody have a prediction?,,
9,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",Chelsey: 12.,,
10,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",Teacher: Did anybody else have 12? Anything else?,,
11,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics",Jackson: 16.,,
12,"Connecting Representations_ Using Predict, Check, Explain - National Council of Teachers of Mathematics","Teacher: And we have a debate. Dont we love a debate? What do you think, Connor? The question was if Jace keeps running at the same rate, how long will it take Jace to run 100 meters?",,
