__id__,__filename__,text,__id__,__filename__
0,Creating Zines: Supporting Powerful Math Identities,"During a math camp, students created zines—small, self-published works— and reflected on what it means to be “smart” in math.",0,Creating Zines: Supporting Powerful Math Identities
1,Creating Zines: Supporting Powerful Math Identities,Creating Zines: ,1,Creating Zines: Supporting Powerful Math Identities
2,Creating Zines: Supporting Powerful Math Identities,Supporting Powerful,2,Creating Zines: Supporting Powerful Math Identities
3,Creating Zines: Supporting Powerful Math Identities,Math Identities ,3,Creating Zines: Supporting Powerful Math Identities
4,Creating Zines: Supporting Powerful Math Identities,"Mathematics educators understand the importance of engaging students in mathematical writing to deepen their mathematical knowledge (e.g., Fello and Paquette 2009). Teachers often engage students in writing about mathematics to support students’ understanding by assigning math journals (e.g., Kostos and Shin 2010), exchanging pen-pal letters (e.g., Crespo 2003; Lynch and Bolyard 2012), or providing written explanations (e.g., Goldsby and Cozza 2002; Parker and Breyfogle 2011). Another crucial goal of mathematics educators is to help students develop positive dispositions and beliefs toward mathematics (Kilpatrick, Swafford, and Findell 2001). Students often believe that there are two kinds of people in math class: Those who are “math people” and those who are not. It is difficult but important for mathematics teachers to help students see themselves as capable mathematics learners, that is, to help each student develop a positive ",4,Creating Zines: Supporting Powerful Math Identities
5,Creating Zines: Supporting Powerful Math Identities,Joy A. Oslund and Joshua Barton,5,Creating Zines: Supporting Powerful Math Identities
6,Creating Zines: Supporting Powerful Math Identities,"Zines’ history as a way for people who feel marginalized to push the boundaries of what is acceptable makes this genre appropriate for engaging students in discovering  what it means to be  “smart” in mathematics.  ics, poetry, artwork, recipes, opinion pieces, or accounts of personal experience. Because of these features, zines have a long history of use as a critique of social conditions and a vehicle for prompting change. The first zine may have been Thomas Paine’s Common Sense, which influenced the American Revolution (Duncombe 2008). We argue that because zines have this long history of use as acts of resistance and revolution, zines provide a way for critiquing narrow understandings of what it means to be “math people” and changing classroom culture and the way mathematics is viewed. Creators of zines, or zinesters, make their work available in a variety of ways, including selling them online, at “zine fests,” or giving them away. ",6,Creating Zines: Supporting Powerful Math Identities
7,Creating Zines: Supporting Powerful Math Identities,"Zines have a number of benefits for writing in math classrooms. Because mathematics classrooms have  traditionally focused on the abilities of computational speed and accuracy, students without those abilities may feel marginalized, even though they have abilities they can leverage for problem solving. Zines’ history as a way for people who feel marginalized to push the boundaries of what is acceptable makes this genre appropriate for engaging students in discovering what it means to be “smart” in mathematics. Zines are an unmediated form of communication in that they do not undergo review by a publisher (or in this case, the teacher). Therefore, they may provide a more organic look into how students are thinking about mathematics and themselves, without the barrier to participation that academic genres of writing may impose. Because any genre can be in a zine—from written essays to free-hand art—there is much potential for students to imagine, create, and engage on a personal level using talents that may not be recognized in other classroom activities. Therefore, zine making allows students to present a diverse range of positive mathematics identities, with the power to motivate their continued mathematics engagement.",7,Creating Zines: Supporting Powerful Math Identities
8,Creating Zines: Supporting Powerful Math Identities,"mathematics identity. A student’s mathematics identity is a powerful influence on his or her engagement and participation in mathematics (Bishop 2012). Students act in ways that are consistent with how they see themselves as capable (or incapable) in mathematics—in other words, they perform mathematics identities. When students see themselves as capable and engage productively in challenging mathematics, they are illustrating powerful mathematics identities.",8,Creating Zines: Supporting Powerful Math Identities
9,Creating Zines: Supporting Powerful Math Identities,"One way that teachers help students develop powerful mathematics identities is to help students understand the abilities beyond computation that they can leverage to solve problems. This raises the chance that students will have an opportunity to experience success and to see themselves (and be seen by others) as capable in mathematics, thereby influencing them to engage and participate in mathematical problem solving (Featherstone et al. 2011). However, this is not easily accomplished. We engaged students in the creation and exchange of zines to develop students’ reflection on their mathematics experiences, abilities, and ideas about what it means to do mathematics. ",9,Creating Zines: Supporting Powerful Math Identities
10,Creating Zines: Supporting Powerful Math Identities,WHAT IS A ZINE?,10,Creating Zines: Supporting Powerful Math Identities
11,Creating Zines: Supporting Powerful Math Identities,"An abbreviation of fanzine or magazine, a zine is a hand-made, smallcirculation, self-published work. Zines come in a variety of formats, such as hand-written text, typed text, drawings, or collages. They also come in a variety of genres, including com-",11,Creating Zines: Supporting Powerful Math Identities
12,Creating Zines: Supporting Powerful Math Identities,COLLABORATING ON COMMUNITY-BASED  MATH PROBLEMS,12,Creating Zines: Supporting Powerful Math Identities
13,Creating Zines: Supporting Powerful Math Identities,"We used the zine activity in a multiage math camp, taking place on four consecutive mornings during the last week of the students’ summer vacation. Students ages 8–14 attended each three-hour session and were taught by Joy A. Oslund, with assistance from a preservice teacher. The camp met in a community building in an urban neighborhood. Neighborhood students were recruited through signs, flyers, and word-ofmouth and were able to attend free of charge. ",13,Creating Zines: Supporting Powerful Math Identities
14,Creating Zines: Supporting Powerful Math Identities,"The camp began with group- work tasks that engaged students in learning to collaborate productively to solve problems. For example, we assigned norms and roles for group work and used “skill builders” designed to promote collaboration (Cohen 1994; Featherstone et al. 2011). Then we engaged students in collaboratively studying mathematics problems situated in the context of students’ interests and community. Students used logic and spatial reasoning to design square-foot gardens (a type of garden designed to grow a maximum amount of food in small spaces, which are often used in the urban neighborhood where the math camp took place) (Sandborn 2012). They also used recorded measurement data by studying the projectile distances of foam darts from various toy blasters. ",14,Creating Zines: Supporting Powerful Math Identities
15,Creating Zines: Supporting Powerful Math Identities,"During every activity, we foregrounded with the question, “How are you smart in math?” as students reflected on the abilities they used to contribute to each problem-solving situation. At least once per day, we asked all students to write one way that they were “smart in math.” We then posted these comments on our “smartness wall” to encourage the building of powerful math identities ",15,Creating Zines: Supporting Powerful Math Identities
16,Creating Zines: Supporting Powerful Math Identities,Fig. 1 Students are shown how to make a zine from one piece of paper.,16,Creating Zines: Supporting Powerful Math Identities
17,Creating Zines: Supporting Powerful Math Identities,1. Fold any size paper into eighths.,17,Creating Zines: Supporting Powerful Math Identities
18,Creating Zines: Supporting Powerful Math Identities,"2. Cut along the horizontal center fold line so that the paper appears as shown. (This is most easily accomplished by folding the paper along the center vertical fold, cutting the horizontal fold to the next vertical fold.) 3. Fold paper in half along the horizontal line. Open the cut sections so as to push the vertical center folds away from each other and to push the far right and far left sections together.",18,Creating Zines: Supporting Powerful Math Identities
19,Creating Zines: Supporting Powerful Math Identities,4. Pinch or rub the folds to make them sharp and to allow the booklet to lie flat.,19,Creating Zines: Supporting Powerful Math Identities
