__id__,__filename__,text,__id__,__filename__
0,Dancing Our Way to Geometric Transformations,"Students slide into reﬂ ections, rotations, and translations and take giant leaps forward in their geometric understanding.",0,Dancing Our Way to Geometric Transformations
1,Dancing Our Way to Geometric Transformations,Danc ing,1,Dancing Our Way to Geometric Transformations
2,Dancing Our Way to Geometric Transformations,Danc ing,2,Dancing Our Way to Geometric Transformations
3,Dancing Our Way to Geometric Transformations,Danc ing,3,Dancing Our Way to Geometric Transformations
4,Dancing Our Way to Geometric Transformations,Danc ing,4,Dancing Our Way to Geometric Transformations
5,Dancing Our Way to Geometric Transformations,Danc ing,5,Dancing Our Way to Geometric Transformations
6,Dancing Our Way to Geometric Transformations,Danc ing,6,Dancing Our Way to Geometric Transformations
7,Dancing Our Way to Geometric Transformations,Danc ing,7,Dancing Our Way to Geometric Transformations
8,Dancing Our Way to Geometric Transformations,Danc ing,8,Dancing Our Way to Geometric Transformations
9,Dancing Our Way to Geometric Transformations,Danc ing,9,Dancing Our Way to Geometric Transformations
10,Dancing Our Way to Geometric Transformations,Danc ing,10,Dancing Our Way to Geometric Transformations
11,Dancing Our Way to Geometric Transformations,Danc ing,11,Dancing Our Way to Geometric Transformations
12,Dancing Our Way to Geometric Transformations,Danc ing,12,Dancing Our Way to Geometric Transformations
13,Dancing Our Way to Geometric Transformations,Our Way to Geometric   Transformations,13,Dancing Our Way to Geometric Transformations
14,Dancing Our Way to Geometric Transformations,Danc ing,14,Dancing Our Way to Geometric Transformations
15,Dancing Our Way to Geometric Transformations,Danc ing,15,Dancing Our Way to Geometric Transformations
16,Dancing Our Way to Geometric Transformations,Danc ing,16,Dancing Our Way to Geometric Transformations
17,Dancing Our Way to Geometric Transformations,Danc ing,17,Dancing Our Way to Geometric Transformations
18,Dancing Our Way to Geometric Transformations,Danc ing,18,Dancing Our Way to Geometric Transformations
19,Dancing Our Way to Geometric Transformations,Danc ing tTelling students that a Danc ing,19,Dancing Our Way to Geometric Transformations
20,Dancing Our Way to Geometric Transformations,Danc ing,20,Dancing Our Way to Geometric Transformations
21,Dancing Our Way to Geometric Transformations,Danc ing,21,Dancing Our Way to Geometric Transformations
22,Dancing Our Way to Geometric Transformations,Danc ing,22,Dancing Our Way to Geometric Transformations
23,Dancing Our Way to Geometric Transformations,Danc ing,23,Dancing Our Way to Geometric Transformations
24,Dancing Our Way to Geometric Transformations,Danc ing,24,Dancing Our Way to Geometric Transformations
25,Dancing Our Way to Geometric Transformations,Danc ing,25,Dancing Our Way to Geometric Transformations
26,Dancing Our Way to Geometric Transformations,Danc ing tt,26,Dancing Our Way to Geometric Transformations
27,Dancing Our Way to Geometric Transformations,Our Way to Geometric   Transformations,27,Dancing Our Way to Geometric Transformations
28,Dancing Our Way to Geometric Transformations,"Alison E. Leonard and Nicole A. Bannister 1 degree angle is 1/360 of a circle is unlikely to help them develop the type of spatial reasoning necessary for drawing a 45 degree angle. However, if students embody degree measure as an amount of turn by stretching out their arms and twisting their torsos to experience, practice, and perform different degree measures, then they will not only have a better spatial sense about what 45 degrees means but also be better positioned to create angles precisely with tools like protractors and dynamic geometry software.  comfortable, daunting charge for many teachers (Leonard and Odutola 2016; Kaufmann and Ellis 2007), our collective successes with prospective and practicing teachers have aligned with known beneﬁ ts of learning mathematics through dance—as have teachers’ reports of classroom implementation with middle school students—which suggests that taking the risk is worth it. Embodied explorations and performances of transformations stand likely to provide essential content experiences for students at a critical time of early adolescent development, thereby inspiring the following fully adaptable implementation guide for middle school teachers interested in movement as inquiry.",28,Dancing Our Way to Geometric Transformations
29,Dancing Our Way to Geometric Transformations,PERFORMANCE TASK OVERVIEW,29,Dancing Our Way to Geometric Transformations
30,Dancing Our Way to Geometric Transformations,The Transformations Dance provides opportunities for improving and assessing students’ conceptual understanding of isometric transformations and spatial reasoning through ,30,Dancing Our Way to Geometric Transformations
31,Dancing Our Way to Geometric Transformations,"Research suggests that embodying mathematical concepts through movement supports improvements in students’ spatial ﬂ uency, communication, collaboration, critical thinking, and problem-solving skills (Alibali and Nathan 2012; Cone and Cone 2011; Sarama and Clements 2009). This article describes a dance-based strategy that middle school mathematics teachers can use to leverage embodied movement in their instructional repertoires. We take cues from dance educators for imagining this work because they have disciplinary expertise in the practice of movement as a form of inquiry. They deﬁ ne dance broadly as purposeful sequences of movement and stillness that communicate meaning (Leonard 2017; Hanna 2015). This means that we all potentially use dance, consume dance, and participate in dance every day, from the sequences of movements and stillness we use in our morning routines, like brushing our teeth, to the purposeful gestures we use when communicating, like using an arm to represent the slope of a line. These become dances when we view such movements as aesthetic and meaningful beyond their utilitarian purposes. Teachers and students can take comfort in knowing that these pedestrian sequences of gestures count just as much as technical ballet moves in dancing, which busts both the myth that a person must be trained in dance to be a dancer and the myth that dance is not an appropriate classroom strategy. ",31,Dancing Our Way to Geometric Transformations
