__id__,__filename__,text,__id__,__filename__
0,Develop Reasoning through Pictorial Representations,develoP,0,Develop Reasoning through Pictorial Representations
1,Develop Reasoning through Pictorial Representations,Reasoning,1,Develop Reasoning through Pictorial Representations
2,Develop Reasoning through Pictorial Representations,Reasoning through Pictorial Representations,2,Develop Reasoning through Pictorial Representations
3,Develop Reasoning through Pictorial Representations,"Solutions coupled with drawings can illustrate students’ understandings or misunderstandings, particularly in the area of proportional reasoning.",3,Develop Reasoning through Pictorial Representations
4,Develop Reasoning through Pictorial Representations,Wendy P. Ruchti and Cory A. Bennett,4,Develop Reasoning through Pictorial Representations
5,Develop Reasoning through Pictorial Representations,"There are great benefi ts to encouraging drawing in math class. When pictorial representations are part of the solution process, both students and teachers gain insight into various areas of understanding. Talking about these representations with their peers helps strengthen students’ reasoning and understanding (Cobb, Wood, and Yackel 1993; NCTM 2000) and promotes mathematical profi ciency (NRC 2001). Providing problems that require students to use representations and discussion to develop reasoning skills can help students connect the logic of their thinking with the mathematical concepts. ",5,Develop Reasoning through Pictorial Representations
6,Develop Reasoning through Pictorial Representations,"These habits of mind are encouraged within the Standards for Mathematical Practices in the Common Core State Standards (CCSSI 2010). Through pictorial representations, students can anchor their discussions about their thought processes and seek clarity on the math involved, thus encouraging more complex, cohesive, and concise thinking and  reasoning (Hiebert et al. 1997). ",6,Develop Reasoning through Pictorial Representations
7,Develop Reasoning through Pictorial Representations,"Furthermore, students’ misconceptions also begin to surface as students question and discuss their representations. Again, such actions require students to further justify their thinking and reasoning. In essence, pictorial representations can help students model, analyze, make sense of, and understand the underlying math within a problem. This is especially true when learning new or diffi cult content, as occurs with proportional relationships. ",7,Develop Reasoning through Pictorial Representations
8,Develop Reasoning through Pictorial Representations,"A class of seventh-grade and  eighth-grade students was given a proportional reasoning task, which was designed to promote pictorial representations. After solving the task on their own, the students were intentionally paired with classmates who had different solutions or used different solution processes. Students took turns justifying their thinking processes and used pictorial representations to support their arguments. As students presented their ideas and solution methods, and questioned  others’ ideas and defended their own, they began to deal with incongruities in their own thinking. The opposing positions were a source of cognitive conflict; the students were asked to agree on a correct answer and create a single pictorial representation that illustrated their shared understanding. Pairs would then present and justify their representations to the class. The teacher analyzed the joint representations both before and after the students’ discussions to examine students’ understanding. In so doing, multiple underlying misconceptions in students’ reasoning and mathematical understanding were uncovered. ",8,Develop Reasoning through Pictorial Representations
9,Develop Reasoning through Pictorial Representations,Reasoning and UndeRstanding,9,Develop Reasoning through Pictorial Representations
10,Develop Reasoning through Pictorial Representations,"Reasoning is fundamental across grade levels and is needed if students are to succeed in more advanced mathematics (Lannin et al. 2011). Proportional reasoning, encountered in everyday life, is also important in many aspects of mathematics. However, because students do not develop proportional reasoning skills naturally, any early reasoning they have will not go beyond basic levels of understanding unless purposeful opportunities are created. When middle level students are faced with scenarios that require proportional reasoning, they frequently ignore crucial relationships and use incorrect strategies, such as additive reasoning (Chapin and  Anderson 2003).  the PRobleM",10,Develop Reasoning through Pictorial Representations
11,Develop Reasoning through Pictorial Representations,"The Onion Soup problem (see fig. 1) was one task that helped students develop stronger proportional reasoning. Students were asked to not only find a solution but also create a pictorial representation of how they solved it. This problem, part B in particular, elicited diverse solutions, unusual problemsolving processes, and possible misconceptions. In part B, students had ",11,Develop Reasoning through Pictorial Representations
12,Develop Reasoning through Pictorial Representations,Fig. 1 Students were asked to both solve the problem and illustrate how they solved it.,12,Develop Reasoning through Pictorial Representations
13,Develop Reasoning through Pictorial Representations,the onion soUP PRobleM,13,Develop Reasoning through Pictorial Representations
14,Develop Reasoning through Pictorial Representations,An onion soup recipe for 8 people is as follows: 8 onions 2 cups of water 4 chicken soup cubes 12 T. butter 1/2 cup cream,14,Develop Reasoning through Pictorial Representations
15,Develop Reasoning through Pictorial Representations,Part A. I am cooking onion soup for 4 people. How many chicken soup cubes do I need?,15,Develop Reasoning through Pictorial Representations
