__id__,__filename__,text,,
0,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"Lesson study cultivates teachersâ€™ capacity for formative assessment by placing student thinking front and center throughout. According to Black and Wiliam (1998, p. 2), assessment refers to â€œall those activities undertaken by teachers, and by their students in assessing themselves, which provide information to be used as feedback to modify the teaching and learning activities in which they are engaged. Such assessment becomes â€˜formative assessmentâ€™ when the evidence is actually used to adapt the teaching work to meet the needs.â€ Learning to incorporate the effective use of assessment in classroom instruction is not an easy task; we suggest that lesson study (Stigler and Hiebert 1999) supports teachersâ€™ effective and frequent use of formative assessment.",,
1,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"Lesson study is a form of professional development in which a team of teachers determines a mathematical focus, collaboratively studies student thinking about the topic, designs a lesson about this content, implements the lesson while collecting detailed evidence of student learning, and reflects on the impact of the lesson on student learning and behavior. The lesson study process encourages careful observation and analysis of student thinking, with the goal of designing and implementing effective teacher responses to student actions. Figure 1 illustrates the phases of lesson study.",,
2,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,,,
3,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"â€¢ Study: The team of teachers determines a mathematical focus, studies the content in depth, and investigates research on student thinking about this content. The team also gathers data about their own studentsâ€™ understanding of this content and underlying concepts.",,
4,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,â€¢ Plan: The team carefully plans a lesson around this content based on what they learned about student thinking in the study phase. This plan will indicate critical junctures for assessing student learning during the lesson and adapting instruction based on the results.,,
5,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"â€¢ Teach/Observe: One teacher teaches the lesson while the other team members and external experts observe the lesson live and record evidence of student learning and actions throughout the lesson. Student work is collected, and the lesson is often video recorded to support evidence-based reflection.",,
6,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"â€¢ Reflect/Modify: The team gathers to share and analyze the data collected, with the goal of investigating how aspects of the lesson affected student learning and behaviors, how the lesson could be improved, and what might be learned for instructional practice more generally.",,
7,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"Carefully observing, recording, and analyzing student actions and learning are primary components that cultivate teachersâ€™ capacity for formative assessment. These areas support teachersâ€™ ability to interpret student actions and modify instruction based on student learning and behaviors. We have learned much about the process and affordances of lesson study from the long-term intensive work of a group of about 100 teachers of grades 4â€“8; some taught only mathematics or mathematics and science, whereas others taught all subjects. For five years, the teachers participated voluntarily in a grant-funded professional development project involving intensive summer institutes, monthly seminars, and ten full days of lesson study each year. Participating teachers applied as site groups. The teachers differed in level of experience from first-year teachers to veteran teachers with twenty or more years of experience. The teachers formed eight lesson study teams, ranging in size from five to twelve, covering multiple grade levels, and including teachers from multiple schools. We illustrate the stages of lesson study, and its power to develop capacity for formative assessment, through the experiences of a representative team of fifth-grade and sixth-grade teachers midway through the project. For a more general investigation of teacher learning in lesson study, see Lewis et al. (2012).",,
8,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,STUDY,,
9,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"This stage begins with the teachers identifying a specific mathematical focus. The team then studies school textbooks and research on the chosen content, identifying common misconceptions or gaps in student understanding and investigating possible teaching methods. Teachers frequently devise assessments to understand how their own students conceive of concepts that underpin the target content. These assessments will become formative when the results are used in the planning phase to guide instructional design.",,
10,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"In this case, the mathematical focus chosen was multiplication of a fraction by a whole number, as referenced in the Common Coreâ€™s Standard 5.NF.4: Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction; and Standard 5.NF.6: Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem (CCSSI 2010, p. 36).",,
11,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"The team began by reviewing the literature to identify common misconceptions. After investigating multiple sources, the team concluded that the vast majority of misconceptions stemmed from lack of conceptual understanding of multiplication of fractions. They decided to design a lesson targeting the understanding of the underlying reasoning for multiplication and when to multiply. They then evaluated several different problems as possible focus tasks for their lesson. In so doing, they modified a problem from Guiding Childrenâ€™s Learning of Mathematics by Tipps, Johnson, and Kennedy and constructed the problem (see fig. 2).",,
12,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,,,
13,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"As a pre-assessment, the team piloted the problem with a group of six students from the fifth and sixth grades (from classes that would not receive implementation of the lesson) to gauge readiness and investigate what understandings, misconceptions, and struggles might surface. Figure 3 contains sample student work and team interpretations.",,
14,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,,,
15,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,PLAN,,
16,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"Planning the research lesson is heavily guided by results of the study phase, thus continuing the focus on student thinking and transforming the pre-assessments into formative assessments.",,
17,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,Advance planning for effective formative assessment during the lesson plays an important role in the research lesson plan. Teachers consider questions such as these:,,
18,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,1.  What are key points to check for understanding during the lesson? What evidence might indicate that students are confused or are ready to move on?,,
19,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,2.  How might a teacher respond to student understandings (to deepen them) and misunderstandings (to correct them)?,,
20,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,The first question guides teachers in assessing development of student understanding during the lesson; the second question transforms that assessment into formative assessment by planning adaptations of the instruction in response to student actions.,,
21,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,,,
22,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"The lesson plan excerpt (see table 1) provides an example of how the team used their conclusions from the pre-assessment to plan initial instruction as well as formative assessment for their lesson. Additional sample checkpoints for formative assessment, based on the teamâ€™s pre-assessment observations, are shown in table 2.",,
23,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,,,
24,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,TEACH/OBSERVE,,
25,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"In implementing a research lesson, a member of the lesson study team (the instructor) teaches the lesson; the remaining members of the team, often augmented by outside experts, carefully observe and record studentsâ€™ mathematical work, actions, and comments. These observations provide the evidence for the postlesson analysis and reflection.",,
26,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"The instructor has a dual assessment role during the lesson: (1) Implementing the formative assessment designed in the planning stage, and (2) noticing and responding to unplanned student actions and reactions that reveal unexpected understandings and misunderstandings.",,
27,Developing Assessment through Lesson Study - National Council of Teachers of Mathematics,"During the lesson implementation, similar misconceptions surfaced. In one instance, a student had difficulty understanding the meaning of the verbal description â€œthree-quarters of an hour.â€ This difficulty was expected, and the team had discussed it, so although this studentâ€™s interpretation was not one of the anticipated responses, the instructor was prepared to probe his thinking on the spot. Part of the student-teacher interaction follows:",,
