__id__,__filename__,text,,
0,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"I recently asked a group of eighth-grade students to solve an application problem involving a runnerâ€™s distance with respect to time. The goal was to develop the equation of a line using slope and similar-triangle concepts. The Common Core State Standards for Mathematics (CCSSI 2010) suggests that middle school students might abstract the equation of a line as they repeatedly calculate slope and â€œcheck whether points are on a line through (1, 2) with slope 3â€ (p. 8). Additionally, the Grade 8 content standards assert that students can use similar triangles â€œto explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate planeâ€ (p. 54). I wanted to link these two Common Core recommendations in a way that makes rich connections to proportional reasoning.",,
1,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Students engage in proportional reasoning when they use covariance and multiple comparisons. Without rich connections to proportional reasoning, students may develop inadequate understandings of linear relationships and the equations that model them. Lobato and Ellis (2002) found that some students tended to view the equation y = mx + b as a storage container to place values for m and b, while losing sight of the covariance relationship between the quantities x and y that the equation models. Teachers can improve studentsâ€™ understanding of linear relationships by focusing on realistic situations and directing studentsâ€™ attention toward the dependency of x and y and the covariant relationship expressed in linear equations (Lobato and Ellis 2002).",,
2,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Students can also develop a thorough understanding of y = mx + b when they treat slope as an invariant ratio across a family of similar triangles (Sinclair, Pimm, and Skelin 2012). Students are able to apply this thinking to solve problems and make observations using the processes described in the equation of a line, without explicitly developing the equation. They can be given a rate of change (e.g., speed) and one or more known points related by this rate of change. To infer that the information determines a line, students employ the converse of the standard discussed above: If we know that the rates of change between all pairs of points in a collection are equal, then the collection of ordered pairs determines a line.",,
3,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"A novel approach, described below, uses dilations of a rate-of-change triangle to abstract the equation of a line. The hypotenuses of all possible dilations of a rate-of-change triangle will span a line. The tools for this approach become available when students understand â€œthat a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilationsâ€ (CCSSI 2010, p. 56). This is transformational geometry.",,
4,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Responses from two of the eighth-grade students in our class, Julie and Rob, illustrate studentsâ€™ thinking as they solve a linear relationship problem using similar triangles. Their responses spark ideas for how to leverage this thinking to develop the equation of a line.",,
5,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,DEFINITIONS AND TERMINOLOGY,,
6,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Standards specify that seventh-grade students should solve problems about scale drawings by relating lengths within and between objects (CCSSI 2010, p. 46). A within ratio compares the lengths of two sides of one triangle. A between (or across) ratio compares the lengths of two corresponding sides of two different triangles. When two triangles are similar, the corresponding within ratios and all across ratios are equal.",,
7,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,,,
8,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"In transformational geometry, two triangles are similar if one can be superimposed onto the other using a sequence of translations, reflections, rotations, or dilations. A dilation of a triangle is obtained by identifying a center of dilation D and a scale factor r. This process moves each point P in the plane to a new location PÂ´. The new location, PÂ´, lies on a line of dilation determined by center D and point P. The point PÂ´ is r times as far from the center D as the original point P. Figure 1 illustrates a dilation of triangle ABC using center D and a scale factor r = 2.",,
9,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,DILATIONS OF RATE-OF-CHANGE TRIANGLES,,
10,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"In figure 2, a group of eighth-grade students argues that a collection of ordered pairs that forms a line has a constant rate of change among all pairs of ordered pairs. Their diagram depicts rate-of-change triangles. A rate-of-change triangle from a point A to a point B is a right triangle with its hypotenuse connecting points A and B. Its vertical and horizontal legs measure |Î”y| and|Î”x|, respectively. The rate of change from any point to another is a within ratio of a rate-of-change triangle, with the appropriate sign (+/-) attached.",,
11,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,,,
12,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Although it is a proof, the studentsâ€™ argument expresses an understanding of how to use dilations to move one rate-of-change triangle to another. It also shows an understanding of the connection between the slope of the line and the within ratios of rate-of-change triangles. The studentsâ€™ work illustrates that the line through a collection of points is a line of dilation for moving the hypotenuse of one rate-of-change triangle onto another. Other students included four distinct ordered pairs in their argumentâ€™s diagram (referent), which expresses a more generalized approach for using dilations to superimpose one rate-of-change triangle onto another.",,
13,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Strictly speaking, the first part of standard 8.EE.6 (CCSSI 2010) about similar triangles and the slope of a nonvertical line corresponds to a conditional claim:",,
14,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Claim 1: If a collection of ordered pairs determines a line, then the rate of change among all pairs of ordered pairs is constant.",,
15,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"In figure 2, students argued for the converse of claim 1. The converse, claim 2, is also true and corresponds to this articleâ€™s approach.",,
16,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Claim 2: If a collection of ordered pairs has a constant rate of change among all pairs of ordered pairs, then the collection determines a line.",,
17,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,STUDENT WORK AND STUDENT THINKING,,
18,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Students in this class had the following daily learning goal: â€œAt the end of this activity, I will be able to use dilations and similar rate-of-change triangles to solve problems involving a runnerâ€™s distances, times, and rate (speed).â€ This goal complemented their weekly learning goal: â€œAt the end of this week, I will be able to make viable arguments using similarity concepts for claims about lines, linear relationships, and rates of change.â€",,
19,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,I gave the students a task with a sequence of guided discovery prompts:,,
20,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Jana starts running 15 feet from the starting line. After 9 seconds, she notices that she is 57 feet from the starting line. After 21 seconds, [what question am I about to ask you]?",,
21,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Next, I asked the students toâ€”",,
22,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"â€¢ plot the information provided in the task on a (t, d) coordinate system, in which t and d represent time and distance, respectively;",,
23,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,â€¢ construct a rate-of-change triangle from the ordered pairs expressed in the task; and,,
24,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,â€¢ use a dilation of the first rate-of-change triangle to create a rate-of-change triangle for the points determined by t = 0 and t = 21 and label the legs appropriately.,,
25,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,,,
26,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Students had already received lessons on constructing rate-of-change triangles; finding within and across ratios of similar triangles; dilating rate-of-change triangles along a line (a line of dilation); and superimposing one rate-of-change triangle onto another, using both positive and negative scale factors. Students needed this information to continue their work with this lesson.",,
27,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Figure 3 displays Julieâ€™s written response to the dilation prompts, which was very similar to Robâ€™s response. When asked about the approaches used to develop their responses, both Julie and Rob reported using the ordered pair (0, 15) as the center of dilation and 21 Ã· 9 as the scale factor. However, they appeared to use a different method in subsequent prompts.",,
28,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,"Figures 4 and 5 display Robâ€™s and Julieâ€™s responses, respectively, to subsequent prompts. In these prompts, I asked students to consider how they can use properties of similar triangles and the values of Î”t to predict Janaâ€™s distance from the starting line after  21 seconds. Their work contains errors. In their responses to (g), Rob mistakenly writes 13 instead of 15, and Julie creates a false equation when she combines two processes into one equation. Julie also mislabels the units in the left-hand side of her equation. Nevertheless, the responses express appropriate approaches for predicting Janaâ€™s distance. It is not clear, however, that these students had yet connected dilation approaches to solving the problem in task (g).",,
29,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,,,
30,Dilations and the Equation of a Line - National Council of Teachers of Mathematics,COMMENTARY ON STUDENT RESPONSES,,
