__id__,__filename__,text,,
0,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"How can we get students to justify? We know that the benefits of justification are numerous: Teachers have found that engaging students in justification can help students deepen and retain mathematical knowledge, gain a greater sense of ownership over the material, and improve communication and representation skills (Staples, Bartlo, and Thanheiser 2012). Student engagement in a justification activity can also lead to more equitable learning outcomes among diverse student populations (Boaler and Staples 2008). However, enacting lessons that help support student justifications can be challenging. One difficulty in implementing such tasks is that they are inherently open-ended; it takes careful planning using multiple strategies to guide students toward the intended mathematical goal.",,
1,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Recent curricular standards have called for a greater emphasis on sense making, argumentation, and justification. For example, the Common Cores Standard for Mathematical Practice 3 (CCSSI 2010, p. 6) asks students to construct viable arguments and critique the reasoning of others, and NCTMs Principles and Standards for School Mathematics encourages students of all grade levels to develop and evaluate mathematical arguments and proofs (NCTM 2000, p. 56). We focus on justification because it is less formal than a mathematical proof. A justification goes beyond showing what a student did: A justification should provide a convincing mathematical argument for why a statement is true.",,
2,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"To better understand how to support student justifications within middle school math classrooms, a team of researchers and twelve middle school teachers collaborated on the Justification and Argumentation: Growing Understanding of Algebraic Reasoning (JAGUAR) project. Within JAGUAR, we developed and refined strategies to promote student justifications. These strategies included the deliberate setup of the task, an explicit identification of specialized vocabulary, and careful listening to student thinking, thus creating many informal opportunities for students to exchange ideas and encouraging the use of multiple representations. We found that one key to a better implementation of justification tasks involved teachers doing the math as part of the lesson-planning process.",,
3,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,WHAT IS DOING THE MATH?,,
4,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Doing the Math was a part of intensive lesson planning in which teachers completed a detailed investigation of the mathematics in a task. Smith, Bill, and Hughes (2008) provided a lesson-planning protocol that aimed to help teachers maintain a high level of cognitive demand for a task. We saw doing the math as an important part of this type of lesson planning. Doing the math involved working through a problem and anticipating potential student justifications and misconceptions. It also helped us uncover the potential of a task, identify the tasks goals, understand the prior knowledge necessary to access the task, and anticipate solutions to better support students while teaching. In this article, we illustrate doing the math with the Hexagon task (Smith, Silver, and Stein 2005) and conclude with a discussion of the benefits for both students and teachers that we have experienced.",,
5,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,,,
6,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,Hexagon Task: An Example,,
7,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,The Hexagon task is a good example of an open-ended problem-solving task accessible to middle school students. Students identify a pattern in a geometric figure and justify a generalization of that pattern for any length figure (see fig. 1). The task gives students opportunities to form connections between different representations and describe a mathematical relationship. It also allows for different solution strategies and encourages students to explain their reasoning.,,
8,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,Generating a Justification,,
9,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Doing the math starts by solving the task and creating a justification. While working on the mechanical steps used to solve the problem, we tried to connect our problem-solving process to the mathematics of why our thinking is valid. Our goal was to create a robust justification that used mathematics to explain why the solution was correct.",,
10,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"We began the Hexagon task by creating a table that compared the figure number with the perimeter of the figure (see table 1). As the figure number went up by 1, the perimeter went up by 4. From the table, we generated a linear equation with a growth rate of 4 and an initial value of 2, leading to the equation P = 4F + 2.",,
11,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,,,
12,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Recognizing that a pattern existed in the table was an important insight, but for a complete justification, we needed to explain the mathematics behind why that relationship held in the table. Our next step was to connect the values in the table to the original figure. In figure 2, one student used arrows to connect the diagram to each piece of the equation. The growth rate of 4 came from the 4 exposed sides of each hexagon (2 top and 2 bottom), and the additional 2 came from the two ends.",,
13,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,,,
14,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,Constructing Alternate Justifications,,
15,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Once we worked through the task and created one justification, we revisited the problem to justify it in a different way. To generate ideas for alternate strategies, we tried to anticipate ways that students might think about the task, different problem-solving approaches, or different representations that students might use to justify their solution. For example, how would a justification look different if the student used a graph rather than a table to represent the problem? We worked through the task using the manipulatives or technology that students might use to solve the task. For each strategy, our goal was to unpack and explore the mathematics of why the reasoning was mathematically correct.",,
16,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"For the hexagon task, the most basic strategy for justifying that the perimeter of the 25th figure was 102 was to draw the 25th figure and count the perimeter. This mathematical strategy, although valid, was inefficient and could not be generalized to find the perimeter of any figure. Once we identified this potential strategy, we went a step further to consider what we might do if a student were to use or present this strategy in our classroom. We might ask the student, for example, to look for shortcuts or patterns in how they counted the perimeter.",,
17,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"We also developed alternate algebraic expressions by thinking about the diagram of the hexagon train in different ways. For example, the 2 end hexagons each had 5 exposed sides and the interior hexagons had 4 sides, yielding an equation P = 10 + 4(F  2),where P was the perimeter and F represented the number of hexagons in the chain (see fig. 3).",,
18,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,,,
19,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"Although this equation was different from the one found during our initial investigation, it was mathematically equivalent. By thinking about the task differently, we realized that the task contained opportunities to explore multiple big math ideas, such as identifying patterns and comparing equivalent expressions and their representations. By doing the math, we discovered that this single task could be used for multiple math learning goals.",,
20,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"While imagining alternative ways to justify a task, we also tried to think of possible incorrect strategies. For example, a student might identify a growth rate of 4 and develop the formula P = 4F, failing to account for the +2. In figure 4, a student clearly explained how the pattern grew by 4 each time but did not account for the +2.",,
21,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,,,
22,Doing the Math_ Supporting Student Justifications - National Council of Teachers of Mathematics,"To help students improve their formula, we might ask them to test their formula with examples: Check this formula with smaller examples to make sure that the method will work. Testing examples can help a student see that the formula does not work, but we wanted our students to understand why, so we redirected them to the diagram and asked them to identify how the diagram was growing and where the pieces of their formula connected. We asked, We multiply by 4 because whenever you add a hexagon, it adds 4 units. Where are the 4 sides being added in the picture? Does that count all the sides of the perimeter?",,
