__id__,__filename__,text,__id__,__filename__
0,Driving Students to Performance Assessments: Learning What Students Can Do,driving students to driving students to,0,Driving Students to Performance Assessments: Learning What Students Can Do
1,Driving Students to Performance Assessments: Learning What Students Can Do,Performance assessments: learning What students can do,1,Driving Students to Performance Assessments: Learning What Students Can Do
2,Driving Students to Performance Assessments: Learning What Students Can Do,Multiple entry points on the  road to assessing students can tell teachers if students can do math and therefore apply math  to real-world problems.,2,Driving Students to Performance Assessments: Learning What Students Can Do
3,Driving Students to Performance Assessments: Learning What Students Can Do,driving students to driving students to driving students to,3,Driving Students to Performance Assessments: Learning What Students Can Do
4,Driving Students to Performance Assessments: Learning What Students Can Do,"Performance assessments: learning What students can do elizabeth T. Walker and Jeffrey s. Molisani aAssessment, a hot topic for today’s  educators, has become synonymous with high-stakes testing. These assessments are complex and have multiple stakeholders, including students, parents, teachers, and administrators. Given the pressure of largescale evaluations, it is easy to forget that teacher-driven assessments can provide important information to encourage, enrich, or expand student learning. Multiple methods can evaluate student progress toward goals. Performance tasks or assessments are one way to understand what students can do mathematically when presented with new situations. ",4,Driving Students to Performance Assessments: Learning What Students Can Do
5,Driving Students to Performance Assessments: Learning What Students Can Do,"Determining what students know and can do is a vital part of effective classroom practices and an essential component of learning (Buhagiar 2007). Assessments give teachers information about student knowledge and ability, about the success of classroom practices, and identify areas in need of support. Two familiar forms of assessments are formative and summative. Formative assessments measure  progress toward goals while learning is in process. These regular checks of learning tell both student and teacher which concepts or skills are known and what needs work (Guskey 2007). Summative assessments measure student progress toward goals when instruction has been completed. An alternative assessment paradigm integrates teaching, learning, and assessment with teacher and student as colearners (Buhagiar 2007). The performance task, or performance assessment, described in this article was created with this paradigm in mind. ",5,Driving Students to Performance Assessments: Learning What Students Can Do
6,Driving Students to Performance Assessments: Learning What Students Can Do,Good assessment is complex and begins before the fi rst class is taught. Assessment comprises— •  goals for student learning and ability; •  activities that move students  toward goals; •  methods to measure student progress; •  a procedure to inform both the  student and the teacher about that measure; and •  a response to the assessment outcomes. (Walker in press),6,Driving Students to Performance Assessments: Learning What Students Can Do
7,Driving Students to Performance Assessments: Learning What Students Can Do,"Vol. 19, No. 8, April 2014 ",7,Driving Students to Performance Assessments: Learning What Students Can Do
8,Driving Students to Performance Assessments: Learning What Students Can Do,"National and state standards  provide math teachers with learning goals, but they are less clear about how to measure student knowledge. Too often, assessments that are used to measure student knowledge about a concept measure other student abilities. For example, a student may possess conceptual understanding of a topic but do poorly on an assessment because of low computational fluency. Feedback from these kinds of assessments “communicate [to the student] what kind of mathematical knowledge and performance are valued” (Bahr 2007, p. 33), but that message may be counter to what is intended. Without a clear picture of student ability, teachers lack adequate information to meet the needs of students. Without a clear picture of their own ability, students may retain misconceptions and have little understanding about how to apply math in their day-today lives. Students may even start to believe that they are incapable of doing math.",8,Driving Students to Performance Assessments: Learning What Students Can Do
9,Driving Students to Performance Assessments: Learning What Students Can Do,"Traditional assessments give a  single picture of what students know and may not capture all the learning that occurs within the classroom  (Fenwick 2012; Jonsson, Baartman, and Lennung 2009). These assessments may favor some students, which runs counter to the NCTM (2000) call for equity in education.",9,Driving Students to Performance Assessments: Learning What Students Can Do
10,Driving Students to Performance Assessments: Learning What Students Can Do,assessing PerforMance The ability to apply conceptual ideas to new problems is a goal for learning. This goal includes understanding what knowledge and which procedures can be justified or used efficiently. Artists do this when they attempt to create a piece in a certain style. Musicians do this when they translate a new musical composition from paper to performance.,10,Driving Students to Performance Assessments: Learning What Students Can Do
11,Driving Students to Performance Assessments: Learning What Students Can Do,"Students need to test what they think they know about mathematics by attempting to use mathematical  concepts to solve new problems. In this way, students perform mathematically with the knowledge and skills they have acquired. The more students practice with mathematical ideas, the more competent and confident they become. Assessments built around applying knowledge represent challenges that students will face in all content areas as they move into independent and productive lives. ",11,Driving Students to Performance Assessments: Learning What Students Can Do
12,Driving Students to Performance Assessments: Learning What Students Can Do,"Performance assessments are tasks carefully designed to test the application of specific knowledge and skills. They are self-differentiating but respectful, meaning that each student is expected to understand and apply critical concepts incorporated into the task. How each student accomplishes this, what kind of product or solution they produce, and the dialogue and support provided along the way may vary. Fenwick (2012) felt that “central to performance assessment is the concept that educators support all students, regardless of their backgrounds, to achieve at the highest level of a learning domain” (p. 631). Each learner is responsible for the construction of his or her own knowledge through engagement with the content. The teacher and class are responsible for creating an environment conducive to risk taking and co-construction of knowledge. ",12,Driving Students to Performance Assessments: Learning What Students Can Do
13,Driving Students to Performance Assessments: Learning What Students Can Do,"As a task progresses, learning continues as students identify what they know and do not know. Formative assessments and observations of students at work identify areas of need, whereas imbedded instruction and problem-solving dialogue encourage understanding. Rubrics, focusing on key elements of the task, give students information about the characteristics of an exemplar solution before the task begins. A rubric also allows students to self-assess and “reflect on the quality of their work” (Andrade 2007, p. 60). Teachers facilitate the development of ideas and help identify and resolve misconceptions. Success is  not measured in relation to others but how well each student can use what he or she knows. In a well-designed performance assessment, each student has an opportunity to move forward in understanding a concept and to complete the task to the best of his or her ability. ",13,Driving Students to Performance Assessments: Learning What Students Can Do
14,Driving Students to Performance Assessments: Learning What Students Can Do,"If you have a driver’s license, recall  taking your permit test. Most new drivers study the information in the driver’s manual first. Showing proficiency on the written assessment allows the permit holder to drive. However, driving a car is a completely different experience. Reading about merging into traffic is very different from being behind the wheel on the entrance ramp. The driver applies information about driving but has an opportunity to respond and react while applying that knowledge. The permit test is an assessment of what is known. Getting behind the wheel is a type of performance task in which learning occurs at the same time that existing knowledge is applied.",14,Driving Students to Performance Assessments: Learning What Students Can Do
15,Driving Students to Performance Assessments: Learning What Students Can Do,aPPlying ideas of ProPortion and scale,15,Driving Students to Performance Assessments: Learning What Students Can Do
16,Driving Students to Performance Assessments: Learning What Students Can Do,"What follows is a performance task created to review and build on the concept of proportional reasoning and scale. The task was jointly created and implemented by a sixth-grade math teacher and the enrichment teachermath specialist. Ratio and rate, as they are connected to whole-number multiplication and division, is one of the four critical areas for sixth grade in the Common Core State Standards for Mathematics (CCSSM). It states specifically that “students should use reasoning about multiplication and division to solve ratio and rate problems about quantities” (CCSSI 2010, p. 39). In addition to the content standards that focus on ratios, six of the eight CCSSM Standards for Mathematical Practice were explicitly targeted. They included making sense of problems  fig. 1 The task’s rubric was used by both teacher and student.",16,Driving Students to Performance Assessments: Learning What Students Can Do
17,Driving Students to Performance Assessments: Learning What Students Can Do,requirements super—4 good—3 ok—2 yucky—1 1. Detail 2. Accuracy 3. Application 4. Construction 5. Creativity,17,Driving Students to Performance Assessments: Learning What Students Can Do
18,Driving Students to Performance Assessments: Learning What Students Can Do,You measured everything you could and wrote thoughtfully about which parts  mattered and which parts did not.,18,Driving Students to Performance Assessments: Learning What Students Can Do
19,Driving Students to Performance Assessments: Learning What Students Can Do,Measurements are accurate. Ratios are carefully determined using proper math.,19,Driving Students to Performance Assessments: Learning What Students Can Do
