__id__,__filename__,text,__id__,__filename__
0,Dropping In on the Math of Plinko,Dropping,0,Dropping In on the Math of Plinko
1,Dropping In on the Math of Plinko,In on the,1,Dropping In on the Math of Plinko
2,Dropping In on the Math of Plinko,Math of,2,Dropping In on the Math of Plinko
3,Dropping In on the Math of Plinko,Dropping,3,Dropping In on the Math of Plinko
4,Dropping In on the Math of Plinko,Students design game boards and gather experimental data to better understand the hidden mathematics in a common television game show.,4,Dropping In on the Math of Plinko
5,Dropping In on the Math of Plinko,"Nirmala Naresh and Bridget Royce hHave you been searching for an engagh ing math lesson that is embedded in an exciting context, that offers hands-on data collection and exploration, and that facilitates experimental data investigations? Look no further than Plinko®, a popular game played on the television show The Price Is Right®. The game of Plinko offers students an exciting real-world example of the applications of probability and data analysis. The Common Core State Standards for Mathematics (CCSSI 2010) and the Guidelines for Assessment in Statistics Education (GAISE) (Franklin et al. 2007) suggest that students in grades 6–8 be given ample opportunities to engage in activities and simulations to make predictions and to gather experimental data to test and validate their predictions. Plinko-based mathematical explorations allow students to use technology to generate simulations and employ the data to make informed predictions and inferences.  exploring the probabilities associated with each winning amount (Biesterfeld 2001). A contestant chooses from one of nine starting slots at the top of the Plinko board and drops a coin. The coin hits a certain peg in each row, travels through eleven rows, and lands in one of the nine bins at the bottom of the board. ",5,Dropping In on the Math of Plinko
6,Dropping In on the Math of Plinko,"For our Plinko lesson, we designed and used a smaller version of the board outlined in the “Plinko! Probability from a TV Game” website (http:// www.math demos.org/mathdemos/ plinko/). This board has three starting slots (A, B, and C) and three landing slots (A′, B′, and C′). Contestants have a chance of winning $100, $200, or $5000 (see fi g. 1). ",6,Dropping In on the Math of Plinko
7,Dropping In on the Math of Plinko,"Several mathematical concepts  can be explored using a Plinko board. Documented Plinko-related mathematical investigations have highlighted high school students’ notions of Pascal’s triangle, experimental and theoretical probability, and expected value (Lanier and Barrs 2003; Lemon 1997; Haws 1995). For our lesson, we ",7,Dropping In on the Math of Plinko
8,Dropping In on the Math of Plinko,"Plinko, a game of chance, involves  a contestant dropping a coin into a slot to earn a given amount of money and ",8,Dropping In on the Math of Plinko
9,Dropping In on the Math of Plinko,Useful Web Resources for Plinko in the Classroom,9,Dropping In on the Math of Plinko
10,Dropping In on the Math of Plinko,Watch Price is Right  Contestants Play Plinko,10,Dropping In on the Math of Plinko
11,Dropping In on the Math of Plinko,"From www.youtube.com, use the search prompt “biggest  ever winner on The Price Is Right—game of Plinko.”",11,Dropping In on the Math of Plinko
12,Dropping In on the Math of Plinko,Play Plinko Online www.kongregate.com/games /StapleGun/Plinko,12,Dropping In on the Math of Plinko
13,Dropping In on the Math of Plinko,Classroom Resources http://www.mathdemos.org /mathdemos/plinko,13,Dropping In on the Math of Plinko
14,Dropping In on the Math of Plinko,Activity Sheets •  Plinko activity sheets:   http://tinyurl.com /Plinko-worksheet  •  Sample student responses:   http://tinyurl.com /Plinko-worksheet-key,14,Dropping In on the Math of Plinko
15,Dropping In on the Math of Plinko,TI-83 Calculator Program http://www.mathdemos.org /mathdemos/plinko /ti83code.html,15,Dropping In on the Math of Plinko
16,Dropping In on the Math of Plinko,Fig. 1 A schematic diagram of a Plinko board shows the possibilities of how the chips can fall.,16,Dropping In on the Math of Plinko
17,Dropping In on the Math of Plinko,"made a conscious decision to focus on experimental probability because our goals were to give students an opportunity to engage in an interesting activity, perform simulations, generate conjectures, and use experimental data to test the conjectures. Our approach aligns with the GAISE recommendations that “probability experiments should focus on obtaining empirical data to develop relative frequency interpretations” (Franklin et al. 2007, p. 34). ",17,Dropping In on the Math of Plinko
18,Dropping In on the Math of Plinko,PlinKo lesson: intRodUction,18,Dropping In on the Math of Plinko
19,Dropping In on the Math of Plinko,"The lesson was taught to a group of seventh-grade students over two class periods, lasting a total of ninety minutes, in a computer-equipped classroom so students could play an online version. First, we introduced students to Plinko by showing YouTube™ videos. Next, we encouraged students to play an online version of the game (see the sidebar at left to find resource information). To help students better understand the nuances of the game, we posed several questions:  •	 How	do	the	coins	fall? •	 What	happens	when	a	coin	hits	a	 middle peg or a corner peg? •	 What	is	the	probability	of	a	coin	 falling to the left or to the right when it hits a middle peg? •	 How	does	this	probability	change	 when a coin hits a corner peg? ",19,Dropping In on the Math of Plinko
20,Dropping In on the Math of Plinko,"Students were encouraged to consider these questions to better understand the dynamics of the game. Next, we introduced them to a smaller version	of	the	board.	We	gave	students	 a Plinko board instruction sheet (see fig. 2) and asked them to create model Plinko boards (see the student designs in fig. 3). ",20,Dropping In on the Math of Plinko
21,Dropping In on the Math of Plinko,"To gain insight into students’ prior understandings and their perceptions of the game, we asked students this assessment question:   If you were given only 1 coin to play on the small Plinko board, which slot would you drop the coin in? Explain why you selected that slot.",21,Dropping In on the Math of Plinko
22,Dropping In on the Math of Plinko,"Student responses included:  •	 “I	would	choose	A	because	it	looks	 like it would fall into another slot, and the others are worth more.” •	 “I	choose	C	because	I	think	it	would	 be more likely to land in 5000 than B and even if it doesn’t land there you would get 200 unlike A.” •	 “I	would	put	it	in	slot	B	because	 it is in the middle and the largest amount of money [5000] is in the middle. It has the biggest change of bouncing down, which is a negative-positive thing.”",22,Dropping In on the Math of Plinko
23,Dropping In on the Math of Plinko,"Plinko investigation activity sheets were then distributed, and students were asked to focus on this question, “What	are	your	chances	of	winning	 $5000	on	this	board?”	We	asked	students to collect data using two items, a Plinko board and a calculator. ",23,Dropping In on the Math of Plinko
24,Dropping In on the Math of Plinko,Fig. 2 These materials and instructions were given to students to design and construct a Plinko board. ,24,Dropping In on the Math of Plinko
25,Dropping In on the Math of Plinko,Fig. 3 Students’ Plinko boards exhibited variety.,25,Dropping In on the Math of Plinko
26,Dropping In on the Math of Plinko,Step 4: Use pushpins to mark the dots and edges.,26,Dropping In on the Math of Plinko
27,Dropping In on the Math of Plinko,MateRials • 4 × 4 isometric board • Rectangle of foam or cardboard • Pushpins • Counters or chips • Colored markers,27,Dropping In on the Math of Plinko
28,Dropping In on the Math of Plinko,Step 1: Start with a 4 × 4 isometric board.,28,Dropping In on the Math of Plinko
29,Dropping In on the Math of Plinko,Step 5: Mark the starting and ending slots and examine your Plinko board.,29,Dropping In on the Math of Plinko
30,Dropping In on the Math of Plinko,Step 2: Mark its side lines.,30,Dropping In on the Math of Plinko
31,Dropping In on the Math of Plinko,Step 3: Trace the side lines on a foam board.,31,Dropping In on the Math of Plinko
32,Dropping In on the Math of Plinko,the PlinKo BoaRd siMUlation,32,Dropping In on the Math of Plinko
33,Dropping In on the Math of Plinko,"Student-designed Plinko boards were used for this investigation. Each student performed 10 trials. Playing helped students further understand the dynamics of the game and comprehend the path of a coin. Throughout the lesson, we alluded to probability terminology in reference to the chosen activity. Students were able to  relate terms such as these to Plinko:  •	 Experiment (the game of Plinko) •	 Trial (dropping one coin) •	 Outcome (coin landing in a slot and  prize amount) •	 Equally likely events (path of a coin  when it hits a peg, except for the corner pegs) •	 Sure and impossible events (path of a  coin when it hits a corner peg)",33,Dropping In on the Math of Plinko
34,Dropping In on the Math of Plinko,Fig. 4 One student recorded experimental data in a table.,34,Dropping In on the Math of Plinko
35,Dropping In on the Math of Plinko,Chip 10,35,Dropping In on the Math of Plinko
36,Dropping In on the Math of Plinko,Start,36,Dropping In on the Math of Plinko
37,Dropping In on the Math of Plinko,End,37,Dropping In on the Math of Plinko
38,Dropping In on the Math of Plinko,"Dollar Amount 200 200 200 100 5,000 100 200 100 100 200",38,Dropping In on the Math of Plinko
39,Dropping In on the Math of Plinko,"Fig. 5 From the data collected, students calculated the experimental probability of a chip landing in each slot.",39,Dropping In on the Math of Plinko
40,Dropping In on the Math of Plinko,•	 Experimental data (findings from  an individual or group) •	 Experimental probability (probabil- ity of the data) ,40,Dropping In on the Math of Plinko
