__id__,__filename__,text,,
0,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"As mathematics teachers, we want to empower students as mathematical thinkers and doers (NCTM 2000). Specific ways of thinking and doing mathematics were described in the Process Standards (NCTM 2000); they were further characterized as habits of mind (Mark, Goldenberg, and Sword 2010); and more recently, they were detailed in the Common Cores Standards for Mathematical Practice (CCSSI 2010). Mathematical practices (or MPs) are essential practices that students use to make sense of concepts and procedures. Through formative assessment, students work can be used to help them become aware of MPs and improve their capacity to think and behave like mathematicians: that is, to use mathematical tools to explore situations and solve problems, to uncover and describe the structure of relationships, and to create and evaluate mathematical arguments. In this article, we describe and illustrate a formative assessment process to improve students proficiencies in the MPs and suggest differentiated feedback to support learning progressions for MPs.",,
1,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"We use Heritages (2007) definition of formative assessment as a planned process occurring during a lesson in which teachers collect data on their students current learning and use it to adapt the lesson and provide feedback. Students are also part of the process in that they know the learning goals and are expected to act on the feedback. Our process involved interpreting each element in Heritages (2007) Planned for Interaction framework in light of improving student proficiencies in the MPs. Although we sometimes use a similar process to support learning concepts and procedures, this focus on the MPs changed what we looked for and the types of feedback we gave students. Students increased use of the MPs then supported conceptual understanding and procedural fluency. Table 1 describes Heritages four elements and relates them to formative assessment of the MPs. While planning the lesson, we embedded elements 3 and 4 in element 2. That is, we provided feedback (element 2) that indicated our expectations for student responses (element 3) to use higher levels of the MPs (element 4).",,
2,Empowering Mathematical Practices - National Council of Teachers of Mathematics,,,
3,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"We illustrate the process with a task (see fig. 1), which we used in three developmental algebra classes at a public university and also in a professional development project for middle school and high school teachers teaching first-year algebra. Students had graphing or scientific calculators, and after working alone for a few minutes, they worked in small groups. The student work and explanations are not from specific students, but are typical of what we saw and heard during the lessons.",,
4,Empowering Mathematical Practices - National Council of Teachers of Mathematics,,,
5,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"We chose this task to introduce the structure of quadratic functions. This task contrasted with linear functions from a previous unit and gave students a new situation for writing expressions to represent repeated calculations. By leaving the task open, we expected students to use a variety of representations to explore the pattern; then we used their representations to develop conceptual understanding of quadratic behavior. Too often, students create tables, graphs, or equations only when directed to do so, but this task gave them the opportunity to choose representations as tools for thinking, which would also indicate proficient uses of the MPs.",,
6,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"We wanted students to make connections from the arithmetic structure to algebraic structure, and planned our formative assessment to target this goal. Since they had only worked with linear functions, we expected students to struggle with the nonlinear situation, but we wanted them to resolve their difficulties through improved use of MPs. Because of this goal, when planning we focused on ways to support MP 7: Look for and make use of structure, as students explored the new structure of quadratic functions (CCSSI 2010). We also planned to encourage proficiency in MP 8: Look for and express regularity in repeated reasoning, as they performed the same calculation with different numbers and wrote an expression to represent their calculations; and MP 3: Construct viable arguments and critique the reasoning of others, as they provided justifications for their conjectures (CCSSI 2010). Although they used other MPs, these three practices best matched our goals for student learning, so we anticipated what they might do in terms of these and planned ways to help them further develop.",,
7,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"During the lesson, we examined student work for evidence of how they looked for patterns or structure, how they described their repeated reasoning, and how they justified their conjectures. Student work fell along a learning progression of these practices and could be categorized into three levels, as shown in table 2, which encapsulates our planning for the four elements of formative assessment. The first column describes element 1: the gaps between student work and proficient uses of the MPs. The second column refers to element 2, providing ideas for feedback as well as questions designed to support students reflection and involvement. Element 3 comes into play with the expectation that students will respond to the feedback. Element 4 of the framework is illustrated by the progression of levels of MP use.",,
8,Empowering Mathematical Practices - National Council of Teachers of Mathematics,,,
9,Empowering Mathematical Practices - National Council of Teachers of Mathematics,"In the following sections, we illustrate how we used the framework in classroom interaction. Note that as students responded to the feedback or answered questions, they created new work at higher levels, so the levels describe not students but rather snapshots of their proficiencies in the MPs at particular times in the lesson. Also, some student work manifested proficiency in one MP but not another. For example, a students work could show beginning proficiencies in MP 3 by providing some reasoning, but no awareness of the need to look for structure, which is MP 7.",,
10,Empowering Mathematical Practices - National Council of Teachers of Mathematics,LOOKING FOR PATTERNS OR USING REASONING,,
11,Empowering Mathematical Practices - National Council of Teachers of Mathematics,Identifying the Gap,,
