__id__,__filename__,text,,
0,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"Students who generate arguments in mathematics classrooms take part in an important practice: reasoning and justification. As a mathematical practice, argumentation involves both conceptual and procedural reasoning to justify a claim and can occur by speaking or by writing. Both of these practices have been endorsed by recent policy (CCSSI 2010; NCTM 2000). Reform curricula reflect these endorsements as shown when students are asked to write mathematical statements to support their case, following prompts using such language as â€œexplain why,â€ â€œconvince,â€ and â€œjustify.â€ Moreover, with the widespread adoption of the Common Core State Standards for Mathematics (CCSSM), students will be expected to construct and critique viable arguments by â€œbuild[ing] a logical progression of statements to explore the truth of their conjectures . . . justify their conclusions, communicate them to others, and respond to the arguments of othersâ€ (CCSSI 2010, pp. 6â€“7).",,
1,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"To justify a conjecture, students need to understand which mathematical resources are appropriate to draw from, such as symbols, tables, graphs, pictures, and explanations given in words. This task, which has historically been difficult for students in many disciplines (e.g., Deatline-Buchman and Jitendra 2006; Balacheff 1988; McNeill and Krajcik 2009), can be supported with instruction. Given that students will be expected to write convincing arguments, it is important to identify ways that teachers can support their students in doing so.",,
2,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"The purpose of this article is to share how one teacher, Ms. Hill, used peer-review activities involving rubrics to explicitly communicate mathematical resources that students could draw from when justifying a claim. She found that helping students understand which type of statements could be used in justification required consistent feedback and ongoing practice. The need for this consistent feedback and practice was especially true for the students described in this article. This case study was conducted in the lowest-tracked eighth-grade algebra class, and most of the students struggled mathematically. However, through peer-review activities, students learned to take an active role in evaluating both their peersâ€™ and their own arguments using a rubric, or assessment tool, that listed the criteria for a task (Andrade 2005). The rubric gave students the mathematical structure necessary to assess how thoroughly their peers used various resources to support their conjectures. As a result, studentsâ€™ written arguments became more coherent and convincing because they included acceptable resources in their justifications, made explicit links between their claims and justifications, and realized the importance of communicating clearly.",,
3,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,CREATING OPPORTUNITIES  TO ARGUE,,
4,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"One opportunity that Ms. Hill took for providing ongoing practice and feedback for studentsâ€™ arguments came from the Say It with Symbols unit, which is part of the Connected Mathematics Project curriculum (Lappan et al. 2006) in which students explored equivalent expressions. This unit started with the Pool problem, which asked students to generate an expression that would model the number of tiles needed to surround a square pool; they were also asked to justify their expression (see fig. 1).",,
5,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,Â,,
6,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"As she introduced this problem, Ms. Hill drew a triangle on the board and labeled the vertices words, symbols, and pictures (see fig. 2). She explained to students that their arguments needed to include each of these three elements, with the bidirectional arrows indicating that these elements were related. With this illustration, Ms. Hill focused studentsâ€™ attention on three mathematical resources that they could use to defend their conjectures.",,
7,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,Â,,
8,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"First, their explanations needed to be in words. She explained that the words must consist of more than a set of mathematical steps because â€œan algorithm alone does not justify,â€ a practice middle school students often use to validate a claim (Bieda and Lepak 2010). In particular, she emphasized the point that students should use words to explain the relationships between their representations and their symbolic expression. By highlighting these relationships, she drew attention to mathematical resources that students were already using, such as pictures, representations, and symbolic expressions, to state a mathematical claim. She also urged them to include these resources in their justification. Driscoll (1999) argued that this practice leads to more coherent arguments because it forces students to articulate clear links between their justification and their claim.",,
9,Enhancing Students Written Mathematical Arguments - National Council of Teachers of Mathematics,"Verbal reminders to use words, pictures, and symbols, however, only resulted in modest improvements in studentsâ€™ written justifications. For example, this statement was a typical student response when asked to explain how to calculate the number of tiles for any length pool using words, pictures, and symbols.",,
