__id__,__filename__,text,__id__,__filename__
0,Error-Eliciting Problems: Fostering Understanding and Thinking,"Student errors are springboards for analyzing, reasoning, and justifying. To induce specific errors and help students learn, choose tasks that might produce mistakes. ",0,Error-Eliciting Problems: Fostering Understanding and Thinking
1,Error-Eliciting Problems: Fostering Understanding and Thinking,"Just as failures are stepping-stones to success in life, errors can be launching pads for understanding mathematical concepts. The mathematics education community recognizes the value of student errors, noting that “mistakes are seen not as dead ends but rather as potential avenues for learning” (NCTM 2000, p. 144). Instead of warning students about common errors to avoid, Eggleton and Moldavan (2001) advocated an inquiry-based approach in  which mistakes are valued and students are expected to resolve their erroneous thinking.",1,Error-Eliciting Problems: Fostering Understanding and Thinking
2,Error-Eliciting Problems: Fostering Understanding and Thinking,"In a teaching experiment, Borasi  (1994) found that using errors as springboards for inquiry offers such learning opportunities as experiencing doubt and conflict, engaging in problem solving, pursuing mathematical explorations, communicating mathematically, and justifying mathematical activity. Such learning opportunities  can help students make sense of problems, reason abstractly, and critique the reasoning of others, which refer to three of the eight Standards for Mathematical Practices (CCSSI 2010, p. 6).",2,Error-Eliciting Problems: Fostering Understanding and Thinking
3,Error-Eliciting Problems: Fostering Understanding and Thinking,"By using student errors appropriately in a mathematics classroom, a teacher can stimulate inquiry, discussion, and reflection. The level of control that a teacher has in capitalizing on a student error depends on whether the error is planned, expected, or ",3,Error-Eliciting Problems: Fostering Understanding and Thinking
4,Error-Eliciting Problems: Fostering Understanding and Thinking,ERROR-ELICITING,4,Error-Eliciting Problems: Fostering Understanding and Thinking
5,Error-Eliciting Problems: Fostering Understanding and Thinking,PROBLEMS:,5,Error-Eliciting Problems: Fostering Understanding and Thinking
6,Error-Eliciting Problems: Fostering Understanding and Thinking,Fostering Understanding and Thinking,6,Error-Eliciting Problems: Fostering Understanding and Thinking
7,Error-Eliciting Problems: Fostering Understanding and Thinking,"Kien H. Lim unexpected (Borasi 1996). A planned error is incorporated into an activity, for example, when asking students to analyze a list of “definitions” for a concept or several “solutions” to a problem. An expected error is made by a student in a problem-solving situation and is expected by the teacher. An unexpected error is unanticipated and calls for immediate discussion. Although student errors frequently occur, teachers do not always have control over when students  make them. How, then, can errors be induced? ",7,Error-Eliciting Problems: Fostering Understanding and Thinking
8,Error-Eliciting Problems: Fostering Understanding and Thinking,Error-eliciting problems are  mathematical tasks that are designed specifically to bring forth among students common mistakes pertaining to a particular mathematical concept. This article presents three types of error-eliciting problems: 1.  Tasks that elicit a misconception 2.  Tasks that elicit a misapplication  of a procedure or a formula 3.  Tasks that elicit an overgeneraliza- tion of a concept,8,Error-Eliciting Problems: Fostering Understanding and Thinking
9,Error-Eliciting Problems: Fostering Understanding and Thinking,"The three types are not mutually exclusive because a misapplication of a procedure or an overgeneralization of a concept may be related to a misconception. Two examples are given for each type. The problems are in the format of multiple-choice items, so that they can be easily implemented ",9,Error-Eliciting Problems: Fostering Understanding and Thinking
10,Error-Eliciting Problems: Fostering Understanding and Thinking,Fig. 1 These multiple-choice questions shed light on misconceptions that students have about multiplication “makes bigger” and division “makes smaller.” ,10,Error-Eliciting Problems: Fostering Understanding and Thinking
11,Error-Eliciting Problems: Fostering Understanding and Thinking,"Fill in the blank with either >, <,  or = 81405 67092 2884 3717 81405 67092",11,Error-Eliciting Problems: Fostering Understanding and Thinking
12,Error-Eliciting Problems: Fostering Understanding and Thinking,A. >,12,Error-Eliciting Problems: Fostering Understanding and Thinking
13,Error-Eliciting Problems: Fostering Understanding and Thinking,B. <,13,Error-Eliciting Problems: Fostering Understanding and Thinking
14,Error-Eliciting Problems: Fostering Understanding and Thinking,C. = 67 89 (a) Multiplication makes bigger,14,Error-Eliciting Problems: Fostering Understanding and Thinking
15,Error-Eliciting Problems: Fostering Understanding and Thinking,"Is the following inequality always true, sometimes true, or never true? 81405 67092 81405 67092 2884 3717   N is a natural number:  67 89  ",15,Error-Eliciting Problems: Fostering Understanding and Thinking
16,Error-Eliciting Problems: Fostering Understanding and Thinking,N < N ,16,Error-Eliciting Problems: Fostering Understanding and Thinking
17,Error-Eliciting Problems: Fostering Understanding and Thinking,A. Always true,17,Error-Eliciting Problems: Fostering Understanding and Thinking
18,Error-Eliciting Problems: Fostering Understanding and Thinking,B. Sometimes true,18,Error-Eliciting Problems: Fostering Understanding and Thinking
19,Error-Eliciting Problems: Fostering Understanding and Thinking,C. Never true,19,Error-Eliciting Problems: Fostering Understanding and Thinking
20,Error-Eliciting Problems: Fostering Understanding and Thinking,"If N is a natural number, then  N can take any of these values:  1, 2, 3, 4, 5, . . .  (b) Division makes smaller with classroom voting (Cline 2006; Popelka 2010), either using cards or clickers. The ideas presented in this article are based on the author’s work involving prospective teachers in college and in-service teachers in professional development workshops. Most ideas can also be adapted for use in middle school classrooms.",20,Error-Eliciting Problems: Fostering Understanding and Thinking
