__id__,__filename__,text,__id__,__filename__
0,Establishing Standards for Mathematical Practice,establishing standards,0,Establishing Standards for Mathematical Practice
1,Establishing Standards for Mathematical Practice,MatheMatical Practice h in which students create their own ,1,Establishing Standards for Mathematical Practice
2,Establishing Standards for Mathematical Practice,"Have you ever tried to get a middle school student to explain her reasoning in front of her peers? In your attempts to have students understand one another’s reasoning, how many times have you heard, “I don’t get it! Any of it!” And how do your middle school students react when someone makes a mistake? Common Core State Standards for Mathematics (CCSSM) expects teachers to establish problem-solving environments  solutions to problems, critique the reasoning of their peers, and come to a consensus on viable mathematical strategies and solutions (CCSSI 2010). However, these Standards for Mathematical Practice (SMP) are difficult for most middle school students to enact, and CCSSM gives no information on how to help students embody these practices. This article outlines some teaching strategies from ",2,Establishing Standards for Mathematical Practice
3,Establishing Standards for Mathematical Practice,A grocery shopping problem can link the Common Core’s standards with a  new classroom culture.,3,Establishing Standards for Mathematical Practice
4,Establishing Standards for Mathematical Practice,Michelle L. Stephan establishing standards,4,Establishing Standards for Mathematical Practice
5,Establishing Standards for Mathematical Practice,MatheMatical Practice my own middle school mathematics classes in an attempt to help my students implement the SMP. ,5,Establishing Standards for Mathematical Practice
6,Establishing Standards for Mathematical Practice,"One particular school year, I  videotaped my eighth-grade class during the first two weeks of school. The purpose was to document the strategies that enabled students to problem solve and to discuss their solutions without fear of embarrassment. CCSSM was not yet adopted, so research on social norms guided the  development of my teaching practice. Social norms are the expectations that the teacher and students have for each other regarding ways of participating in classroom discussions. These social norms, the most prominent in Standards-based classrooms, expect students to— 1.  explain their reasoning to others; 2.  indicate agreement or disagreement; 3.  ask clarifying questions when they  do not understand; and 4.  attempt to understand the reasoning of others (Cobb et al. 1992; Stephan and Whitenack 2003).",6,Establishing Standards for Mathematical Practice
7,Establishing Standards for Mathematical Practice,"These social norms align with many of the SMP, particularly the standards of making sense of problems and persevering in solving them (SMP 1), reasoning abstractly and quantitatively (SMP 2), and constructing viable arguments and  fig. 1 Solving the Bacon problem, the first task of the school year, sets the stage for the forms of conversations that students can expect throughout the year.",7,Establishing Standards for Mathematical Practice
8,Establishing Standards for Mathematical Practice,Drake found a sale on bacon at the Winn-Dixie. They were selling 4 packages for $10.  • How much would Drake pay for 6 packages? • How much would he pay for 1 package? critiquing the reasoning of others  (SMP 3). The excerpts that follow contain details of some of the strategies I have developed to make these SMPs and social norms come alive in my middle school classroom.,8,Establishing Standards for Mathematical Practice
9,Establishing Standards for Mathematical Practice,sPecific techniques,9,Establishing Standards for Mathematical Practice
