__id__,__filename__,text,__id__,__filename__
0,Examining Mistakes to Shift Student Thinking,"percentages of paint, four research-based  criteria are used to evaluate students’ mistakes. The takeaway is that painting all mistakes with the same brush can ",0,Examining Mistakes to Shift Student Thinking
1,Examining Mistakes to Shift Student Thinking,During a lesson on ratios involving  also be a blunder.,1,Examining Mistakes to Shift Student Thinking
2,Examining Mistakes to Shift Student Thinking,Examining Mistakes to  Shift Student ,2,Examining Mistakes to Shift Student Thinking
3,Examining Mistakes to Shift Student Thinking,Thinking,3,Examining Mistakes to Shift Student Thinking
4,Examining Mistakes to Shift Student Thinking,"James C. Willingham, Jeremy F. Strayer, Angela T. Barlow, and Alyson E. Lischka mMiddle-grades teachers and students can  have different perspectives on the value of discussing students’ mathematical mistakes, despite various classroom evidence that such discussions can help foster strong conceptual understanding (Boaler 2016). Some teachers consider student mistakes to be an opportunity to correct errors in individual student thinking. Others view the public inspection of mistakes as an opportunity for all students in the classroom to learn.  ",4,Examining Mistakes to Shift Student Thinking
5,Examining Mistakes to Shift Student Thinking,"Although both of these perspectives take students’ learning into account, our students often regard their own mistakes in a very personal manner. They see mistakes as flaws for which their teachers will judge them. ",5,Examining Mistakes to Shift Student Thinking
6,Examining Mistakes to Shift Student Thinking,"Because of the variety of perceptions regarding the value of mathematical mistakes, it is imperative that teachers consider how to leverage mistakes during classroom instruction. Are all mistakes created equal? How do we choose which mistakes are worthy of inspection? What exactly is the purpose of inspecting student mistakes? Is it simply to correct faulty answers? How should we use these mistakes during instruction? Reflecting on our teaching practice in light of these questions can lead to helpful insights. It is our hope that by considering the pedagogical quality of the mistakes examined in the classroom, both students and teachers will deepen their understanding of the value of mathematical mistakes for learning.",6,Examining Mistakes to Shift Student Thinking
7,Examining Mistakes to Shift Student Thinking,"We begin with a statement by  former NCTM President Linda Gojak: “Helping students to learn from their mathematical mistakes can give  us insight into their misconceptions and, depending on our instructional reactions, can enable them to develop deeper understanding of the mathematics they are learning” (Gojak 2013, para. 4). A number of classroom tools are available that take advantage of this powerful idea, including setting up classroom norms that value mistakes (Boaler 2016); planning and selecting tasks to elicit mistakes (Bray 2013); helping students focus on and discuss mistakes in meaningful ways (Pace and Ortiz 2016); and assessing and designing responsive instruction based on student mistakes (Barlow  et al. 2016). The purpose of this article is to add to this set of tools a list  of criteria for determining which student mistakes are worthy of class examination. As we discuss the criteria, we offer insight into why certain mistakes are worthy of inspection and how teachers might leverage their examination to shift students’ mathematical thinking forward within the context of a specific mathematics lesson. Our criteria are aimed at supporting the learning of each and every student, not just those who made the initial mistake.",7,Examining Mistakes to Shift Student Thinking
8,Examining Mistakes to Shift Student Thinking,Are all mistakes created equal? How do we choose which mistakes are worthy of inspection? What exactly is the purpose of inspecting student mistakes?  ,8,Examining Mistakes to Shift Student Thinking
9,Examining Mistakes to Shift Student Thinking,SELECTING MISTAKES,9,Examining Mistakes to Shift Student Thinking
10,Examining Mistakes to Shift Student Thinking,"Merely drawing attention to and correcting errors in calculation does not typically have a large pedagogical payoff for a deep learning of mathematics. Therefore, what kinds of mistakes might be worth inspecting so that students’ mathematical thinking is moved forward in the learning process? Some mathematics education literature (Barlow et al. 2016; Kilpatrick, Swafford, and Findell 2002; NCTM 2014) provides guidance for deciding which student mathematical mistakes might be worthy of closer inspection. On the basis of this literature and our own experiences inspecting mistakes in classrooms characterized by students sharing their mathematical thinking and discussing their different solutions to nonroutine, rich mathematics problems, we offer the following criteria for choosing inspection- worthy mistakes: 1.  The mistake is closely aligned with the mathematical goals of the lesson.",10,Examining Mistakes to Shift Student Thinking
11,Examining Mistakes to Shift Student Thinking,"2.  The mistake provides powerful insight into students’ conceptual understanding, fluency with procedures, or competence in selecting strategies for problem solving.  3.  The mistake aligns well with the  class’s general progress toward solving the problem.  4.  The mistake offers a viable answer that may be contrary to the class’s accepted solution or solution strategies because of hidden assumptions about the problem (e.g., the student interpreted the problem differently than intended). ",11,Examining Mistakes to Shift Student Thinking
12,Examining Mistakes to Shift Student Thinking,"If a student mistake meets one  or more of these criteria, it is probably a good candidate for whole- class inspection. ",12,Examining Mistakes to Shift Student Thinking
13,Examining Mistakes to Shift Student Thinking,"The remainder of this article describes how we applied these criteria  to select mistakes for class inspection during a lesson with preservice teachers addressing a task designed for sixth- and seventh-grade students. The task focused on understanding ratios and percentages, and it elicited mistakes in the preservice teachers’ work that were similar to those that might be expected from students at this grade level. For this lesson, we used a problem involving mixing paint, presented in the next section, as the central problemsolving task.",13,Examining Mistakes to Shift Student Thinking
14,Examining Mistakes to Shift Student Thinking,THE PURPLE PAINT PROBLEM,14,Examining Mistakes to Shift Student Thinking
15,Examining Mistakes to Shift Student Thinking,The mathematical goal we sought to achieve with the Purple Paint problem was to have students track multiple part-whole relationships in a complex multistep problem and use these relationships appropriately to ,15,Examining Mistakes to Shift Student Thinking
16,Examining Mistakes to Shift Student Thinking,Fig. 1 This sample of correct student work for the Purple Paint problem met the lesson’s expectations.,16,Examining Mistakes to Shift Student Thinking
17,Examining Mistakes to Shift Student Thinking,Fig. 2 This mistake demonstrated an error in conceptual understanding.,17,Examining Mistakes to Shift Student Thinking
18,Examining Mistakes to Shift Student Thinking,"reason with ratios and percentages. The Purple Paint Problem follows.   Katie wants to paint her bedroom a special shade of purple made up of equal amounts of pink and powderblue paint. To make the pink paint for this mixture, she combines one part red paint with one part white paint. To make the powder-blue paint, she mixes three parts blue paint with one part white paint. Finally, to make the purple paint, she mixes equal parts of the pink and powder-blue paints.",18,Examining Mistakes to Shift Student Thinking
19,Examining Mistakes to Shift Student Thinking,"If Katie needs two gallons of  purple paint to finish her bedroom, how many quarts of blue, red, and white paint should she buy? What percentage of the purple paint comes from blue paint? What percentage comes from white paint?",19,Examining Mistakes to Shift Student Thinking
20,Examining Mistakes to Shift Student Thinking,"Use diagrams, symbols, and  words to justify that your answers are correct.",20,Examining Mistakes to Shift Student Thinking
21,Examining Mistakes to Shift Student Thinking,"A sample of correct student work for this problem, indicating progress toward achieving our lesson goals, is included in figure 1. ",21,Examining Mistakes to Shift Student Thinking
