__id__,__filename__,text,,
0,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"With the rise of personal desktop 3D printing, a wide spectrum of educational opportunities has become available for educators to leverage this technology in their classrooms. Until recently, the ability to create physical 3D models was well beyond the scope, skill, and budget of many schools. However, since desktop 3D printers have become readily available and increasingly affordable, there has been an explosion in the varieties and quality of 3D printers and software. An extensive list and comparison of a range of 3D printers can be found in Doughertys review (2013), including the printer we use most often (UP Mini), which can be purchased for less than $600.",,
1,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"For the past few years, a physical computing lab at Berry College, HackBerry Lab, has had the opportunity to experiment and share this technology with students, ranging from kindergartners to undergraduates, through lab visits, tours, and even formal classes. As we have engaged these diverse groups, various elements of the 3D printing process have resonated with students, allowing them to understand traditional concepts in new and tangible ways. With this in mind, we began developing a curriculum that could leverage the physical, methodical, and observable nature of 3D printing and apply it to geometric concepts that are abstract and oftentimes difficult for students to grasp.",,
2,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"Our goal to develop geometry curriculum for students using 3D printing as an instructional tool required two initial steps. First, we began exploring the appropriateness of introducing this technology to young students. Because of the technical aspects of the process as well as some of the expectations in manipulating and creating models in 3D CAD (computer aided design) software, it became important for us to explore the landscape of available software and determine the ages of students who would be able to grasp the concepts presented and excel at applying the technology to their learning.",,
3,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"Second, creating lessons that addressed curricular goals and standards played an important role in our planning and execution. Although many schools and libraries have been quick to acquire 3D printers, many have done so without a clear vision of what role these tools will play. Often, such tools as this take an informal role in education and are relegated to extracurricular activity instead of regular classroom use (Magloire and Aly 2013). Even when the 3D printers have been used for classroom teaching, they are usually employed as a teacher resource, such as to print manipulatives like those available from MakerBots Thingiverse website, rather than as a tool for students to use. One guiding principle in our activities has been deploying 3D printers in the classroom with students and allowing them to inform formal instruction.",,
4,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"With these considerations in mind, we then set about implementing a series of classroom-based lessons with fourth-grade and seventh-grade students who were studying geometry. While working in close connection with the classroom teachers, we were able to meet with each class once a week over three weeks to engage the students in creative exploration, design, and application of 3D printing as it pertained to the specific geometry topics within their regular curriculum.",,
5,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,INTRODUCTORY LESSON,,
6,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"As we began working with the students, we knew we would need to introduce them to design software and to the idea of 3D printing. Thus, the first lesson for both classes was similar. We showed the students the 3D printer and used a webcam mounted inside it to project a live video stream, thus allowing all students to clearly see without crowding around one machine. We discussed how a 3D printer works, comparing it with a very precise glue gun that ejects a small amount of plastic at a time while a platform moves left and right, front and back, and up and down, according to the computer instructions. Using video from an object in production, we explained how designs are printed one layer at a time.",,
7,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"With this basic knowledge, we introduced the students to SketchUp Make, a free design software that we anticipated would be the most appropriate for the given age levels while offering appropriate challenges (SketchUp 2015). The first mathematical conversation addressed the given lines on the screen, which were the x-, y-, and z-axes. The students initial guesses were that they were guidelines or borders, which provided opportunities to connect this information to coordinates and graphing concepts that they had experienced.",,
8,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"Designs in SketchUp often begin with two-dimensional shapes that are then extruded into three dimensions. The students first used the rectangle tool. The fourth graders made rectangles freehand, whereas the seventh graders and some fourth graders were pushed to enter precise measurements to ensure that they created a 10 mm  10 mm rectangle, or square. The robustness of the software allowed us to be able to differentiate the instruction on the basis of students levels of understanding. In addition to measurement concepts, we challenged some students to draw different two-dimensional shapes and anticipate what they would look like in three dimensions. We introduced the students to the push and pull tool, which extrudes a two-dimensional object into three dimensions, such as a circle to a cylinder or a square to a rectangular prism. Each time this tool was taught, there was great audience reaction. The exclamations gave us confidence that there was something truly significant about making the connection between two- and three-dimensional objects and that being able to create three-dimensional objects was a powerful tool.",,
9,Expanding Geometry Understanding with 3D Printing - National Council of Teachers of Mathematics,"As we introduced other tools in SketchUp to the students, each class became more confident; by the end of the first lesson, all students had created an object to print. To practice with the tools, the fourth graders created their own designs while the seventh graders followed a set of directions, including length and angle measurements. Figure 1 (see p. 536) contains some of the fourth-grade and seventh-grade designs. Because of time constraints, we completed the printing outside of class, so that we could print multiple student designs at one time and follow up with the students during the next class session.",,
