__id__,__filename__,text,,
0,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"With the 2016 national park centennial and such initiatives as Find Your Park, students and teachers alike are encouraged to explore state and national parks as their outdoor classrooms. From terrain change to average daily temperature, many aspects of the outdoors can be explored through mathematics. Because of our location, several fifth-grade classrooms across our district have the opportunity to visit Yellowstone National Park. Exploring Yellowstone is both relevant and motivating for our students because most have already visited or learned about some features of the park. For these reasons, as teachers, we thought that Yellowstone could act as an ideal context in which to investigate measurement topics and engage in the process of mathematical modeling.",,
1,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"Mathematical modeling, a practice standard in the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010), is a process by which students develop and use mathematics as a tool to make sense of the world around them (Lesh and Doerr 2003). Students investigate a real-world situation by asking mathematical questions; along the way, they need to decide how to use appropriate tools and mathematical content knowledge. After devising a solution, students interpret their model to determine if it makes sense and if it can be modified.",,
2,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"The practice of mathematical modeling is of growing importance in mathematics education because it bolsters mathematical proficiencies beyond traditional content knowledge. Modeling tasks are distinct from many other mathematical activities because of their openness. Instead of being presented with a specific mathematical problem, students are presented with a situation and allowed to problem pose to determine what mathematical questions might be appropriate to ask. In this sense, modeling provides a purpose to mathematics and empowers students to view everyday situations through a mathematical lens. Modeling tasks are also open in terms of solution strategies. Students are able to choose how they would like to solve the problem and demonstrate proficiency and creativity by using and connecting known mathematical knowledge (Greer, Verschaffel, and Mukhopadhyay 2007; Lehrer and Schauble 2007). Finally, solutions to modeling tasks are also open. Students must discuss and determine if their solution best meets the needs of the situation at hand, if their solutions can be revised, and if there are multiple applicable solutions. Modeling tasks challenge students to use mathematics as a tool to ask questions about and make sense of a messy, real-world problem.",,
3,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,DEVELOPING THE MODELING TASK AND ANTICIPATING STUDENTS RESPONSES,,
4,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"By late elementary school and early middle school, students have developed a wealth of knowledge about length, perimeter, and area and are just beginning to investigate area of irregular shapes, decomposing area into smaller regions, and scale. Posing a modeling task related to measurement topics offers an opportunity to take time to connect ideas and delve into a real-world problem to foster greater mathematical understanding and flexibility. When posing a modeling task, determining what students might find relevant and interesting is important because this will encourage engagement and understanding (Carlson et al. 2016).",,
5,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"Our students were planning to visit Yellowstone National Park and needed to learn to make sense of park maps, so we thought this park context would be an ideal way to hold their interests while investigating geometry and scale. We decided that our initial question would be this: How big is Yellowstone National Park? Even though we specifically focused on this park, this task is easily adaptable to investigating other regions, such as cities, states, or countries.",,
6,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"When posing a large, open-ended question, anticipating possible student responses is important, specifically the mathematics that they bring to the situation, how they might go about the task, questions that may arise, and discussions that could develop (Carlson et al. 2016; Smith and Stein 2001). We decided to focus specifically on finding the area of Yellowstone National Park and illuminating ideas surrounding composition and decomposition of irregular figures, precision, and scale. We thought students might need to discuss and agree on how they might measure area as well as how they would use knowledge of map scale, units, and area formulas to aide them. We also discussed that we could make this task more demanding by considering comparisons between multiple maps and units. We decided that if students were successful with determining models to measure Yellowstone, then we would branch into other questions and ask, Which is bigger, Yellowstone National Park or Yosemite National Park?",,
7,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,ENACTING THE LESSON,,
8,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"We began the lesson by posing the following question: How big is Yellowstone National Park? Part of the modeling process is determining, as a mathematical community of learners, the mathematical question and how to define ambiguous words, such as big. Several students suggested that the class could measure height, length, width, or area to determine how big something is. The class decided to investigate one attribute at a time, so that students models would be comparable. Students decided that their mathematical question would be What is the area of Yellowstone National Park?",,
9,Exploring Yellowstone National Park with Mathematical Modeling - National Council of Teachers of Mathematics,"To gauge initial ideas about space and size, we asked students to estimate the area before beginning the modeling task. Students responded that it was difficult to estimate something they had little experience with. With answers like 1 acre or 5000 square miles, they felt they were guessing at random. One student drew on experiences and stated, I know it has to be almost 100 miles long because my parents and I drove across the park, and it took a few hours. Going into the task, students did not have a clear sense of how big the region on the map might be.",,
