__id__,__filename__,text,__id__,__filename__
0,Folding Corners of the Habits of Mind,Students fold paper to make and test conjectures while reasoning about and discussing geometric ideas.,0,Folding Corners of the Habits of Mind
1,Folding Corners of the Habits of Mind,"rrReasoning is central to what Cuoco, ",1,Folding Corners of the Habits of Mind
2,Folding Corners of the Habits of Mind,"Goldenberg, and Mark refer to as mathematical habits of mind (1996). “Reasoning is an integral part of doing mathematics. Students should enter the middle grades with the view that mathematics involves examining patterns and noting regularities, making conjectures about possible generalizations, and evaluating the conjectures” (NCTM 2000, p. 262). Mathematical habits of mind are the practices that mathematicians use in their work, such as searching for patterns, experimenting, tinkering, describing, inventing, visualizing, and  conjecturing. Teachers who wish to promote these habits in their students, however, are faced with the daunting challenge of fi nding tasks that can develop and further such habits. ",2,Folding Corners of the Habits of Mind
3,Folding Corners of the Habits of Mind,"A paper-folding task can be an effective vehicle for such mathematical reasoning. When one thinks of origami and its connections to mathematics, images of intricate folded geometric models come to mind. In this capacity, origami has great potential for enriching mathematics classrooms (Cipoletti and Wilson 2004; DeYoung 2009; Higginson and Colgan 2001). When building an origami model, however, ",3,Folding Corners of the Habits of Mind
4,Folding Corners of the Habits of Mind,Folding,4,Folding Corners of the Habits of Mind
5,Folding Corners of the Habits of Mind,Folding,5,Folding Corners of the Habits of Mind
6,Folding Corners of the Habits of Mind,Folding,6,Folding Corners of the Habits of Mind
7,Folding Corners of the Habits of Mind,Corners,7,Folding Corners of the Habits of Mind
8,Folding Corners of the Habits of Mind,Habits,8,Folding Corners of the Habits of Mind
9,Folding Corners of the Habits of Mind,Habits,9,Folding Corners of the Habits of Mind
10,Folding Corners of the Habits of Mind,Habits,10,Folding Corners of the Habits of Mind
11,Folding Corners of the Habits of Mind,Habits,11,Folding Corners of the Habits of Mind
12,Folding Corners of the Habits of Mind,Mind of the of,12,Folding Corners of the Habits of Mind
13,Folding Corners of the Habits of Mind,"Peter Wiles the person who is folding the paper is typically following a set procedure. The important mathematical thinking resides in the reasoning about the model, not the folding process. What follows demonstrates a novel pedagogical approach to origami and how habits of mind can serve as a foundation for mathematical exploration.  geoMetRic haBits oF Mind",13,Folding Corners of the Habits of Mind
14,Folding Corners of the Habits of Mind,"Habits of mind, as originally defi ned, should permeate all mathematics instruction. The framework, originally applied to high school curricula, is equally applicable to the middle grades  and elementary school (Goldenberg, Mark, and Cuoco 2010; Mark et al. 2010). One can easily see these ideas being made explicit in the Standards for Mathematical Practice (CCSSI 2010), which represent the latest move toward specifying how students should experience mathematical ideas. Although general habits of mind, or mathematical practices, are important, it is also helpful to focus on those habits of mind that are specialized to the mathematical concepts being studied. Driscoll (2007) identifi ed four geometric habits of mind (GHoM) that are central to the study of geometry:  1.  Reasoning with relationships 2.  Generalizing geometric ideas 3.  Investigating invariants 4.  Balancing exploration and refl ection ",14,Folding Corners of the Habits of Mind
15,Folding Corners of the Habits of Mind,"The fi rst GHoM, reasoning with  relationships, concerns identifying key properties in objects and then exploring relationships between properties and the geometric elements in the problem. The second GHoM, generalizing geometric ideas, can be seen when students explore a geometric problem and use insights to better understand related or larger problems. Students with this habit of mind ask  t h  t h  f o l d s   p r o d u c e d   w i f o l d s   p r o d u c e d   w i i s i n g l y  i s i n g l y  r e v e a l e d   s u r p r r e v e a l e d   s u r p r i o n s h i p s .",15,Folding Corners of the Habits of Mind
16,Folding Corners of the Habits of Mind,i o n s h i p s .,16,Folding Corners of the Habits of Mind
17,Folding Corners of the Habits of Mind,i c  i c   r e l a t r e l a t,17,Folding Corners of the Habits of Mind
18,Folding Corners of the Habits of Mind,"T h e   s i m p l e  T h e   s i m p l e  i g a m i c s  i g a m i c s  o r o r i c h   g e o m e t i c h   g e o m e t themselves how conjectures about particular situations might generalize to larger classes of geometric objects. The third GHoM, investigating invariants, involves actively transforming a geometric object and refl ecting on what aspects of the situation remain the same in the midst of that change. The last GHoM, balancing exploration and refl ection, involves turning one’s thinking inward while exploring a model or situation. Students not only continually take stock of their insights but also actively think about how those insights relate to the problem statement.",18,Folding Corners of the Habits of Mind
19,Folding Corners of the Habits of Mind,tURned-Up-point actiVitY,19,Folding Corners of the Habits of Mind
20,Folding Corners of the Habits of Mind,"A paper-folding activity, created by Kazuo Haga (2008), was posed to a class of preservice teachers in a geometry course for elementary school and middle school teachers. Haga called the paper-folding process origamics, in contrast to traditional origami. This process moved beyond simply creating paper models and producing a fi nal product to a process of folding and unfolding paper to highlight invariant properties. Origamics-related problems often involved simple folds that revealed surprisingly rich geometric relationships.",20,Folding Corners of the Habits of Mind
21,Folding Corners of the Habits of Mind,The version of Haga’s problem  used with students was referred to as a turned-up-point (TUP) problem by Hull (2006). Hull described both the mathematical ideas imbedded in the exploration as well as notes on their pedagogical uses. Hull’s Project Origami: Activities for Exploring Mathematics and Haga’s Origamics: Mathematical Explorations through Paper Folding detailed several other explorations in  origamics that could be transformed into rich classroom activities. ,21,Folding Corners of the Habits of Mind
22,Folding Corners of the Habits of Mind,"The turned-up-point, or TUP,  problem involves folding the corner of a piece of paper and examining the shape of the fl ap that is formed. More precisely, begin with a square piece of paper and pick a point anywhere in the interior of the paper. Fold the paper so that the bottom right vertex falls on this point (see fi g. 1). Focus attention on the fl ap that is folded up (the shaded portions in fi g. 1) and determine how many sides that polygonal fl ap has. Repeat this process several times with different interior points to answer the following two questions:  1.  What is the possible number of  sides of the polygonal fl ap? 2.  How can you predict the number  of sides that the fl ap will have, viewing only the location of the point on the paper?",22,Folding Corners of the Habits of Mind
23,Folding Corners of the Habits of Mind,I encourage the reader to get a square piece of paper and try this before moving on. ,23,Folding Corners of the Habits of Mind
24,Folding Corners of the Habits of Mind,"After some exploration, it becomes apparent that the fl ap can be a triangle or a quadrilateral only. The only way to form a pentagonal fl ap is to extend the bottom-right corner off the paper. The focus of the exploration, then, is to determine precisely when the fl ap is a triangle and when it is a quadrilateral. Figure 1b shows a fold that results in a quadrilateral. Notice that this quadrilateral fl ap is formed precisely because the creased fold intersects the left edge of the paper rather than the bottom edge. Similarly, based on the symmetry of the square, choosing ",24,Folding Corners of the Habits of Mind
25,Folding Corners of the Habits of Mind,Fig. 1 Folding a corner of a square piece of paper to different points results in shapes that are worth noting.  (a) triangle (b) Quadrilateral a point to the left of the diagonal in fi gure 1b will result in a quadrilateral precisely when the fold intersects the top edge of the paper.,25,Folding Corners of the Habits of Mind
26,Folding Corners of the Habits of Mind,The key to fi nding where the transition from a triangle to a quadrilateral will occur is to note all those points where the folded crease intersects the bottom-left vertex. These points form a circular arc centered at the lower-left vertex whose radius is equal to the length of the side of the square (see fi g. 2a). Repeat this process for points on the left of the diagonal to form the boundary that separates a triangle from a quadrilateral (see fi g. 2b).  oppoRtUnities FoR deVeloping haBits oF Mind,26,Folding Corners of the Habits of Mind
27,Folding Corners of the Habits of Mind,This paper-folding task had several mathematically benefi cial features: 1.  It required no prerequisite paperfolding experience. The preservice ,27,Folding Corners of the Habits of Mind
28,Folding Corners of the Habits of Mind,Fig. 2 Folding a corner to various points yields a triangle and folding to other points yields a quadrilateral. The boundaries between these two sets of points are sectors of a circle whose center is the corner of the paper and whose radius is the length of the sides.,28,Folding Corners of the Habits of Mind
29,Folding Corners of the Habits of Mind,Fig. 3 Some participants tested various destination points for the folded-up corner to predict the pattern when a triangle and when a quadrilateral were formed by the fl ap.,29,Folding Corners of the Habits of Mind
30,Folding Corners of the Habits of Mind,(a)  (b)  teachers did not have to learn techniques or approaches associated with more complicated origami constructions.  2.  It had a low barrier to entry for mathematical knowledge. Preservice teachers at different levels could immediately begin work.  3.  It was exploratory by design and offered numerous opportunities for discussion. ,30,Folding Corners of the Habits of Mind
31,Folding Corners of the Habits of Mind,"Beyond these general features, the task also offered opportunities for the preservice teachers to engage in each of the four geometric habits of mind described earlier. The following sections highlight aspects of their work and showcase the ways that the TUP  problem was effective in developing habits of mind.",31,Folding Corners of the Habits of Mind
32,Folding Corners of the Habits of Mind,inVestigating inVaRiants,32,Folding Corners of the Habits of Mind
33,Folding Corners of the Habits of Mind,"The TUP problem statement was essentially a question about invariance. To predict which points resulted in triangle fl aps, for instance, the preservice teachers could not actually test them all. Instead, they needed to identify those characteristics that these points shared. They identifi ed what stayed the same about the paper for the fl ap to remain a triangle and what changed to shift to a quadrilateral. ",33,Folding Corners of the Habits of Mind
34,Folding Corners of the Habits of Mind,"All the preservice teachers began  the exploration with a form of empirical investigation. Some began folding the paper repeatedly; others took a more systematic approach and marked points that they tested (see fi g. 3). After the teachers had tested several points, they were asked to articulate what they thought was true about the triangle points. This required them to shift their focus from empirical testing to making conjectures.",34,Folding Corners of the Habits of Mind
35,Folding Corners of the Habits of Mind,"The initial conjectures were often  imprecise. For example, some preservice teachers noted that triangles were “on the inside” and quadrilaterals were “close to the edge.” Although imprecise, these statements marked  an important change in students’ reasoning. I asked one preservice teacher, Sarah, about an oval fi gure she had drawn on the paper. She explained that the fi gure was the “boundary between triangle land and quadrilateral land.” Her explanations indicated to me that she was no longer testing individual points. She was focusing her attention on the boundary and how the fl ap was transitioning dynamically from one shape to another. This process of noticing regularity in the midst of change is the essence of investigating invariance. ",35,Folding Corners of the Habits of Mind
36,Folding Corners of the Habits of Mind,Balancing eXploRation and ReFlection,36,Folding Corners of the Habits of Mind
37,Folding Corners of the Habits of Mind,"As mentioned earlier, this problem had a very low barrier to entry. The preservice teachers could begin folding and testing points right away. To solve this problem, however, they had to recognize when to stop folding and when to begin refl ecting on the information that was collected. This is the central nature of Driscoll’s third GHoM: balancing exploration and refl ection. ",37,Folding Corners of the Habits of Mind
38,Folding Corners of the Habits of Mind,"Although the preservice teachers began working easily, it was diffi cult for many of them to recognize when there was enough information to start analyzing. Rather than simply telling them when to stop folding, I instead asked what they were noticing. Those who could not verbalize their thinking were encouraged to pay close attention to what they were noticing while making a few more folds.",38,Folding Corners of the Habits of Mind
39,Folding Corners of the Habits of Mind,"The most effective way to shift the preservice teachers’ focus from exploration to refl ection, however, was through whole-class discussions. Because it was diffi cult for students to directly refer to the marks on their small paper in a way that everyone could see, they were forced to put their ideas into words. It also shifted the discussion to the mathematical relationships they were noticing rather than the actual folds they had made. ",39,Folding Corners of the Habits of Mind
40,Folding Corners of the Habits of Mind,"Fig. 4 Some students incorrectly identified the regions for the folded-up point and the shape of the flap that resulted. T represented a triangle,  and Q represented a quadrilateral.",40,Folding Corners of the Habits of Mind
41,Folding Corners of the Habits of Mind,Folding paper allowed students to develop mathematical  habits of mind. ,41,Folding Corners of the Habits of Mind
42,Folding Corners of the Habits of Mind,One strength of the TUP problem was that it forced the class to regulate their exploration and find a balance between it and careful reflection. ,42,Folding Corners of the Habits of Mind
43,Folding Corners of the Habits of Mind,Reasoning with Relationships,43,Folding Corners of the Habits of Mind
44,Folding Corners of the Habits of Mind,"For the preservice teachers to explain their ideas in mathematically precise ways, their attention had to change. Rather than accumulating points that generated triangles or quadrilaterals, they were now required to reason about the relationships they were identifying. This was the essence of the second GHoM: generalizing geometric ideas. Several preservice teachers tried to reason about their conjectures by trying to identify relationships between the points and the symmetries of the square. When using square paper, it was natural to fold the paper in half either vertically or diagonally, highlighting lines of symmetry. Some conjectured that the quadrants formed by the perpendicular bisectors separated the triangle points from the quadrilateral points (see fig. 4). Although this conjecture was not true, it did indicate that they were actively searching for relationships within the square. ",44,Folding Corners of the Habits of Mind
