__id__,__filename__,text,,
0,Football Field Mathematics - National Council of Teachers of Mathematics,"This was an account of a November 23, 2014, National Football League (NFL) game between the New England Patriots and the Detroit Lions:",,
1,Football Field Mathematics - National Council of Teachers of Mathematics,"The ball is at the 14 yard line of the Patriots. Ryan Allen punts the ball all the way to the Lions’ 20 yard line, and Jeremy Ross advances it only 1 yard.",,
2,Football Field Mathematics - National Council of Teachers of Mathematics,,,
3,Football Field Mathematics - National Council of Teachers of Mathematics,"Football announcers need to be able to quickly give their audience information about where a ball is caught and the distance of a punt. Excluding both end zones, the length of a football field is 100 yards and the width is 53 1/3 yards. Yard markers are placed on the field as shown in the diagram.",,
4,Football Field Mathematics - National Council of Teachers of Mathematics,1. What was the length of Ryan Allen’s punt?,,
5,Football Field Mathematics - National Council of Teachers of Mathematics,2. Where was the ball placed after the play?,,
6,Football Field Mathematics - National Council of Teachers of Mathematics,Suppose that you are defending goal A and attempting to move the ball to goal B.,,
7,Football Field Mathematics - National Council of Teachers of Mathematics,3. Complete the following table.,,
8,Football Field Mathematics - National Council of Teachers of Mathematics,,,
9,Football Field Mathematics - National Council of Teachers of Mathematics,"4. Let Ainitial (or Binitial) be the initial position of the ball, G be the yards gained, L be the yards lost, and Afinal (or Bfinal) be the final position of the ball on the field. Explain how to find the final position of the ball, given Binitial and G.",,
10,Football Field Mathematics - National Council of Teachers of Mathematics,"Edited by Crystal Kalinec-Craig, crystal.kalinec-craig@utsa.edu, University of Texas at San Antonio, and Fanny Sosenke, NEST+M, New York, New York. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net.",,
