__id__,__filename__,text,,
0,Fostering Perseverance - National Council of Teachers of Mathematics,"Sustaining engagement with a mathematics task is not a novel suggestion for effective mathematics teaching. Principles and Standards for School Mathematics (2000) specified that â€œstudents need to know that a challenging problem will take some time and that perseverance is an important aspect of the problem-solving process and of doing mathematicsâ€ (NCTM 2000, p. 186). Yet there is often an expectation in mathematics class that solutions should come quickly, and teachers work against a norm that has equated fast responses with proficiency in mathematics. The Common Coreâ€™s Standards for Mathematical Practice (SMP) (CCSSI 2010) have brought renewed attention to the importance of perseverance in mathematical problem solving. In this article, we offer a set of classroom practices that foster studentsâ€™ perseverance in problem solving.",,
1,Fostering Perseverance - National Council of Teachers of Mathematics,"For a seventh-grade classroom, a group of teachers (see the acknowledgment at the end) designed instructional moves to foster perseverance in a lesson. Students spent a full class period working on a single challenging problem that stumped everyone at first. In fact, at the outset, students seemed lost, and it might have been tempting for the teacher to step in and show students what to do. But this lesson, by design, provided time and structure for the students to arrive at solutions themselves. At several junctures along the way, students huddled excitedly in groups to share their progress, even though they were far from finding complete solutions. Through a series of carefully formulated questions and participation structures, students demonstrated perseverance and enthusiasm. This did not happen by accident.",,
2,Fostering Perseverance - National Council of Teachers of Mathematics,"With the goal of designing instruction to foster student perseverance, a group of teachers met multiple times to first choose a suitable mathematical task and then develop a lesson. In so doing, the teachers were anticipating studentsâ€™ strategies and responses as well as developing language for responses to support studentsâ€™ abilities to maintain â€œproductive struggleâ€ (Hiebert and Grouws 2007; NCTM 2014; Warshauer 2015) on a challenging problem. Our team of teachers and professional developers then observed one team member teach the lesson. They met together afterward, in a modified form of â€œlesson studyâ€ (Stigler and Hiebert 1999), to analyze how it went. Although qualities like perseverance are not built in a day, the lesson was designed to specify teacher moves that could be woven into daily instruction. Here we share five categories of those teaching moves from that lesson that constitute teachersâ€™ efforts to foster student perseverance in problem solving:",,
3,Fostering Perseverance - National Council of Teachers of Mathematics,1. Selecting mathematical tasks that require and support perseverance,,
4,Fostering Perseverance - National Council of Teachers of Mathematics,"For this lesson, we considered features of a worthwhile task, as defined by the National Council of Supervisors of Mathematics (NCSM 2013). According to NCSM, a great taskâ€”",,
5,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ revolves around an interesting problemâ€”offering several methods of solution;,,
6,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ is directed at essential mathematical content as specified in the standards;,,
7,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ requires examination and perseveranceâ€”challenging students;,,
8,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ begs for discussionâ€”offering rich discourse on the mathematics involved;,,
9,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ builds student understandingâ€”following a clear set of learning expectations; and,,
10,Fostering Perseverance - National Council of Teachers of Mathematics,â€¢ warrants a summary look backâ€”providing reflection and extension opportunities.,,
11,Fostering Perseverance - National Council of Teachers of Mathematics,,,
