__id__,__filename__,text,__id__,__filename__
0,"Fractions Are Numbers, Too!","222777777377773337377377377376Student understanding of fractions as numbers, a foundational element of fraction sense and a ",0,"Fractions Are Numbers, Too!"
1,"Fractions Are Numbers, Too!","Fractions are numbers, too! critical prerequisite of work with operations, is explored through real-world connections. ",1,"Fractions Are Numbers, Too!"
2,"Fractions Are Numbers, Too!","Francis (Skip) Fennell, Beth Mccord Kobett, and Jonathan A. Wray n sense as “an intuition about numbers  that is drawn from all the varied meanings of number” (NCTM 1989, p. 39) that includes understanding number meanings, analyzing multiple relationships among numbers, recognizing the relative magnitude of numbers, knowing the relative effect of operating on numbers, and developing referents for measures of common objects and situations in their environment (NCTM 1989).",2,"Fractions Are Numbers, Too!"
3,"Fractions Are Numbers, Too!","Number sense is elusive. Yet making sense of numbers remains the goal for many teachers; students; and, yes, employers. However, the more number sense is considered, the more complex it is to truly defi ne, address, and assess. In the middle grades, the emergence of a sense of number with regard to fractions (defi ned here as a/b fractions, decimals, and percentages), or fraction sense, is expected and important as such work with fractions actually launches early and extends students’ experiences with algebra. In its landmark Curriculum and ",3,"Fractions Are Numbers, Too!"
4,"Fractions Are Numbers, Too!",What is it about establishing a sense  of number for fractions that makes it more challenging than establishing a sense of number for work with whole numbers? Consider the following:,4,"Fractions Are Numbers, Too!"
5,"Fractions Are Numbers, Too!","Evaluation Standards for School Mathematics, NCTM defi ned number  •  Fifty percent of eighth graders could not order three fractions from least to greatest (NCTM 2007).",5,"Fractions Are Numbers, Too!"
6,"Fractions Are Numbers, Too!",•  Less than 30 percent of  seventeen-year-olds correctly represented 0.029 as 29/1000 (Kloosterman 2010).,6,"Fractions Are Numbers, Too!"
7,"Fractions Are Numbers, Too!","•  When asked which of two decimals, 0.274 and 0.83, is greater, most fi fth and sixth graders incorrectly chose 0.274 (Rittle-Johnson, Siegler, and Alibali 2001). ",7,"Fractions Are Numbers, Too!"
8,"Fractions Are Numbers, Too!",Sowder noted that “number size is not a sense about numbers that once ,8,"Fractions Are Numbers, Too!"
9,"Fractions Are Numbers, Too!","Fractions are numbers, too!",9,"Fractions Are Numbers, Too!"
