__id__,__filename__,text,,
0,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Teachers across all grade levels agree that problem solving and reasoning are areas of weakness in students. Assessments among U.S. students indicate that these weaknesses persist (NCTM 2014) in spite of repeated calls that date back more than thirty years for increased problem solving, reasoning, and sense making in our schools. The NCTM is leading the charge for an increased emphasis in these three areas.",,
1,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Furthermore, NCTM (2014) describes eight teaching practices to help facilitate problem solving, reasoning, and sense making. In this article, we focus on three of those practices: implement tasks that promote reasoning and problem solving, support productive struggle in learning mathematics, and facilitate meaningful mathematical discourse (NCTM 2014).",,
2,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,THE TASK,,
3,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Our goal was to develop students’ problem-solving skills by creating a high-level cognitive demand task that would be accessible and interesting to the students while maintaining a focus on important mathematics (Kahan and Wyberg 2003). The task was inspired by an actual chain letter received by one of the authors. The letter contained a list of names and addresses and instructions for the recipient to send $1 to the first name on the list. The recipient was then instructed to remove the first name and address from the list, add his or her own name and address to the bottom, and duplicate the new list. The instructions said that seven more people of the recipient’s choosing were then to be added. The letter promised great wealth to anyone choosing to follow through with the instructions. Because letters of this type are real-life examples of exponential structures familiar to middle school students, it was adapted into a high-level cognitive demand task with which students could develop problem-solving skills. The story written for the task follows.",,
4,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Fred Applegate got a neat letter in the mail today. It says he’ll be rich if he follows the directions. Fred likes that idea. He’d love to buy a new RV next summer. The letter contains a list of 17 names and addresses. It says to send $1 to the name at the top of the list, and then cross it off and add his name to the bottom. Then, he has to photocopy the letter and list of names and send it to 10 people. Gradually, all the names will get crossed off the list, and Fred will be the one getting all the money! Fred’s wife, Mary Alice, is fuming. She says Fred is a con artist, and she won’t bail him out of jail when he gets locked up for stealing from their friends. If there are 16 names before Fred’s, and every recipient sends out 10 letters, how much money will Fred make? Write your answer in three different ways.",,
5,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"We consider this to be a high-level cognitive demand, “doing math,” task as categorized by Smith and Stein (1998). According to this categorization, it requires students to engage in nonalgorithmic thinking, explore and understand the process of how many letters will be mailed and received, access relevant knowledge, examine the task and constraints, and display considerable cognitive effort.",,
6,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Mathematically, students are expected to discover that the layers of money sent are exponential and to correctly express Fred’s earnings in standard notation, exponential notation, and scientific notation. Fred is to send $1 to the name at the top of the list and 10 letters. The 10 recipients are each supposed to send $1 to the second name on the list, along with 10 more letters. The next round of recipients is to follow the same routine. Students should discover that the pattern results in $100 for the first name on the list, $101 for the second name, $102 for the third name, and so on, until Fred’s name is reached. Since Fred is the seventeenth name on the list, he is theoretically supposed to receive $1017.",,
7,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,PRODUCTIVE STRUGGLE,,
8,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"Good teaching practices include supporting the productive struggle of students as they learn mathematics (NCTM 2014). It is important for teachers to make it clear to students that struggle will be expected in the normal course of learning. Because problem-solving tasks were a relatively new concept for our students, they were prepped at the beginning of the lesson with a review of this expectation as well as other behavior expectations while working in cooperative groups.",,
9,Fred Applegates Money-Making Scheme - National Council of Teachers of Mathematics,"During the initial instructions, the teacher explained to students that she would act as a facilitator; it would be their responsibility to devise appropriate methods and solutions for the problem. By including this preparation time before starting the task, students were better prepared for the challenge ahead because they began the task with an understanding that they were responsible for developing their own solution methods. Students were then assigned a cooperative group composed of three or four students with differing abilities. The teacher circulated around the classroom as the groups began working on the task.",,
