__id__,__filename__,text,__id__,__filename__
0,From Mathematical Reading to Mathematical Literacy,"If teachers have a deeper comprehension of their students’ reading ability, it may lead to students’ improved literacy and understanding of the subject.",0,From Mathematical Reading to Mathematical Literacy
1,From Mathematical Reading to Mathematical Literacy,From Mathematical to Mathematical ,1,From Mathematical Reading to Mathematical Literacy
2,From Mathematical Reading to Mathematical Literacy,Reading,2,From Mathematical Reading to Mathematical Literacy
3,From Mathematical Reading to Mathematical Literacy,Literacy t,3,From Mathematical Reading to Mathematical Literacy
4,From Mathematical Reading to Mathematical Literacy,"This account of my growing interest in mathematical literacy specifi cally involves mathematical reading. This shift in interest began with a six-week observational study in an eighth-grade classroom in a suburban, Midwestern school district. During this period, I witnessed both a seasoned classroom teacher and a preservice teacher lead many lessons from the Connected Mathematics Project, Version 3 (CMP 3) curriculum. A particularly salient episode came from a lesson about a taco truck in which one of the students produced a novel interpretation and solution, one that differed from most others in the room. The episode, chronicled below, led to an exploration of the 2017 NCTM conference and various forms of literature in search of an explanation of how reading is used in mathematics classrooms. ",4,From Mathematical Reading to Mathematical Literacy
5,From Mathematical Reading to Mathematical Literacy,Gregory Beaudine,5,From Mathematical Reading to Mathematical Literacy
6,From Mathematical Reading to Mathematical Literacy,THE BOOK WANTS WHAT IT WANTS,6,From Mathematical Reading to Mathematical Literacy
7,From Mathematical Reading to Mathematical Literacy,"Emily Dickinson once wrote, and others (e.g., Woody Allen, Selena Gomez) have paraphrased, that “the heart wants what it wants—or else it does not care” (Dickinson and Todd 1894, p. 204). Similarly, we as educators can say that “the book wants what it wants.” In one eighth-grade classroom, our focal student, Ricardo (a pseudonym), and his classmates investigated a pair of taco truck orders found in the eighth-grade CMP 3 book It’s in the System (Lappan et al. 2014). This problem shared details of two student lunch orders from a taco food truck. The fi rst order, six tacos and two drinks, totaled $9.00. The second student paid $7.00 for four tacos and two drinks. The text provides a model depicting the two orders with sketches of half-circles ",7,From Mathematical Reading to Mathematical Literacy
8,From Mathematical Reading to Mathematical Literacy,Fig. 1 This problem shared details of two student lunch orders from a taco food truck. (This fi gure adapted from Lappan et al. 2014),8,From Mathematical Reading to Mathematical Literacy
9,From Mathematical Reading to Mathematical Literacy,"Fig. 2 Students successfully crossed out 4 tacos, 2 drinks, and $7.00 from each order. (This fi gure adapted from Lappan et al. 2014)",9,From Mathematical Reading to Mathematical Literacy
