__id__,__filename__,text,,
0,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"It is a beautiful summer day on the central coast of California. While some students are enjoying days at the park or at the beach, forty middle school students are in a classroom solving challenging mathematics problems. And they are loving it!",,
1,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"The second Math Camp for middle school students was offered in 2013 at a western university for students from local school districts. For three days, these students met from 10 a.m. to 3 p.m. to enjoy mathematics and to work hard. Students persevered in finding solutions, sharing different ways of thinking, providing logical arguments, and presenting solutions for whole-group discussionall practices that align directly with the Common Cores Standards for Mathematical Practices (CCSSI 2010). These standards urge educators to provide experiences that help students develop deeper understanding. What follows are examples of rich problems related to triangular numbers, students ways of thinking about them, and our experiences with the students during the camp. An activity sheet is included as a resource for teachers.",,
2,Fun with Triangular Numbers - National Council of Teachers of Mathematics,PROBLEM 1: THE HANDSHAKE PROBLEM,,
3,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"At a party, everyone shakes hands once with every other person. When there is only 1 person, there are  0 handshakes. When there are  2 people, there is 1 handshake.  Act out the handshakes if there are  3 people. . . . This classic problem is a natural starting point for this cluster of tasks. With proper scaffolding, it can be accessed by all students because it can be acted out, illustrated on paper, organized in a chart, and generalized.",,
4,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"When we presented the scenario for the Handshake problem, we asked various students to act out the situation for the first several people who came to the party, emphasizing the parameters of the problem clearly: Everyone shakes hands with every other person just once, and no one shakes his or her own hand. As students acted out the handshakes, the teacher recorded the number of people and the number of handshakes carefully in a systematic list, so that data could be analyzed for patterns. Modeling the organization of data is an essential element for future progress. Furthermore, the patterns that emerged in the illustrations and charts provided a recursive approach that encourages even the most reluctant of students to find success.",,
5,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"Before long, most students saw the pattern: Each time one more person was added to the group, the number of handshakes increased by 1 more than the previous time. In fact, if there were four people gathered and there were  6 handshakes, a fifth person joining the group would result in 4 more handshakes, for a total of 10, because that new person would have to shake hands with every other person already at the party.",,
6,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"At this point, it may be useful for the teacher to express or emphasize the total number of handshakes as a sum, if students do not do it themselves, so that students can begin to observe patterns and start to use structure to make generalizations. For example, if there are 5 students, student 1 will shake hands with 4 students; student 2, with 3 students; and so on, for an expression 4 + 3 + 2 + 1.",,
7,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"Writing the expanded sum provides more information than the end result of 10. This is a good example of a situation in which the compact answer hides the underlying patterns. Students need to look for and express regularity in repeated reasoning to conclude that with n people, there must be 1 + 2 + 3 +  + (n  1) handshakes. They would then need to find a way to add these numbers effectively.",,
8,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"Several students formed pairs by adding 1 + (n  1); 2 + (n  2); and so on, to make sums equal to n. In the case of 5 students, you form the sums 1 + 4 and 2 + 3. Students figured out that when n is odd, n  1 is even,  and so they would be able to form  (n  1)/2 pairs each equal to n. This will produce",,
9,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
10,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
11,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"handshakes. When n is even, n  1 is odd; students realized that they can make (n/2)  1 pairs each equal to n, but n/2 will be left unpaired and would have to be added. In the case of 6 students, the sums 1 + 5 and  2 + 4 are formed; 3 is left unpaired. This situation will produce",,
12,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
13,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
14,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"handshakes which, with some simplification, can be shown to equal",,
15,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
16,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
17,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"In either case, the number of handshakes with n people is",,
18,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
19,Fun with Triangular Numbers - National Council of Teachers of Mathematics,,,
20,Fun with Triangular Numbers - National Council of Teachers of Mathematics,"If the students are unfamiliar with Gausss trick for adding consecutive numbers, you may wish to show it to them for future use. If we had 10 students, the number of handshakes would be 1 + 2 + 3 + 4 +  + 8 + 9. If we let S = 1 + 2 + 3 + 4 +  + 8 + 9, then",,
21,Fun with Triangular Numbers - National Council of Teachers of Mathematics,S = 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 and,,
