__id__,__filename__,text,,
0,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"A call exists for students to understand reasoning and proving in the Common Core State Standards for Mathematics (CCSSI 2010) and other documents, such as Principles to Actions: Ensuring Mathematical Success for All (NCTM 2014). Students often struggle with proving. One frequent difficulty they exhibit is relying on empirical arguments as opposed to searching for more secure reasoning, such as exhausting all cases or using deduction.",,
1,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"Empirical arguments rely on examples without necessarily addressing all cases. Students produce invalid empirical arguments when they test a few cases (or examples) in the domain of a claim without exhausting all cases. Such arguments are insecure because the argument does not eliminate the possibility of a counterexample among the untested cases. Students who assert that the empirical evidence is proof express nave empiricism (Balacheff 1988). Students should be skeptical of empirical evidence and should seek more secure arguments for generalizations, such as those that explain why a generalization is true for all cases. Otherwise, students should not overgeneralize their findings and should restrict their claims to only those cases actually tested.",,
2,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"Generalizing on the basis of patterns in data is an important mathematical practice; however, overgeneralizing can occur when students focus solely on patterns in their data results. Students should also determine whether patterns are expressed in the processes used to construct data (Harel 2001). In this way, students can link patterns in their processes to patterns in their results and perhaps explain why patterns hold for all cases.",,
3,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"We should not discourage students from making such conjectures. However, we should encourage skepticism. Students should claim that their arguments for generalizations are secure only when their arguments are viable. Viable arguments for generalization include deductive arguments and arguments that exhaust all cases. These arguments can be accepted as proof even though some of the formality might be absent. Arguments based on patterns in data are viable and secure only when students can explain how patterns they observe hold for all cases in their claims domains. In this article, we offer activities that encourage skepticism and a way to contrast empirical arguments that are not viable with empirical arguments that are viable, even when students lack sufficient deductive-reasoning skills.",,
4,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,Our skepticism work with our own grade 8 students should be useful to others who teach in the middle grades. The data presented in this article are from a teaching experiment with a class in which more than 60 percent of students scored below proficient on their 2015 Grade 7 Smarter Balanced Assessment Consortium end-of-year assessments (SBAC 2012).,,
5,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,BACKGROUND INFORMATION AND PREVIOUS STUDIES,,
6,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"A learning progression toward more secure forms of argumentation can include interventions that produce skepticism. Researchers have tested a variety of interventions for developing skepticism in students (Stylianides and Stylianides 2009; Brown 2014). One approach is to simply tell students that empirical evidence does not prove a generalization (Brown 2014). Another approach is to engage students in activities in which they are likely to develop generalizations on the basis of the results from examining the first few cases, only to discover that their generalizations are false. This approach can place students in cognitive disequilibrium. Students can resolve their disequilibrium by modifying their beliefs about what constitutes viable argumentation in mathematics.",,
7,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,Stylianides and Stylianides (2009) identify two conditions for counter-examples that make skepticism activities pivotal in improving students conceptions of proof. One condition is that the counterexamples are outside the examples that students have already grasped but inside the collection of examples that students could grasp with appropriate assistance. The other condition is that the counterexamples to students overgeneralizations help students reflect on their existing conceptions of proof.,,
8,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,SKEPTICISM ACTIVITIES,,
9,Generalizing and Skepticism_ Bringing Research to Practice - National Council of Teachers of Mathematics,"It is unlikely that one activity alone will produce sufficient skepticism in grade 8 students. Researchers (e.g., Stylianides and Stylianides 2009) have used a sequence of activities to target skepticism outcomes. Table 1 offers examples of activities that can produce skepticism. In this article, we look in depth at just one of these activities, the Circle and Spot Activity, but offer others, which we also implemented in grade 8 classrooms. The Circle and Spot Activity is great for producing overgeneralizations, and then skepticism, among students because an insecure argument is likely to emerge. Students are likely to find a pattern in the results after examining the first four cases but are unlikely to find a pattern in the process.",,
