__id__,__filename__,text,__id__,__filename__
0,Get MAAAD at Those Apps!,informing practice informing practice research matters for teachers research matters for teachers,0,Get MAAAD at Those Apps!
1,Get MAAAD at Those Apps!,Get MAAAD at Those Apps!,1,Get MAAAD at Those Apps!
2,Get MAAAD at Those Apps!,"Teri N. Johnson and Stephen I. Tucker dDuring the past thirty years, various  forms of technology have facilitated teaching and learning. Recently, touchscreen tablets are among the devices growing in popularity. Many mathematics apps are available; however, they vary in their usefulness for different users. Monitoring students’ interactions with selected apps is important for teachers to do to ensure that learners are benefi ting from technology integration. The Modifi cation of Attributes, Affordances, Abilities, and Distance (MAAAD) for Learning Framework (see fi g. 1) emerged from evaluations of students’ interactions with educational technology (Tucker 2016). Teachers can use this framework to select apps for use in the classroom, formatively assess student understanding, and evaluate the appropriateness of tasks presented by apps.",2,Get MAAAD at Those Apps!
3,Get MAAAD at Those Apps!,MAAAD FOR LEARNING FRAMEWORK,3,Get MAAAD at Those Apps!
4,Get MAAAD at Those Apps!,"Both technology tools (e.g., apps) and users bring inherent characteristics, or attributes, to user-tool interactions. Tool attributes (e.g., menus and hints) ",4,Get MAAAD at Those Apps!
5,Get MAAAD at Those Apps!,"Edited by Jennifer Eli, jeli@math.arizona.",5,Get MAAAD at Those Apps!
6,Get MAAAD at Those Apps!,"edu, University of Arizona, Tucson, and George J. Roy, roygj@mailbox.sc.edu, University of South Carolina, Columbia. Readers are encouraged to visit http://mtms.",6,Get MAAAD at Those Apps!
7,Get MAAAD at Those Apps!,"msubmit.net to submit manuscripts that take research fi ndings and translate them into practical outcomes, strategies, or tips that inform teachers’ classroom practice. ",7,Get MAAAD at Those Apps!
8,Get MAAAD at Those Apps!,"Fig. 1 Teachers can use the MAAAD for Learning Framework to select apps for classroom use, assess student understanding, and evaluate the appropriateness of tasks.  ",8,Get MAAAD at Those Apps!
9,Get MAAAD at Those Apps!,"From “The Modifi cation of Attributes, Affordances, Abilities, and Distance for Learning Framework and its Applications to Interactions with Mathematics Virtual Manipulatives,” in International Perspectives on Teaching and Learning Mathematics with Virtual Manipulatives, p. 53. Reprinted by permission of Springer.",9,Get MAAAD at Those Apps!
10,Get MAAAD at Those Apps!,"combine to offer affordances, which are opportunities to do something with a tool (Greeno 1994). Users’ attributes (e.g., prior knowledge, interest in an app’s content) combine to become abilities. Each tool affordance is paired with a corresponding user ability in an affordance-ability relationship (see fi g. 1). This relationship contributes to users’ associated learning outcomes. During interactions, tools and users modify their respective attributes, infl uencing affordance-ability relationships and distance (Tucker 2016). Distance is the degree of diffi culty that a user has in understanding how to interact with a tool and interpret its responses (Sedig and Liang 2006). Figure 2 provides the MAAAD for Learning Framework applied to touchscreen tablet mathematics apps. ",10,Get MAAAD at Those Apps!
11,Get MAAAD at Those Apps!,"In this context, apps and users have  relevant attributes that combine to  form many affordance-ability relationships as well as two types of distance. Apps have three categories of attributes: (1) mathematical, (2) technological, and (3) structural, which contribute to app affordances. ",11,Get MAAAD at Those Apps!
12,Get MAAAD at Those Apps!,Mathematical Attributes,12,Get MAAAD at Those Apps!
13,Get MAAAD at Those Apps!,"Mathematical attributes include the content and representations presented to users. For example, an app with content related to simplifying expressions or solving equations may include pictorial representations in lieu of number sentences with variables and constants. ",13,Get MAAAD at Those Apps!
14,Get MAAAD at Those Apps!,"Technological Attributes Technological attributes refer to the range and complexity of inputs (e.g., pinching to zoom, swiping, or tapping) required for physically interacting with the app. ",14,Get MAAAD at Those Apps!
15,Get MAAAD at Those Apps!,Structural Attributes,15,Get MAAAD at Those Apps!
16,Get MAAAD at Those Apps!,Examples of structural attributes include nonmathematical elements of feedback and scaffolding presented by the app (Tucker 2016). ,16,Get MAAAD at Those Apps!
17,Get MAAAD at Those Apps!,"Users’ abilities stem from (1) math- ematical, (2) technological, and (3) personal attributes, which infl uence how they access the app affordances. Users’ mathematical attributes include prior content knowledge and transfer skills. Technological attributes include fi ne motor skills and familiarity and effi ciency with the range of actions required by the app. Users’ attitudes, persistence, and goals while interacting with apps are examples of personal attributes. ",17,Get MAAAD at Those Apps!
18,Get MAAAD at Those Apps!,"Tool and user attributes combine  to form affordance-ability relationships and distance. An example of an affordance-ability relationship is a user’s access to focused constraint. Focused constraint brings users’ attention to specifi c aspects of mathematical representations or processes, which benefi ts learners by making mathematical relationships more explicit (Moyer-Packenham and Westenkow 2013). Some apps afford focused constraint by restricting mathematical input (e.g., forcing the user to individually complete each step to solve an equation). Later, the app may change the constraint to allow different access (e.g., combining steps needed to solve an equation). Some users may continue the original behavior; other users may access the affordance in a different way. In this context, attributes also contribute to two types of distance. Mathematical distance is the difference between the mathematics presented by the app in relation to the users’ knowledge of the mathematics (e.g., using the appropriate property to simplify a fraction). Technological distance is the difference between the physical actions expected of users and the physical actions that they perform during these interactions (e.g., pinch-",18,Get MAAAD at Those Apps!
19,Get MAAAD at Those Apps!,Fig. 2 The framework is applied to touchscreen tablet mathematics apps.,19,Get MAAAD at Those Apps!
20,Get MAAAD at Those Apps!,"From “The Modifi cation of Attributes, Affordances, Abilities, and Distance for Learning Framework and Its Applications to Interactions with Mathematics Virtual Manipulatives,” in International Perspectives on Teaching and Learning Mathematics with Virtual Manipulatives, p. 54. Reprinted by permission of Springer.",20,Get MAAAD at Those Apps!
21,Get MAAAD at Those Apps!,"ing to zoom in or out, swiping to move along a number line). ",21,Get MAAAD at Those Apps!
22,Get MAAAD at Those Apps!,"Modifying user and app attributes  (e.g., users strengthening their understanding of the additive identity property) can bring them into alignment, minimize mathematical or technological distance, and decrease a task’s degree of diffi culty. Alternately, changing attributes or applying different attributes (e.g., app requiring multiplicative identity property instead of additive identity property) can bring user and app attributes out of alignment and increase distance (Tucker 2016). Changes in distance can infl uence affordance-ability relationships. For example, a child learning to apply a new property has decreased mathematical distance and may begin combining steps to solve an equation.",22,Get MAAAD at Those Apps!
23,Get MAAAD at Those Apps!,APPLYING THE FRAMEWORK,23,Get MAAAD at Those Apps!
24,Get MAAAD at Those Apps!,IN THE CLASSROOM,24,Get MAAAD at Those Apps!
25,Get MAAAD at Those Apps!,App Selection,25,Get MAAAD at Those Apps!
26,Get MAAAD at Those Apps!,"After identifying several potentially promising apps, teachers can use the ",26,Get MAAAD at Those Apps!
27,Get MAAAD at Those Apps!,"MAAAD for Learning Framework to evaluate each app’s features and narrow the selection to those that will best support student learning. Initial points to consider are an app’s mathematical, technological, and structural attributes. For example, does the app present the desired content with mathematically sound representations? What gestures are required to complete tasks successfully? Does the app offer users feedback or scaffolding? Different apps will interest and be appropriate for different students; therefore, an examination of app attributes should be followed by a brief refl ection on individual students’ preparedness for independent interactions with specifi c apps.",27,Get MAAAD at Those Apps!
28,Get MAAAD at Those Apps!,"In the following sections, we model the use of the framework to formatively assess a student on the basis of interactions with an app and to evaluate the appropriateness of tasks presented by the app. We present a series of interactions with Dragon Box Algebra 12+, which requires users to apply the additive and multiplicative inverse  properties to simplify expressions or solve equations. The Dragon Box represents a variable term to be isolated or for which the user is solving. Green vortices represent “zero” and are cleared away when tapped by the user. “To make a 0 (zero),” different-colored tiles with the same picture must be dragged together (technological attribute), which represents application of the additive inverse property (mathematical attribute) (see fi g. 3). ",28,Get MAAAD at Those Apps!
29,Get MAAAD at Those Apps!,"Patrick quickly progresses through the fi rst 6 levels of chapter 1. On level 1–7, he taps the green vortex on the right side of the mat to isolate the dragon box. He is surprised when the  dragon does not eat two of the tiles on the left side of the mat (see fi g. 4). He shows his teacher the screen and says, “It usually eats them all, but it doesn’t like these two.” ",29,Get MAAAD at Those Apps!
30,Get MAAAD at Those Apps!,Formative Assessment,30,Get MAAAD at Those Apps!
31,Get MAAAD at Those Apps!,"At fi rst glance, there seemed to be a low degree of mathematical and technological distance present as Patrick completed the task. He drew on his ability (combination of mathematical, technological, and personal attributes) to access the affordance of focused constraint, in this case, identifying and eliminating zero pairs to isolate the variable/dragon box. He applied ",31,Get MAAAD at Those Apps!
32,Get MAAAD at Those Apps!,Fig. 3 Dragon Box Algebra 12+ requires users to apply the additive and multiplicative inverse properties to simplify expressions or solve equations.,32,Get MAAAD at Those Apps!
33,Get MAAAD at Those Apps!,Fig. 4 Patrick was surprised when the dragon did not eat two of the tiles on the left side of the mat.,33,Get MAAAD at Those Apps!
34,Get MAAAD at Those Apps!,"the additive inverse property on the right side of the mat (mathematical attribute) by dragging opposite tiles together to make zero and tapping the green vortex to eliminate the zero and isolate the dragon box (technological attributes). The dragon refused to eat two of the remaining tiles on the left side of the mat (see fi g. 4), however, which served as feedback that Patrick’s solution was not fully accurate. He did not recognize the need to apply the additive inverse property on both sides of the mat (mathematical distance between app and user attributes), which led him to isolate the dragon box before eliminating all zero pairs. The degree of mathematical distance present meant that the way in which Patrick accessed focused constraint resulted in an ineffi cient solution.",34,Get MAAAD at Those Apps!
35,Get MAAAD at Those Apps!,"Patrick’s teacher can place this  interaction in the context of his prior understandings. From these observations, she might infer that Patrick has not recognized dragging opposite tiles together as an application of the additive inverse property (i.e., a high degree of mathematical distance). He might think the objective is to combine like terms. Perhaps he is not associating the operations performed on the tiles with any mathematical operations (a greater degree of mathematical distance). To further explore his reasoning, Patrick’s teacher can scaffold his mathematical attributes through verbal cues and questions, such as these:  •  If every symbol represents a  numerical value, what number is represented by the green vortices?  •  What did you notice about the  tiles you dragged together to make a zero?  •  Remember when we talked about  properties; which property does that action represent? ",35,Get MAAAD at Those Apps!
36,Get MAAAD at Those Apps!,"Alternatively, the teacher might  elect to allow Patrick space for  productive struggle (NCTM 2014), independently or with peers, facilitating discussion of the thinking and strategies afterward. Students do not always spontaneously reflect on their strategies or why the strategies were or were not successful while interacting with apps (Baccaglini-Frank and Maracci 2015); therefore, it is important for teachers to engage them in discussion about the interactions to provide an opportunity for reflection. Whenever the teacher facilitates the reflexive discussion, it is important that she uncover possible explanations for the distance present and the variations in key affordanceability relationships present during the interactions, as they contribute to the experience of learning mathematics. ",36,Get MAAAD at Those Apps!
