__id__,__filename__,text,__id__,__filename__
0,Getting Mileage out of Your 401(K),cartoon corner,0,Getting Mileage out of Your 401(K)
1,Getting Mileage out of Your 401(K),Chuckle Brothers by Brian and Ron Boychuk,1,Getting Mileage out of Your 401(K)
2,Getting Mileage out of Your 401(K),"Name ______________________________   b.  Suppose your company matches  50% of an employee contribution, up to an employee contribution of 6%. Suppose you contribute 6% of your salary. How much money (excluding interest) will be in your account after 1 year?  4.  If you work for a company that  matches at least part of a 401(k) contribution, why is it a good idea to be a participant in its 401(k) plan? 5.  Joe is 22 years old. He contributes  $5,000 to a retirement plan and leaves the money in the account  for 40 years. Jamie waits until she is 32 years old and then contributes $5,000 to a plan. She leaves  the money in her account for  30 years. Suppose each person earns 6% annual interest, compounded monthly. How much more money will Joe have in the account than Jamie when each is 62 years old? Use the formula below.",2,Getting Mileage out of Your 401(K)
3,Getting Mileage out of Your 401(K),nt,3,Getting Mileage out of Your 401(K)
4,Getting Mileage out of Your 401(K),"A= P 1+ r ⎠⎟ ⎝⎜    P = Principal (the initial amount  deposited) r = Annual rate of interest (as a decimal) t = Number of years the amount is on deposit   A = Amount of money accumulated  after n years, including interest   n = Number of times the interest is  compounded per year ",4,Getting Mileage out of Your 401(K)
5,Getting Mileage out of Your 401(K),"CHALLENGE 6. Using the information in question  2, how much money would you have in your account after n years?",5,Getting Mileage out of Your 401(K)
6,Getting Mileage out of Your 401(K),GETTING MILEAGE OUT OF  YOUR 401(K) 1.  a.  What is a 401(k)? Hint: It has  something to do with saving money.    b.  Describe the humor in the   cartoon.,6,Getting Mileage out of Your 401(K)
7,Getting Mileage out of Your 401(K),"c.  How was the distance of   250 miles determined? 2.  Suppose you deposit $1,000  in a savings account that pays  2% annual interest (calculated at the end of the year). You do not withdraw any of the money from the account.",7,Getting Mileage out of Your 401(K)
8,Getting Mileage out of Your 401(K),"  a.  How much money will you have  in your account after 1 year?   b.  How much will you have in your  account after 2 years?  c.  How much will you have in your  account after 5 years? 3.  Many companies offer a 401(k) account to help their employees save money for retirement. They often match at least part of their employees’ contributions. Suppose your salary is $40,000 per year.",8,Getting Mileage out of Your 401(K)
9,Getting Mileage out of Your 401(K),"  a.  Your company fully matches  employee contributions, up to a 6% employee contribution. You contribute 6% of your salary to your 401(k) account, and your employer matches it with another 6%. How much money (excluding interest) will be in your account after 1 year? How much money (excluding interest) will be in your account after 1 year if you contribute 8% of your salary?  from the September 2017 issue of",9,Getting Mileage out of Your 401(K)
10,Getting Mileage out of Your 401(K),"Edited by Hoyun Cho, Capital University in Columbus, Ohio; David B. Spangler, McGraw-Hill Education; and Katie A. Hendrickson, code.org, Seattle, Washington. Classroom teachers interested in field-testing or submitting a cartoon should contact Cartoon Corner at mtms@nctm.org. The cartoons must include the date and the newspaper syndicate that holds the copyright.",10,Getting Mileage out of Your 401(K)
11,Getting Mileage out of Your 401(K),"SOLUTIONS 1.  a.  A 401(k) is a retirement plan  whereby workers save money (as contributions) in an account for retirement. Generally, the employee pays no taxes on the contributions or on the income derived on the money until the money is withdrawn later in life. Many employers partially or fully match the contributions made by the employees. It is called a “401(k)” because the plan is defined in subsection 401(k) of the Internal Revenue Code.",11,Getting Mileage out of Your 401(K)
12,Getting Mileage out of Your 401(K),"you contribute 6%, the employer matches with another 6%. So your account will have a 12% contribution: 0.12 × $40,000.00 = $4,800.00. When you contribute 8%, your employer still contributes 6%. So your account will have a 14% contribution:  0.14 × $40,000.00 = $5,600.00.",12,Getting Mileage out of Your 401(K)
13,Getting Mileage out of Your 401(K),"b.  $3,600.00. When you contribute  6%, the employer contributes  50% of 6%, or 3%. So your acount will have a 9% contribution: 0.09 × $40,000.00 = $3,600.00.",13,Getting Mileage out of Your 401(K)
14,Getting Mileage out of Your 401(K),b.  Sample solution: 401K could also  be viewed as a “race” that is  401 kilometers (401K) long (as in a 10K race).  c.  1 km ≈ 0.621 mi.; 401 km ≈  249.021 mi. The number of miles was rounded to 250.,14,Getting Mileage out of Your 401(K)
15,Getting Mileage out of Your 401(K),"2.  a.  $1,020.00. Multiply $1,000.00 by  0.02 to obtain $20.00; then add $20.00 + $1,000.00 = $1,020.00. Or multiply $1,000.00 by 1.02, which is $1000.00 × (1.02) = $1,020.00.",15,Getting Mileage out of Your 401(K)
16,Getting Mileage out of Your 401(K),"4.  Answers will vary. It is a good idea to participate in a plan in which the employer makes a contribution because essentially the employer is giving you “free money.” It would be difficult to earn the “rate of return” the employer is providing anywhere else.  5. Joe will have about $24,674.39 more.  ",16,Getting Mileage out of Your 401(K)
17,Getting Mileage out of Your 401(K),"Joe:  12×40 12×30 ⎝⎜ ⎝⎜ ⎝⎜ ⎝⎜ ⎠⎟ ⎠⎟ $5,000 1 + 0.06 12 12×40 $5,000 1 + 0.06 = $5,000(1 + 0.005)480 12 ≈ $54,787.27 = $5,000(1 + 0.005)480 ≈ $54,787.27 $5,000 1 + 0.06 12 12×30 $5,000 1 + 0.06 = $5,000(1 + 0.005)360 12 ≈ $30,112.88 = $5,000(1 + 0.005)360 ≈ $30,112.88 ⎠⎟ ⎠⎟ b.  $1,040.40. Multiply the previous  year balance by 1.02, which is $1,020.00 × (1.02). Or $1000.00 × (1.02) × (1.02) = $1000.00 × (1.02)2 = $1,040.40.",17,Getting Mileage out of Your 401(K)
18,Getting Mileage out of Your 401(K),"Jamie: c.  $1,104.08. For the third year, multiply $1,040.40 by 1.02 or $1,000.00 × (1.02)3 to obtain $1,061.21. For the fourth year, multiply $1,061.21 by 1.02 or $1,000.00 × (1.02)4 to obtain $1,082.43. For the fifth year, multiply $1,082.43 by 1.02 or $1,000.00 × (1.02)5 to obtain $1,104.08. Answers may vary based on rounding.",18,Getting Mileage out of Your 401(K)
19,Getting Mileage out of Your 401(K),"3.  a.  $4,800.00; $5,600.00. When  $54,787.27 – $30,112.88 = $24,674.39",19,Getting Mileage out of Your 401(K)
20,Getting Mileage out of Your 401(K),"CHALLENGE 6. Sample answers:   1 year = $1,000.00 × 1.02;  2 years = $1,000.00 × (1.02)2;  3 years = $1,000.00 × (1.02)3;  4 years = $1,000.00 × (1.02)4;  5 years = $1,000.00 × (1.02)5; and  n years = $1,000.00 × (1.02)n.  ",20,Getting Mileage out of Your 401(K)
21,Getting Mileage out of Your 401(K),"Another solution: Apply the formula in question 5, where n = 1.",21,Getting Mileage out of Your 401(K)
22,Getting Mileage out of Your 401(K),FIELD-TEST COMMENTS,22,Getting Mileage out of Your 401(K)
23,Getting Mileage out of Your 401(K),I used this cartoon with my level 1 adult education math class. We had studied percentages fairly extensively before our Christmas break. I presented this activity as a review when they came back in January. ,23,Getting Mileage out of Your 401(K)
24,Getting Mileage out of Your 401(K),The majority of my students are ,24,Getting Mileage out of Your 401(K)
25,Getting Mileage out of Your 401(K),"English language learners, so I needed to make a few modifications. Since cartoons can be very challenging for my students, we did question 1 together. After projecting the cartoon on the board, we held a classroom discussion about what it meant. I do have a few native speakers who were able to share what they knew about a 401K account. Noting that the  250 miles was a distance measurement, I then asked whether anyone could think of a distance measurement that the K might stand for. ",25,Getting Mileage out of Your 401(K)
26,Getting Mileage out of Your 401(K),"Students worked independently or  in pairs on the remaining questions. The common error that students made with questions 2b and 2c was that they just wanted to multiply the interest from 2a by the number of years. We discussed the fact that we had a new balance after year 1, and they were able to take it from there. I modified the assignment by requiring only questions 1 through 4 be answered. Question 5 was a challenge for more advanced students. ",26,Getting Mileage out of Your 401(K)
27,Getting Mileage out of Your 401(K),"Although my students found this activity challenging, the majority were successful. A lot of class discussion and scaffolding occurred in the form of questions. I like the fact that the cartoon also introduced many students to new vocabulary. By the end of class, students were asking one another if their employers offered any such benefits.",27,Getting Mileage out of Your 401(K)
28,Getting Mileage out of Your 401(K),Heather Hoffer,28,Getting Mileage out of Your 401(K)
29,Getting Mileage out of Your 401(K),SouthWest Metro Intermediate District #288,29,Getting Mileage out of Your 401(K)
30,Getting Mileage out of Your 401(K),"Shakopee, Minnesota",30,Getting Mileage out of Your 401(K)
31,Getting Mileage out of Your 401(K),"My sixth-grade prealgebra students recognized the humor without understanding a 401K! They knew that the cartoon involved an investment opportunity, but they had little background knowledge. Students were amazed that employers would contribute and definitely saw the benefits of (as they put it) free money! ",31,Getting Mileage out of Your 401(K)
32,Getting Mileage out of Your 401(K),"Students worked with a partner to  calculate interest, see it compound, and compute the balance in an account from year 1 through year 5. As a class, we discussed what happened as students continued to find each successive year’s balance: $1,000.00 (1.02) and that answer multiplied by 1.02 and that answer by 1.02, eventually realizing that that they could multiply the $1,000.00 by 1.02 to the power of the number of years. ",32,Getting Mileage out of Your 401(K)
33,Getting Mileage out of Your 401(K),The formula for compound interest provided a fantastic opportunity to ,33,Getting Mileage out of Your 401(K)
34,Getting Mileage out of Your 401(K),OTHER IDEAS,34,Getting Mileage out of Your 401(K)
35,Getting Mileage out of Your 401(K),"Extend this Cartoon Corner with these ideas: •  For a Cartoon Corner dealing with linear measurement conversions  between U.S. customary and metric systems, see “ ‘Going Yard’ with Meters” in the August 2016 issue (pp. 12–14) of Mathematics Teaching in the Middle School.  •  For a Cartoon Corner dealing with temperature conversions, see “Math Warm-Ups on a Cold Day” in the February 2015 issue (pp. 328–30) of Mathematics Teaching in the Middle School.  •  An IRA is an individual retirement account. Compare and contrast a traditional IRA with a Roth IRA. Make a case for why a young person might be better off investing in one of those types of IRAs rather than in the other. •  Solve question 5 using a spreadsheet. Adjust the amounts deposited,  frequency of deposits, the interest rate, and years of saving to show various scenarios.",35,Getting Mileage out of Your 401(K)
36,Getting Mileage out of Your 401(K),review order of operations. Students used calculators and insisted that they entered data correctly. The importance of using parentheses to group terms became apparent. The students also  realized that the tool was only as good as the programmer!,36,Getting Mileage out of Your 401(K)
37,Getting Mileage out of Your 401(K),Judy Kraus,37,Getting Mileage out of Your 401(K)
38,Getting Mileage out of Your 401(K),Hyde Park Middle School,38,Getting Mileage out of Your 401(K)
39,Getting Mileage out of Your 401(K),"Las Vegas, Nevada",39,Getting Mileage out of Your 401(K)
40,Getting Mileage out of Your 401(K),NCTM Gives You More—,40,Getting Mileage out of Your 401(K)
41,Getting Mileage out of Your 401(K),"More Bene(cid:31) ts, More Value",41,Getting Mileage out of Your 401(K)
42,Getting Mileage out of Your 401(K),"Your passion is ensuring that your students receive the highest quality math education possible. NCTM provides a personalized, professional membership experience. We can help you— • discover new techniques and tools in the  mathematics education journal that (cid:31) ts your students’ education level; • inspire your students with  classroom-ready resources tailored to grade-band needs— elementary, middle, high school, elementary, middle, high school, and higher education; • enjoy readily available  professional development opportunities relevant to your career goals; and www.nctm.org www.nctm.org",42,Getting Mileage out of Your 401(K)
43,Getting Mileage out of Your 401(K),National Council of Teachers of Mathematics,43,Getting Mileage out of Your 401(K)
44,Getting Mileage out of Your 401(K),National Council of Teachers of Mathematics,44,Getting Mileage out of Your 401(K)
45,Getting Mileage out of Your 401(K),National Council of Teachers of Mathematics,45,Getting Mileage out of Your 401(K)
46,Getting Mileage out of Your 401(K),Fractions in in + Cut the Cake   p. 542 + Problem Performers or Problem Solvers?   p. 550,46,Getting Mileage out of Your 401(K)
47,Getting Mileage out of Your 401(K),Pinwheels,47,Getting Mileage out of Your 401(K)
48,Getting Mileage out of Your 401(K),Pinwheels p.532 p.532 p.532 • save up to 25% off professional  up to 25% off professional development and 20%–50% on development and 20%–50% on books and digital products.,48,Getting Mileage out of Your 401(K)
49,Getting Mileage out of Your 401(K),Learn More Today!,49,Getting Mileage out of Your 401(K)
50,Getting Mileage out of Your 401(K),Visit www.nctm.org/membership,50,Getting Mileage out of Your 401(K)
