__id__,__filename__,text,,
0,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,How many squares can be found on a typical 5  5 geoboard? Teachers who are unfamiliar with this question may wish to stop here and reflect a bit. The question can lead to wonderful student discourse: How can we tell if something is a square? Do we count squares that are the same size (but in a different location) or just different sizes? How do we know if squares are different sizes? How many squares are on an N N geoboard?,,
1,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Teachers who are familiar with this question, which is often used to promote open-ended investigations, may think of what we call usual squares because they all have vertices on the pegs, such as in figure 1. Note that only single, isolated geoboards are being considered throughout this article; we are not using connected geoboards, which can be created by combining separate geoboards.",,
2,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Much has been written about usual squares (fig. 1), which have vertices on the pegs (Mooney and Bair 2012; Bennett, Burton, and Nelson 2007; Speck 1979). This article, however, explores what can happen when teachers encourage students to take the reins of a planned investigation and lead it somewhere unexpected. That is what happened after Monique, a student fiddling with rubber bands and a geoboard, held up the example shown in figure 2 and asked, What about squares like this?",,
3,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"When this scenario occurred in author Matthew Ciancettas class with eighth graders, many thoughts ran through his mind:",,
4,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"No, we dont want those. I dont even know if there are any squares there.We want the vertices of the squares to be on the pegs. Didnt I say that? That wasnt part of my lesson plan.  I was aiming for a different diagram [shown in fig. 1].",,
5,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Despite the fleeting thoughts about a lesson going somewhere unplanned, Ciancetta elicited clarification from Monique to learn that what she was interested in were the quadrilaterals formed by her intersecting rubber-band line segments. The class was then encouraged to add Moniques ideas to the list of allowable possibilities. As teachers, we know that one of the many joys of our profession is encouraging students to explore mathematics, often leading to new and unexpected questions.",,
6,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"All three authors have spent time exploring what we are calling Off-the-Peg (OTP) squares with classes of middle school students as well as with preservice middle school teachers. In this article, we will showcase what students meant by OTP squares and how they redefined what it meant to ask, How many squares of differing sizes really can be found on a typical  5  5 geoboard? Along the way, we will profile some insights we gleaned from students about what it really means to do mathematics as they progressed in investigating their  redefined question.",,
7,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Easing Into The Task: What We Did,,
8,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"We have taught this OTP square investigation in eighth-grade and ninth-grade classrooms as well as in university classes with preservice teachers while looking at models for measurement of area and length. For instance, in the three sets of squares in figure 1, (a) illustrates various uses of a 1  1 square unit; (b) and (c), which students called tilted squares, invoke side lengths having an irrational measure (NCTM 1999). Our students already knew how to obtain a squares area from its side length (and vice versa), and so the class consensus was to classify two squares as different simply if they had different side lengths or areas. They then focused their investigation on finding squares with different side lengths and not on orientation or placement.",,
9,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"After the students progressed in finding squares, we used this prompt if a student had not already raised it: Are there any other squares that can be made on a 5  5 geoboard just by using the rubber bands? We used that phrasing because when students start making polygonal shapes on a geoboard, many of them automatically put all the vertices on the pegs, even without being directed to do so. Some students, like Monique, use rubber bands as segments from peg to peg, creating shapes from intersecting segments. Can any squares be seen lurking within those created shapes?",,
10,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Exploring on the Physical Geoboard,,
11,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"We can usually count on at least one student producing a geoboard resembling figure 2, which we use as a springboard to discuss OTP squares. Taken from a compilation of classes, here is an example of the kind of dialogue that ensued:",,
12,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"After a short discussion addressing Jens question, the class agreed that anything was fair as long as it was formed on a single 5  5 geoboard with rubber bands stretched from peg to peg. In this sense (using rubber bands as segments and pegs as endpoints), a square might emerge having any or all of its vertices off-the-pegs. With this clarification, the class began covering their geoboards with rubber bands, looking for shapes that they suspected might be squares. Because so many possible squares seemed to emerge, we handed out copies of a 5  5 geoboard paper template to help students record what they were doing.",,
13,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Recording Thinking on a Paper Template,,
14,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"After we saw a variety of ideas for OTP squares (or what might turn out to be squares), we put the paper templates on a document camera and asked students to discuss their thinking. In reflecting on figure 3, discourse typically progressed with questions from the class and prompts from the teacher:",,
15,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"The class at that point had made a reference to needing 90 degree angles to be a square, so we talked about how to check that on a geoboard. As teachers, we considered our students algebraic knowledge as we processed the notion of perpendicular segments having slopes that were negative reciprocals of one another. In some classes, simply talking in general terms about the slopes seemed to be enough to satisfy students:",,
16,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"After a self-correction (she was counting 5 dots in one direction and 2 spaces in another direction), Jamie reconnected her earlier notions of perpendicular lines to identify slopes of 2 and 1/2. Accepting and using the style of language and analysis that they had used for the tilted usual squares of figure 1, students convinced themselves of the perpendicularity of sides (or lack thereof) of the quadrilaterals in figure 3.",,
17,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Moving to a Dynamic Software Environment,,
18,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"At this point, we had many examples of quadrilaterals with 90 degree  interior angles, and all had at least one OTP vertex (see fig. 4). However, how could we check them for congruent side lengths?",,
19,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Students input generally varied according to their prerequisite knowledge and the kinds of tools they had already used:,,
20,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Rick: We could measure with a ruler.,,
21,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Beng: How about using a compass [as dividers]?,,
22,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Eva: Cant we use Sketchpad [The Geometers Sketchpad]?,,
23,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"We knew that we could help steer this situation in different directions and realized that a discussion of approximation and precision might be useful in responding to Rick and Beng, for instance. For classes in which a tie-in to coordinate geometry was appropriate, it might have made sense to move this part of the investigation so that more algebra emerged. Yet the basic mathematical structure and questioning would be the same, whether we used algebra or software: Find the points of intersection of two pairs of segments, and then find the distance between those two points. Also, teachers interested in having their classes apply congruent triangle theorems can find interesting ways of testing for side-length congruency. (See one example in fig. 5.)",,
24,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Thus, we underscore that although it is unnecessary to use dynamic software to check for congruent side lengths (because other techniques are possible), this article highlights part of a classs journey to find and verify OTP squares using Sketchpad. As an example of an appropriate use of technology, our students were comfortable in using a software tool to expedite their goal of finding, verifying, and classifying squares. Whether a class uses coordinate geometry and algebra, geometric theorems about congruency or any other method of checking side-lengths depends largely on the teacher.",,
25,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Because all of our classes could explore this on laptops and were familiar with dynamic geometry software, we went with Evas suggestion and used Sketchpad. Before bringing out the laptop cart, we had the class clearly list what we were looking for, which led to the redefined task being made explicit by the students themselves. Here is an example of a typical classs clarification of guidelines for using software to simulate and investigate:",,
26,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,How many squares of different sizes can you find on a 5  5 geoboard?,,
27,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,1. You have to keep the rubber bands on the geoboard.  This means,,
28,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,a. you can only connect  peg-to-peg segments; and,,
29,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,b. you can use any of the  25 pegs you see.,,
30,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,2. If you see something you think might be a square,,
31,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,a. you have to check for right angles; and,,
32,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,b. you have to check for  congruent sides.,,
33,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"3. Make a note of how many  OTP vertices it can have,  if it is a square.",,
34,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,4. Put the square on the list only if it has an area not already listed.,,
35,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,Summarizing The Findings and Extending The Task,,
36,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"As students eagerly took their collection of paper templates (where they had drawn many candidates for OTP squares) to Sketchpad, we realized that this investigation was getting big, and fast. By that we mean that while students were confirming or eliminating squares, more questions were being asked by both students and teachers. One question, prompted by author Stephen Blair, was this: How can we classify the different OTP squares?",,
37,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Among the suggestions from students was an idea that involved the slopes of the segments used for the sides. By this time, students were generally open to using the negative reciprocal notation. In fact, the notion of a slope family of lines became common in one class: Figure 6 depicts the (2 and 1/2) slope family, in which every possible segment connecting two pegs has either a slope of (2) or (1/2).",,
38,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"In several classes, something analogous to the idea of slope family arose, and a diagram similar to figure 7 was discussed in terms of the possible slope families that existed on a 5  5 geoboard:",,
39,Going Off-the-Pegs_ Revisiting Geoboard Squares - National Council of Teachers of Mathematics,"Note that in figure 7, the horizontal segment could represent a slope family such as (0, N/0) or (0, undefined). However, students understood that this particular slope family contained only 4 usual squares (having all vertices on the pegs), and they had already analyzed and counted all usual squares (suggested by fig. 1) in prior work.",,
