__id__,__filename__,text,,
0,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Many current and future teachers have little experience with modeling and how to integrate it into their teaching. However, with the introduction of the Common Core State Standards for Mathematics   (CCSSM) and its emphasis on mathematical modeling in all grades (CCSSI 2010), this integration has become paramount. Therefore, middle-grades teachers must work to lay the groundwork for modeling, which must then continue into high school.",,
1,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"In this article, we describe a unit designed to introduce modeling to prospective teachers (referred to in this article as students) and consider how this unit can illuminate classroom practice. We focus on one problem, the Water Conservation task, which is also well suited for use with middle school students. Because the reasoning and judgment demanded by the modeling process applies at all grade levels, we believe that this type of experience can further the process of mathematical modeling in the middle school classroom. Through teaching students and sharing our experiences, we wish to bring a clearer understanding of mathematical modeling to professional developers; practicing teachers; and, ultimately, students in the classroom.",,
2,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,OVERVIEW OF THE   MODELING UNIT,,
3,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"In this unit, we wanted to (1) advance the students understanding of the modeling process, keeping in mind what will be expected of them as future teachers; and (2) better understand the evolution of students views of modeling to provide information for future work in teacher education and professional development.",,
4,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"The three-week unit was designed for an introductory mathematics education course for preservice secondary teachers. Before and after the unit, we gave the sixteen students in the course a questionnaire asking them to define modeling, to explain what it would look like in middle school and high school, and to consider its relationship to word problems and to real life. The unit involved a series of three mathematical tasks: The Car Wash problem (NCTM 2005, p. 17), The Cell Phone problem (Anhalt and Cortez 2015), and the Water Conservation problem (Anhalt 2014). Along with each problem, students reflected on the modeling cycle in relation to the tasks. In designing the tasks, our goal was to focus on the role of making assumptions and how the assumptions affect the model created.",,
5,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Modeling helps learners develop habits of mind. When they are connecting mathematics to real-world situations, learners must consider the assumptions being made about the specific context and how these assumptions can be translated into mathematics. Modeling also provides opportunities to engage in other mathematical practices, such as persevering in problem solving, developing precision in language and mathematical models, and making mathematical arguments (Koestler et al. 2013). In this article, our focus on the Water Conservation task considers how students can engage in the process of modeling and how it can be implemented in the classroom.",,
6,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,WHAT IS MATHEMATICAL MODELING?,,
7,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Several interpretations of the word model are described in Principles and Standards for School Mathematics (NCTM 2000) and occur in mathematics education. Two views were commonly held by the students. Several students referred to physical materials with which students work in schoolmanipulative models (NCTM 2000, p. 70). For example, one student commented that modeling can be done in a middle or high school in different ways. For instance using block tiles to solve simple algebraic equations. Other students interpreted modeling as if it were roughly synonymous with representation (NCTM 2000, 70); for instance, stating that modeling involved using graphs, charts, physical models, equations, and many other things to represent the mathematical content they are learning.",,
8,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Neither of these views represents mathematical modeling as defined in CCSSM or Principles and Standards. The views above involve starting with a mathematical concept and representing it in multiple ways, such as with physical manipulatives, graphs, or pictures. Mathematical modeling generally runs in the opposite direction: One begins with a real-world phenomenon, determines how mathematical concepts can be used to understand the phenomenon, and returns to the original phenomenon. Modeling involves a multistep and iterative process, called the modeling cycle, which is illustrated in figure 1.",,
9,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,,,
10,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,What Does CCSSM Say about Modeling?,,
11,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Mathematical modeling is both the fourth Standard for Mathematical Practice, intended to span all grade levels (CCSSI 2010, p. 7), and a conceptual category in the high school grades (pp. 7273). Modeling involves the following:",,
12,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"Another major theme in the students viewsthat modeling involves real-world problemsshowed indications of this perspective, with one student writing that modeling involved using mathematical concepts to look at, interpret, and solve real-life, tangible problems. However, despite considering the use of mathematics for understanding real-world problems, the students primarily gave examples of relatively simple application problems that would not require making and revisiting assumptions, which is a central feature of the modeling process. Although modeling could be misinterpreted as an application problem to be done only after a mathematical concept has been taught, it is important to recognize that modeling can also be one way for students to learn new mathematics (Lesh and Harel 2003; Koestler et al. 2013).",,
13,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,THE WATER   CONSERVATION TASK,,
14,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"The Water Conservation task (see fig. 2) involves finding a method for determining whether taking a shower or bath uses more water. The problem requires learners to identify needed information and to fill in this information through online research or by making reasonable assumptions. This problem was assigned as homework, and students were instructed to use appropriate resources and to come to class prepared to discuss their work. However, we encourage teachers to use this task in the classroom, so that they can provide greater support to students throughout the modeling process.",,
15,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,,,
16,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,Analyzing the Situation and   Making Assumptions,,
17,Going with the Flow_ Challenging Students to Make Assumptions - National Council of Teachers of Mathematics,"We have learned to be explicit about the purpose of modeling. For instance, in this task we wish to explain clearly that a model may be developed to help consumers make decisions about whether to shower or bathe. The reason for this decision is that an environmental group may want to create public awareness about saving water or an apartment complex manager may need to decide what kinds of showerheads to install. Clarifying these goals helps guide learners as they engage in the modeling process. Therefore, we recommend having a class discussion about the possible reasons for engaging in this task and selecting one reason before moving forward. In addition, although this context is likely familiar to most students, they should have an opportunity to ask clarifying questions to ensure that they have enough background knowledge before moving on. Prompts such as What information do you need to determine how much water is used during a shower? and What do you need to know to figure out how much water a bath consumes? can guide students in unpacking the context.",,
