__id__,__filename__,text,__id__,__filename__
0,Hes Got All the Answers,cartoon corner,0,Hes Got All the Answers
1,Hes Got All the Answers,Name ______________________________,1,Hes Got All the Answers
2,Hes Got All the Answers,Frazz by Jef Mallett,2,Hes Got All the Answers
3,Hes Got All the Answers,T.,3,Hes Got All the Answers
4,Hes Got All the Answers,T.,4,Hes Got All the Answers
5,Hes Got All the Answers,HE’S GOT ALL THE ANSWERS 1.  Write a word problem that  involves 2 operations and has an answer of 6.,5,Hes Got All the Answers
6,Hes Got All the Answers,"2. The symbol Ø stands for the  empty set, a set that contains no elements. Indicate all choices below that do not represent the empty set.",6,Hes Got All the Answers
7,Hes Got All the Answers,4. Joey said that when you are in your teen years you are in the prime of your life because four of your ages during that time are prime numbers.,7,Hes Got All the Answers
8,Hes Got All the Answers,"  a.  What four prime numbers occur  during the teen years? 5. A person travels for 1 hour, and then stops for 10 minutes. The person then travels for 2 hours, stops for 10 minutes; travels for 3 hours, stops for 10 minutes; and travels for 1 more hour. The entire trip is 357 miles. What is the  person’s average rate of speed while traveling?   A.  0   B.  {0}   C.  { }   D.  Ø   E.  {Ø} 3. Indicate all choices below that are examples of the associative property.",8,Hes Got All the Answers
9,Hes Got All the Answers,  A. a + b = b + a   B. a + (b + c) = (a + b) + c   C. a(b + c) = ab + bc   D. a(bc) = (ab)c   E. (a + b) + c = a + (b + c)   F.  (a + b) + c = c + (a + b)   b.  When is the next decade (such as the 30s or 40s) when there will be 4 prime numbers? What are those prime numbers? 6.  Multiple choice: A circle has  a radius of 7. What is its approximate circumference?   A.  7   B.  42   C.,9,Hes Got All the Answers
10,Hes Got All the Answers,  D.,10,Hes Got All the Answers
11,Hes Got All the Answers,64 r2 from the November/December 2017 issue of,11,Hes Got All the Answers
12,Hes Got All the Answers,"Edited by Hoyun Cho, Capital University in Columbus, Ohio; David B. Spangler, McGraw-Hill Education; and Katie A. Hendrickson, Code.org, Seattle, Washington. Classroom teachers interested in field-testing or submitting a cartoon should contact Cartoon Corner at mtms@nctm.org. The cartoons must include the date and the newspaper syndicate that holds the copyright.",12,Hes Got All the Answers
13,Hes Got All the Answers,"SOLUTIONS 1.  Answers will vary, but they should be in the form of word problems, not two-step equations.",13,Hes Got All the Answers
14,Hes Got All the Answers,"2.  The following do not represent the empty set: A. The number 0 is an element; B. The symbol {0} is a set that contains the number 0, so it is not empty; and E. This is a set that contains the symbol Ø.",14,Hes Got All the Answers
15,Hes Got All the Answers,"3.  B, D, and E. B and E are examples of the associative property of addi-",15,Hes Got All the Answers
16,Hes Got All the Answers,FIELD-TEST COMMENTS,16,Hes Got All the Answers
17,Hes Got All the Answers,"This cartoon was used as a wholegroup discussion with gifted seventhgrade and eighth-grade students and with general education eighth-grade students during a study skills period. I was surprised how many students solved question 1 by providing twostep equations instead of word problems with two operations. These students were mostly eighth graders who advanced into algebra 1. None of my students were familiar with the empty set symbol, but surprisingly fifteen out of seventeen students answered the question correctly after a brief discussion about 0 not meaning the set is empty but containing a data value of 0. We had a lengthy discussion about the “teen years” and decades question, mostly because the students did not consider the age of 11 to be a “teen year.” In addition, my students wanted to stop at the 90s decade and concluded that there is not another decade with four prime numbers. They stated that the 100s starts a new century.",17,Hes Got All the Answers
18,Hes Got All the Answers,Samantha Kelecava Lordstown Jr./Sr. High School,18,Hes Got All the Answers
19,Hes Got All the Answers,"Lordstown, Ohio",19,Hes Got All the Answers
20,Hes Got All the Answers,I teach two classes of eighth-grade math and two classes of advanced high school Math I classes to eighth graders.  tion; D is an example of the associative property of multiplication.  A and F are examples of the commutative property of addition. C is an example of the distributive property of multiplication over addition.,20,Hes Got All the Answers
21,Hes Got All the Answers,"4.  a.   11, 13, 17, 19   b.    The first decade in the 100s  (ages 100–109) contains  four prime numbers. They are  101, 103, 107, and 109.",21,Hes Got All the Answers
22,Hes Got All the Answers,"5.  51 miles per hour. The person  traveled 357 miles during 7 hours of actual travel. Entering the values into the formula d = rt produces 357 = r(7). So, r = 51.",22,Hes Got All the Answers
23,Hes Got All the Answers,6. 42. A circle with a radius of 7 has a diameter of 14. A quick estimate for π is 3. Entering 3 for π and 14 for d in the formula C = πd produces C = 3(14). So C = 42. The other possible answers are not close to 42.,23,Hes Got All the Answers
24,Hes Got All the Answers,"I used “He’s Got All the Answers” following a test for each class. Since we were approaching the end of the school year and review time, I thought this would be a great assignment for the class to review skills previously learned. Students were asked to review the sheet and to complete it as best they could individually while others finished their assessments. Then students were asked to work with a partner and rationalize their answers. Were their answers similar or different? Why? ",24,Hes Got All the Answers
25,Hes Got All the Answers,"During the paired review of  answers, I circulated to listen to the discussions. All classes, including my inclusion class, resource class, and advanced classes, were engaged in great conversations using a variety of academic language. The students really enjoyed creating their own word problems for question 1 and enjoyed sharing them even more. Students showed creativity and used a lot of humor in their writing, which I found unexpected. They enjoyed it so much that I asked them to switch partners again to listen to others’ word problems. Then, when I asked for them to share with the class, they had to choose the ones they liked the best. It was great to see students use a variety of skills, such as taking the square root. One student even included scientific notation. ",25,Hes Got All the Answers
26,Hes Got All the Answers,"Many of my students had no idea what an empty set was for question 2. Nonetheless, they engaged in some very productive conversations and worked collaboratively to rule out C and D. Many had chosen E as an answer; however, for never being exposed to empty sets, they did very well coming to a conclusion using what they already knew and applying it to this question. Question 3 was a great review for students. Much discussion occurred while students tried to recall different properties. A lot of academic discourse involved such terms as associative  property, distributive property, and  commutative property. During the review of the answers, students in all classes were able to generate a description of each property and relatable words to help others understand the terms better. One student stated that the associative property meant grouping. He said, “When my mom says to not associate with someone, that means I can’t be part of their group.” Another student said that commutative means to move, like when his dad “commutes” to his job in another city each day; his path home is the opposite of his commute to work. ",26,Hes Got All the Answers
27,Hes Got All the Answers,"My advanced students did not  struggle at all with the first part of question 4, but they had some issues with  the second part. Many eventually figured it out, but there were many debates and explanations when we reviewed the answers. Students who understood how to identify multiples of 3 helped others identify them. Several classes of students worked together in pairs to review prime and composite definitions. Many had a harder time with (b) so I gave them extended time to work on it. I also assigned them decades when I saw that they were spending too much time on the problem. This activity helped them gain a better understanding because they started to notice patterns. ",27,Hes Got All the Answers
28,Hes Got All the Answers,"There was a lot of debate around question 5. By the time students got to this problem, many had noticed that the answers were at the top of the cartoon. Therefore, although they knew the answer, they still had to explain it. My advanced students who did not initially have the correct answer worked backward until they ",28,Hes Got All the Answers
29,Hes Got All the Answers,OTHER IDEAS,29,Hes Got All the Answers
30,Hes Got All the Answers,"Extend this Cartoon Corner with these ideas: •  Have students figure out which of the answers in the cartoon was not  used in some manner in this Cartoon Corner. (The answer is the triangle with sides labeled a, b, c.) •  Have students predict the number of items that they would expect to answer correctly by guessing each answer on a 20-item test that is—   1. a true-false test;   2. a multiple-choice test with four possible answers per item; and   3. a multiple-choice test with five possible answers per item.",30,Hes Got All the Answers
31,Hes Got All the Answers,"•  For a Cartoon Corner addressing probabilities related to guessing  answers on a test, see “How Not to Be a Whiz on a Quiz” in the May 2015 issue of Mathematics Teaching in the Middle School.",31,Hes Got All the Answers
32,Hes Got All the Answers,"could give their explanation. Students debated about which numbers should be included and then how to find the answer. Students were trying to overthink question 5, with some reading it and interpreting what was needed to solve it. I liked this problem the best  perhaps because students were required to think and use a variety of skills that they struggle with, such as reading and comprehending a word problem. ",32,Hes Got All the Answers
33,Hes Got All the Answers,Amanda Allen,33,Hes Got All the Answers
34,Hes Got All the Answers,Jacksonville Commons Middle School,34,Hes Got All the Answers
35,Hes Got All the Answers,"Jacksonville, North Carolina",35,Hes Got All the Answers
36,Hes Got All the Answers,Take Your Teaching to the Next Level,36,Hes Got All the Answers
37,Hes Got All the Answers,NEW SERIES | Taking Action,37,Hes Got All the Answers
38,Hes Got All the Answers,"MARGARET SMITH, SERIES EDITOR",38,Hes Got All the Answers
39,Hes Got All the Answers,NCTM’s newest series builds on the practice-based approach and eight effective mathematics teaching practices presented in Principles to Actions (2014) and the subsequent Principles to Actions toolkit (nctm.org/ptatoolkit/). ,39,Hes Got All the Answers
40,Hes Got All the Answers,"The Taking Action series includes three grade-band books: K–grade 5, grades 6–8, and grades 9–12. Each book presents a coherent set of professional learning experiences, with the specific goal of fostering teachers’ development of the effective mathematics teaching practices. The books also give connections to resources in research and equity, with special attention given to issues of equity, access, and identity.",40,Hes Got All the Answers
41,Hes Got All the Answers,NEW | Taking Action: Implementing Effective Mathematics Teaching Practices in K–Grade 5,41,Hes Got All the Answers
42,Hes Got All the Answers,"BY DEANN HUINKER, VICTORIA BILL, AND MARGARET SMITH ©2017, 314 pages     ISBN 978-0-87353-969-2 Stock #15187 List Price: $37.95 | Member Price: $30.36",42,Hes Got All the Answers
43,Hes Got All the Answers,"NEW | Taking Action: Implementing Effective Mathematics Teaching Practices, Grades 6–8",43,Hes Got All the Answers
44,Hes Got All the Answers,"BY MARGARET SMITH, MICHAEL STEELE, AND MARY LYNN RAITH ©2017, 240 pages   ISBN 978-0-87353-975-3  Stock #15200  List Price: $37.95 | Member Price: $30.36 ",44,Hes Got All the Answers
45,Hes Got All the Answers,"NEW | Taking Action: Implementing Effective Mathematics Teaching Practices, Grades 9–12",45,Hes Got All the Answers
