__id__,__filename__,text,,
0,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,Calvin and Hobbes by Bill Watterson,,
1,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,,,
2,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"1. What is Calvin’s math homework problem, and what is the answer?",,
3,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"2. a. In the second panel, what is another word for the diagonal in Hobbes’s drawing?",,
4,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"b. In the second panel, Hobbes says, “So we’ll draw a square and make this side 6 and that side 3.” What geometric error did he make in that sentence?",,
5,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"3. In the second panel, Hobbes calls the answer to the homework problem Y. Is Y a square number? Explain.",,
6,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"4. In the fourth panel, Calvin said, “But this diagonal is just a little under two.”",,
7,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,a. Explain how Calvin may have determined this number from the diagram drawn in the  second frame.,,
8,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,b. Is he correct? Explain why or why not.,,
9,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"5. Calvin and Hobbes are at  the back-left corner of a  160 ft. × 360 ft. football field (including end zones). Looking out across the field, Calvin says, “Let’s race to the back-right  corner of the other end zone.”      Calvin’s speed is 14 ft./sec.    Hobbes’s speed is 16 ft./sec.   Hobbes agrees and says, “OK. I’ll run along the sidelines, and you run diagonally across the field from this corner to the other. That should make it a closer race.” Who wins the race and by how much?",,
10,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,"6.  A triathlon is a race with three events: swimming, bicycling, and running. The person with the fastest combined time for all three events is the winner. Calvin and Hobbes are competing in a triathlon with a 2-kilometer swim and an 8-kilometer run. The course is the shape of a right triangle.",,
11,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,,,
12,How Did Pythagoras Get into Calvins Homework_ - National Council of Teachers of Mathematics,a. How long is the biking part of the course? Round to the nearest hundredth of a kilometer.,,
