__id__,__filename__,text,__id__,__filename__
0,How Did the Answer Get Bigger?,How Did the Answer Get,0,How Did the Answer Get Bigger?
1,How Did the Answer Get Bigger?,Bigger? wWhen students begin work with frac-,1,How Did the Answer Get Bigger?
2,How Did the Answer Get Bigger?,"Developing number and operation sense associated with fraction division is viewed from multiple perspectives: modeling, equivalence, and symbolism.",2,How Did the Answer Get Bigger?
3,How Did the Answer Get Bigger?,"Debra I. Johanning and James D. Mamer tion division in fi fth grade or sixth grade, they bring with them experiences from whole-number division. Consider a statement made by a sixth grader during a discussion of the problem 12 ÷ 3/4. Together the students and their teacher were drawing a picture to determine how many 3/4 were in 12 (see fi g. 1). Finding how many groups of a particular size (3/4) are in an initial quantity (12) is the measurement interpretation of division. When the class arrived at the solution 16, or that 16 groups of 3/4 were in 12, a dismayed student said, “No offense, but how did the number get bigger?”",3,How Did the Answer Get Bigger?
4,How Did the Answer Get Bigger?,"Many students think that a division problem should lead to a quotient that is smaller than the dividend. It is also common for students to believe that the dividend should be larger than the divisor. Many, if not most, of the whole-number division problems that students have worked with are of the form 15 ÷ 5 = 3 or 666 ÷ 18 = 37, where “division makes smaller.” When students begin to study fraction division, it is important that their understanding of division is expanded to address why it is possible to divide two numbers and fi nd a quotient that is larger than either dividend or divisor.",4,How Did the Answer Get Bigger?
5,How Did the Answer Get Bigger?,"Supporting students to develop  effi cient procedures for fraction division, although important, should not be the only goal. Instruction should also support the development of ",5,How Did the Answer Get Bigger?
6,How Did the Answer Get Bigger?,Bigger?,6,How Did the Answer Get Bigger?
7,How Did the Answer Get Bigger?,"With fractions, number sense includes understanding  magnitude or the size of an individual fraction in  relation to a whole and in relation to other fractions.",7,How Did the Answer Get Bigger?
8,How Did the Answer Get Bigger?,"number and operation sense. Fraction magnitude is a prerequisite for developing such number sense and operation sense (Behr et al. 1984). With fractions, number sense includes understanding magnitude or the size of an individual fraction in relation to a whole and in relation to other fractions. With fraction division, understanding what a reasonable quotient might be involves being able to compare the magnitude of the dividend with the magnitude of the divisor when the operation of division is carried out. This article will explore both modeling and equivalence as reasoning tools to support students’ developing number sense and understanding of the measurement interpretation of fraction division.",8,How Did the Answer Get Bigger?
9,How Did the Answer Get Bigger?,MeasUreMent division and Modeling,9,How Did the Answer Get Bigger?
10,How Did the Answer Get Bigger?,Modeling is a central instructional component that can help students build an understanding of fraction division. Cramer et al. (2010) asked sixth graders to solve fraction measurement division problems by drawing pictures before they had been exposed to an algorithm for fraction division. Their images illustrated that students were modeling the same ideas that formed the basis of the common denominator algorithm for fraction division.,10,How Did the Answer Get Bigger?
11,How Did the Answer Get Bigger?,"Problem-solving situations that lead to developing diagrams or constructing physical models with manipulatives engage students in exploring mathematical ideas and forming mental images about those ideas (Petit, Laird, and ",11,How Did the Answer Get Bigger?
12,How Did the Answer Get Bigger?,Fig. 1 Examining 12 ÷ 3/4 = 16 can begin the discussion about why dividing with fractions can result in a number that is larger than the starting value.,12,How Did the Answer Get Bigger?
13,How Did the Answer Get Bigger?,10 11 12 wholes 9 10 11 12 13 14 15 16 sets of 3/4,13,How Did the Answer Get Bigger?
14,How Did the Answer Get Bigger?,Fig. 2 These measurement division problems involve pairs of fractions with a common denominator.,14,How Did the Answer Get Bigger?
15,How Did the Answer Get Bigger?,"For each situation, you need to draw a model to help explain your thinking.",15,How Did the Answer Get Bigger?
