__id__,__filename__,text,,
0,How Many in One_ - National Council of Teachers of Mathematics,"Fraction division is one of the least understood operations in school mathematics (Van de Walle, Karp, and Bay-Williams 2010). However, just having knowledge of the invert-and-multiply algorithm does not guarantee that students will recognize a problem situation involving fraction division. The National Research Council (2001) recommends teaching fraction division within a real-world context to enable students to build connections between whole number operations and division by fractions.",,
1,How Many in One_ - National Council of Teachers of Mathematics,The Common Core State Standards for Mathematics (CCSSM) calls for students to connect their understanding of division by whole numbers to division by unit fractions (grade 5) and ultimately to use the inverse relationship between multiplication and division to divide by any fraction (grade 6) (CCSSI 2010). The Common Core also emphasizes students ability to solve word problems involving division by fractions.,,
2,How Many in One_ - National Council of Teachers of Mathematics,"We used the context of serving pizza to a crowd of people to help prospective elementary school teachers understand fraction division. Students worked with pizza models and drew diagrams to show how many thirds are in 1 or more pizzas and then applied proportional reasoning to determine the number of servings in 50 pizzas. To connect the process of determining how many thirds are in a given number to the operation of division, we reminded students that division can be modeled as measuring how many groups of the divisor are in the dividend. For example, to find the quotient of 15  3, we count the number of groups of 3 that are in 15. Similarly, division by 1/3 involves counting how many thirds are in the dividend. Students were asked to consider how they could use the unit rate (how many one-thirds are in 1 whole) to find additional quotients. For example, knowing that 1 whole has 3 of the thirds (1  1/3) tells us that 2 wholes will have twice as many. Therefore,",,
3,How Many in One_ - National Council of Teachers of Mathematics,,,
4,How Many in One_ - National Council of Teachers of Mathematics,,,
5,How Many in One_ - National Council of Teachers of Mathematics,"When the divisor is a unit fraction, the denominator tells us the number of groups in 1 whole, or the unit rate in terms of the divisor, which leads to the general rule that",,
6,How Many in One_ - National Council of Teachers of Mathematics,,,
7,How Many in One_ - National Council of Teachers of Mathematics,,,
8,How Many in One_ - National Council of Teachers of Mathematics,"(Sowder, Sowder, and Nickerson 2013). Next, we considered the nonunit divisor 3/8. Using fraction circles, students found 2 2/3 groups of 3/8 in 1 unit pizza (see fig. 1). Rewriting  that answer as an improper fraction allowed students to see that the number of servings of size 3/8 in 1 whole pizza, or unit rate of the divisor, 8/3, is actually the reciprocal of the divisor 3/8. Students then used the unit rate to find other quotients since any number of pizzas will have 8/3 times as many servings as 1 whole pizza (a a /b = a b /a because1  a /b = b /a). These explorations led our students to a deeper understanding of fraction division, as well as the invert-and-multiply algorithm. See Cavey and Kinzell (2014) for a comprehensive discussion of developing the invert-and-multiply algorithm using the idea of unit rates.Fig. 1 The shaded regions show two groups of 3/8 in one unit circle. The unshaded regions represent 2/3 of another group of 3/8.",,
9,How Many in One_ - National Council of Teachers of Mathematics,,,
10,How Many in One_ - National Council of Teachers of Mathematics,TEACHER INSTRUCTIONS,,
11,How Many in One_ - National Council of Teachers of Mathematics,"Plan on using two 45-minute class periods to complete both activities that are provided in this exploration. Our prospective teachers completed these activities in small groups, thus providing opportunities for peer discussion. Each group should have access to several sets (34) of fraction circles. You can easily cut fraction circles out of foam or construction paper if you have access to a die-cut press. We used a commercially produced pizza game, which added an element of realism to the activity.",,
12,How Many in One_ - National Council of Teachers of Mathematics,Launch,,
13,How Many in One_ - National Council of Teachers of Mathematics,"Begin the activity by reminding students what they already know about whole-number division. Introduce a context and ask students to think about division as an equal-sharing situation or as a repeated-subtraction scenario (measurement). For example, consider the context of serving 6 cookies to some students. If there are two students, each student will receive 3 cookies each. In this equal-sharing situation represented by 6  2, the divisor, 2, tells us the number of groups to make; the quotient, 3, represents the size of each serving (group). However, suppose we wish to give each student 2 cookies. To how many students can we serve cookies if we only have 6 cookies? The division problem, 6  2, now becomes a measurement situation in which the divisor gives us the size of each serving (2 cookies) and the quotient tells us how many servings we can make (3 groups of size 2). Ask students to draw pictures to represent how many servings of size 2 they could make if they started with 9 cookies. They should find that they can make 4 servings of 2 cookies and have 1 cookie leftover. The remaining cookie is enough to make 1/2 serving of size 2, so we have 2 1/2 servings. Gregg and Gregg (2007) provide additional activities on measurement and servings of cookies.",,
14,How Many in One_ - National Council of Teachers of Mathematics,Activity 1,,
