__id__,__filename__,text,__id__,__filename__
0,If Only Clairaut Had Dynamic Geometry Tools,iF onlY claiRaUt had dYnaMic geoMetRic tools,0,If Only Clairaut Had Dynamic Geometry Tools
1,If Only Clairaut Had Dynamic Geometry Tools,Using Clairaut’s historic-genetic approach and dynamic geometry tools in middle school can develop students’ conceptual understanding before they encounter formal proof in geometry. ,1,If Only Clairaut Had Dynamic Geometry Tools
2,If Only Clairaut Had Dynamic Geometry Tools,"Hyewon Chang and Barbara J. Reys ggGeometry is a major area of study in  middle school mathematics, although it typically receives far less attention than topics such as algebra and rational numbers. In fact, middle school and secondary students have diffi culty learning important geometric concepts although these concepts are a much more visible part of their daily lives than algebra. Some conjecture that students experience diffi culty learning school geometry and connecting it to everyday geometry because of the premature focus on rigorous and formal proof before meaningful conceptualization of key ideas (Battista 2009). ",2,If Only Clairaut Had Dynamic Geometry Tools
3,If Only Clairaut Had Dynamic Geometry Tools,In the geometry strand of the ,3,If Only Clairaut Had Dynamic Geometry Tools
4,If Only Clairaut Had Dynamic Geometry Tools,"Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010), middle school students are expected to “use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles” (p. 56) In grade 8, students are expected to “Explain a proof of the Pythagorean Theorem and its converse” (p. 56). These statements refl ect the need to develop a conceptual foundation based on exploration, discovery, and explanation prior to an emphasis on formal proof. The activity described below supports these goals. ",4,If Only Clairaut Had Dynamic Geometry Tools
5,If Only Clairaut Had Dynamic Geometry Tools,"We consider two opportunities for  increasing the conceptual focus on geometry in the middle grades. One is to rethink how to introduce and develop concepts of school geometry. In particular, we consider Clairaut’s approach that emphasizes engaging student curiosity about key ideas and theorems instead of directly teaching theorems before their application in real life. The second related opportunity is use of computer technology that enables and promotes student exploration and engagement. ",5,If Only Clairaut Had Dynamic Geometry Tools
6,If Only Clairaut Had Dynamic Geometry Tools,"According to Clairaut’s method, teachers can support student engagement by asking them to consider ideas and investigate their truth.",6,If Only Clairaut Had Dynamic Geometry Tools
7,If Only Clairaut Had Dynamic Geometry Tools,claiRaUt’s aPPRoach,7,If Only Clairaut Had Dynamic Geometry Tools
8,If Only Clairaut Had Dynamic Geometry Tools,"Clairaut, a famous eighteenth-century French mathematician and astronomer, prepared a geometry text that drew on what he called the natural human thought process. His approach is characterized by combining logical and intuitive elements, instead of building elements of geometry on a purely logical basis. In fact, Clairaut criticized Euclid’s logico-deductive approach, which he felt made learning diffi cult because of its dull and boring development.",8,If Only Clairaut Had Dynamic Geometry Tools
9,If Only Clairaut Had Dynamic Geometry Tools,"Clairaut was also critical of an  alternative that addressed the limitation of Euclid’s approach by including applications following formal work on theorems. Instead, Clairaut drew on the historic-genetic principle, which dated from the seventeenth century and recognized that discoverers themselves were beginners in the history of mathematics. He theorized that the discoverers’ trajectory of development—initiated by a particular need and formalized gradually—might also be benefi cial to later generations of beginning learners. The result was his masterpiece Elémens de Géométrie, published in 1741.",9,If Only Clairaut Had Dynamic Geometry Tools
10,If Only Clairaut Had Dynamic Geometry Tools,"Clairaut’s approach to geometry instruction can be characterized by two principles: practical necessity and intuition-driven. It is in contrast to Euclid’s rigorous approach, which moves toward formalization before learners are necessarily motivated by a need to know. Euclid’s method starts with defi nitions, axioms, and postulates that often do not excite  or engage the average learner. On the other hand, Clairaut begins with practical necessity, mimicking the motivation of the inventors of geometry, as the fi rst step in exploring an idea. Clairaut’s approach does not insist on rigorous exactness of mathematical proof. Rather, justifi cation is intuitive and used only when necessary.",10,If Only Clairaut Had Dynamic Geometry Tools
11,If Only Clairaut Had Dynamic Geometry Tools,"Although Clairaut acknowledged  criticism that his approach relied too much on the testimony of the eyes and neglected the strictness of demonstration, he defended the approach. He argued that the focus for beginners should be on big ideas, not propositions whose truth may be discovered by the smallest degree of attention. For example, consider these statements: •  “In any triangle, the greater  side subtends the great angle.” •  “A circle does not cut another  circle at more than two points.”  •  “If two circles touch one another, then they will not have the same center.”",11,If Only Clairaut Had Dynamic Geometry Tools
12,If Only Clairaut Had Dynamic Geometry Tools,"Although Euclid labored to demonstrate these ideas, Clairaut thought trivial propositions such as these did not warrant students’ attention by a strict demonstration. Stamper (1909) noted that Clairaut “was ready to sacrifi ce logic for the sake of interest and practical necessity.”",12,If Only Clairaut Had Dynamic Geometry Tools
13,If Only Clairaut Had Dynamic Geometry Tools,"Clairaut’s ideas are particularly  appropriate for middle school mathematics where formalization is not the goal. As an example of Clairaut’s  theory, we consider the idea that the sum of the interior angles of a triangle is constant. Unfortunately, most students are not curious about this idea and are not given the opportunity to discover it. According to Clairaut’s method, teachers can support student engagement by asking them to consider ideas and to investigate their truth. For example, the teacher might pose the following challenge to students:",13,If Only Clairaut Had Dynamic Geometry Tools
14,If Only Clairaut Had Dynamic Geometry Tools,It has been said that the sum of the angles of a triangle (any triangle) is equal to the sum of the angles of any other triangle. Is this true?,14,If Only Clairaut Had Dynamic Geometry Tools
15,If Only Clairaut Had Dynamic Geometry Tools,"Because we cannot be satisfi ed with measured values of the angles of a triangle (measurement is never exact), we must look for another way to investigate the claim. Clairaut’s strategy can be suggested as a method. He used the reasoning that two of three angles in a triangle decide the size of the remaining angle. That is:",15,If Only Clairaut Had Dynamic Geometry Tools
16,If Only Clairaut Had Dynamic Geometry Tools,"Using fi gure 1, suppose vertex C goes up along AC. It is certain that angle C closes gradually and angle B opens gradually the other way. We can assume the portion of decrease of angle C and increase of angle B are the same, so whatever the slope of BC to AC and AB, the sum of the three angles of triangle ABC is always constant. (Clairaut 1741) ",16,If Only Clairaut Had Dynamic Geometry Tools
17,If Only Clairaut Had Dynamic Geometry Tools,The assumption about the equivalence of the decrease in angle C and ,17,If Only Clairaut Had Dynamic Geometry Tools
18,If Only Clairaut Had Dynamic Geometry Tools,Fig. 1 The idea that the sum of interior angles of a triangle is constant can be produced by changing the slope of BC to AC and AB.,18,If Only Clairaut Had Dynamic Geometry Tools
19,If Only Clairaut Had Dynamic Geometry Tools,"complimentary increase in angle B is natural for students. At a later time (e.g., high school), formal proof of  the theorem can be developed using   alternate angles in parallel lines. Although this exploration might be of interest to some students, a current tool such as dynamic software can provide a more motivating, interactive, and student-driven method for students’ exploration of claims.",19,If Only Clairaut Had Dynamic Geometry Tools
20,If Only Clairaut Had Dynamic Geometry Tools,dYnaMic geoMetRY tools and claiRaUt’s Method,20,If Only Clairaut Had Dynamic Geometry Tools
21,If Only Clairaut Had Dynamic Geometry Tools,"In Clairaut’s time, the implementation of his approach was constrained by the tools that were available during his lifetime. In the triangle example in figure 1, for instance, the use of dynamic geometry software allows the quick generation and animation of examples. Today, we can use his theory via a dynamic environment aided by technology. In other words, thanks to the instruments of technology, his method can be reborn. In this section, we illustrate a few examples  of topics to which Clairaut’s approach using dynamic geometry tools are appropriate (e.g., properties of isosceles triangles, the sum of angles at a point on a line, the sum of interior angles of a triangle, and the properties of inscribed angles).",21,If Only Clairaut Had Dynamic Geometry Tools
22,If Only Clairaut Had Dynamic Geometry Tools,"Dynamic geometry software can help students visualize that a particular theorem holds under varying factors (size of angles, length of segment, and so on). Students can change the factors as many times as they want instead of viewing only one static image in the paper-and-pencil environment. In this case, the medium creates an environment where it is easier to recognize, explain, and even generalize geometrical properties. ",22,If Only Clairaut Had Dynamic Geometry Tools
23,If Only Clairaut Had Dynamic Geometry Tools,"Examples of Clairaut’s approach  using a dynamic geometry tool  (e.g., The Geometer’s Sketchpad®, GeoGebra, NCTM’s Core Math    A L L  A R O U N D  U S  ",23,If Only Clairaut Had Dynamic Geometry Tools
24,If Only Clairaut Had Dynamic Geometry Tools,MATH IS ALL AROUND US     M AT H  I S  A L L  A R O U N D  U S    M AT H  I S  A L L  A R O U N D  U S     M AT H  I S  A L L  A R O U N D  U S     M AT H  I   M AT H  I S  A L L  A R O U N D  U S     M AT H  I S  A L L  A R O U N D  U S     M AT H  I,24,If Only Clairaut Had Dynamic Geometry Tools
