__id__,__filename__,text,__id__,__filename__
0,Informing Practice: A Hybrid Perspective on Functions,informing practice research matters for teachers,0,Informing Practice: A Hybrid Perspective on Functions
1,Informing Practice: A Hybrid Perspective on Functions,A Hybrid Perspective  on Functions ,1,Informing Practice: A Hybrid Perspective on Functions
2,Informing Practice: A Hybrid Perspective on Functions,Eric Weber,2,Informing Practice: A Hybrid Perspective on Functions
3,Informing Practice: A Hybrid Perspective on Functions,What is a function? What is an example of a function? Teachers’ responses to these questions range from “a relationship between things that can be graphed” to “a connection between things that can be defined symbolically” to “a machine which you plug in something and get something out.” (See more examples in fig. 1.) ,3,Informing Practice: A Hybrid Perspective on Functions
4,Informing Practice: A Hybrid Perspective on Functions,"Consider these definitions in comparison with the Common Core State Standards for Mathematics’s (CCSSM) description of a function “as a rule that assigns to each input exactly one output”(CCSSI 2010, p. 52). At the same time, CCSSM suggests that eighth-grade students “use functions to model relationships between quantities” (p. 53). However, in many cases, students in eighth grade and beyond do not have understandings of function that reflect the definition in CCSSM. Figure 2 shows the exchange that occurred between a  mathematics teacher and an eighthgrade algebra student following a unit focused on functions. ",4,Informing Practice: A Hybrid Perspective on Functions
5,Informing Practice: A Hybrid Perspective on Functions,"The responses given by the student, Brian, are illustrative of many eighth-grade students’ early conceptions of function (a machine and a picture). However, these images are disconnected from the notion of function described in CCSSM and its intended uses (e.g., modeling). One source of that disconnect may be that the notion of function as a rule of assignment (input-output, or function machine) is not necessarily productive for students conceiving of relationships between quantities because it does not entail an image of two quantities varying in tandem. For instance, if the requirement for an object to be a function is that it acts as a machine and that it has a picture of a graph associated with it, there is no sense of function representing variation between quantities. What is missing ",5,Informing Practice: A Hybrid Perspective on Functions
6,Informing Practice: A Hybrid Perspective on Functions,"Edited by amy ellis, aellis1@education .wisc.edu, and despina stylianou,  dstylianou@ccny.cuny.edu. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net.  is an image of a function representing covariation, or two quantities varying simultaneously. In the following sections, we explore a hybrid perspective on functions, combining notions of input-output and covariation. Such notions might be useful for helping students use functions for a variety of purposes in the middle school classroom.  tWo notions oF FUnction",6,Informing Practice: A Hybrid Perspective on Functions
7,Informing Practice: A Hybrid Perspective on Functions,"The research literature on students’ thinking about functions and teachers’ instruction related to the concept focuses on two dominant perspectives. To frame these perspectives, we consider an activity in which students used data collection devices to measure the speed of a toy car over a period of ten seconds at intervals of 0.5 seconds. Students were asked to determine whether the car’s speed was a function of time and justify why or why not, as shown in figure 3a.",7,Informing Practice: A Hybrid Perspective on Functions
8,Informing Practice: A Hybrid Perspective on Functions,"Jill’s response is reflective of the first perspective on function, called rule of assignment. This approach involves an image of mapping an input to an output (Breidenbach et al. 1992; Dubinsky and Harel 1992). A student thinks about function as a specific rule or formula. For instance, the student can imagine plugging in any number for x in the function, f, defined to get an output, y. In the rule-of-assignment approach, the relationship between quantities x and y is contained in the “black box” through which each input, x, passes. As a consequence, there is not necessarily a notion of a function representing an invariant relationship between quantities (as CCSSM describes). ",8,Informing Practice: A Hybrid Perspective on Functions
9,Informing Practice: A Hybrid Perspective on Functions,"The key to Ethan’s response,  shown in figure 3b, is that he works from an image of two quantities varying simultaneously, so that for each speed measured, there is a time at which it occurred, and vice versa. This ",9,Informing Practice: A Hybrid Perspective on Functions
