__id__,__filename__,text,__id__,__filename__
0,Informing Practice: I-THINK I Can Problem Solve,informing practice research matters for teachers,0,Informing Practice: I-THINK I Can Problem Solve
1,Informing Practice: I-THINK I Can Problem Solve,I-THINK I Can Problem Solve ,1,Informing Practice: I-THINK I Can Problem Solve
2,Informing Practice: I-THINK I Can Problem Solve,"Sararose D. Lynch, Jeremy M. Lynch, and Johnna Bolyard",2,Informing Practice: I-THINK I Can Problem Solve
3,Informing Practice: I-THINK I Can Problem Solve,Imagine a middle school classroom in which students are working in cooperative groups and explaining their thinking	about	solving	math	problems.	,3,Informing Practice: I-THINK I Can Problem Solve
4,Informing Practice: I-THINK I Can Problem Solve,"Do	you	see	a	specific cooperativelearning group structure, or do you see some students copying work from group members, others working on the task,	and	yet	others	socializing?	When	 provided with a structured cooperative group setting that promotes explanation	and	justification,	research	has	 shown that students have a greater potential for understanding connections among mathematical concepts that underlie problems and understanding connections between different procedures used to solve problems (Cobb  et	al.	1997).	NCTM’s	Communication	",4,Informing Practice: I-THINK I Can Problem Solve
5,Informing Practice: I-THINK I Can Problem Solve,"Standard (2000) and the Common Core State Standards for Mathematics	(CCSSM)	(CCSSI	2010)	call	for	 instruction that engages students in communicating mathematical ideas while problem solving, making connections among multiple representa-",5,Informing Practice: I-THINK I Can Problem Solve
6,Informing Practice: I-THINK I Can Problem Solve,"Edited by debra i. Johanning,  debra.johanning@utoledo.edu, and  amy ellis, aellis1@education.wisc.edu. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net.  tions of mathematical concepts and procedures,	and	justifying	solutions.	",6,Informing Practice: I-THINK I Can Problem Solve
7,Informing Practice: I-THINK I Can Problem Solve,Many teachers recognize the usefulness of cooperative learning during problem solving but struggle to implement	it	in	the	classroom.	This	article	 describes	my	experience	(Sararose	D.	,7,Informing Practice: I-THINK I Can Problem Solve
8,Informing Practice: I-THINK I Can Problem Solve,"Lynch) with two different cooperative group instructional strategies that promote reflective discourse, thinkpair-share	(Kagan	1994),	and	THINK	 (Thomas	2006).	Both	strategies	promote communication during problem solving and can be implemented easily in	any	math	classroom.	",8,Informing Practice: I-THINK I Can Problem Solve
9,Informing Practice: I-THINK I Can Problem Solve,"The think-pair-share model  is	familiar	to	many.	Students	first	 complete their mathematics problem individually, pair with another student to verbally communicate their reasoning and solution, and then share one of	their	explanations	with	other	pairs.	",9,Informing Practice: I-THINK I Can Problem Solve
